

Country,TotalCases,NewCases,Deaths,NewDeaths,Recover,ActiveCases,Serious,CasesParMillion,DeathParMillion,Tests,TestParMillion,Continent

USA,903775,17333,50988,752,90261,762526,14932,2730.0,154.0,4906327,14823.0,North America

Spain,219764,6740,22524,367,92355,104885,7705,4700.0,482.0,930230,19896.0,Europe

Italy,192994,3021,25969,420,60498,106527,2173,3192.0,430.0,1642356,27164.0,Europe

France,159828,1645,22245,389,43493,94090,4870,2449.0,341.0,463662,7103.0,Europe

Germany,154159,1030,5653,78,106800,41706,2908,1840.0,67.0,2072669,24738.0,Europe

UK,143464,5386,19506,768,0,123614,1559,2113.0,287.0,612031,9016.0,Europe

Turkey,104912,3122,2600,109,21737,80575,1790,1244.0,31.0,830257,9844.0,Asia

Iran,88194,1168,5574,93,66599,16021,3121,1050.0,66.0,399927,4761.0,Asia

Russia,68622,5849,615,60,5568,62439,2300,470.0,4.0,2550000,17474.0,Europe

Brazil,51073,1581,3407,94,26573,21093,8318,240.0,16.0,291922,1373.0,South America

Belgium,44293,1496,6679,189,10122,27492,970,3822.0,576.0,189067,16313.0,Europe

Canada,43551,1441,2294,147,15444,25813,557,1154.0,61.0,634917,16822.0,North America

Netherlands,36535,806,4289,112,0,31996,963,2132.0,250.0,187000,10913.0,Europe

Switzerland,28677,181,1578,29,21000,6099,386,3313.0,182.0,235252,27182.0,Europe

India,24434,1395,780,59,5457,18197,-1,18.0,0.6,541789,393.0,Asia

Portugal,22797,444,854,34,1228,20715,188,2236.0,84.0,315758,30967.0,Europe

Ecuador,22719,11536,576,16,1366,20777,127,1288.0,33.0,56513,3203.0,South America

Peru,21648,734,634,62,7496,13518,505,657.0,19.0,198349,6016.0,South America

Ireland,18184,577,1014,220,9233,7937,142,3683.0,205.0,111584,22598.0,Europe

Sweden,17567,812,2152,131,550,14865,547,1739.0,213.0,94500,9357.0,Europe

Saudi Arabia,15102,1172,127,6,2049,12926,93,434.0,4.0,200000,5745.0,Asia

Austria,15071,69,530,8,11872,2669,156,1673.0,59.0,212686,23615.0,Europe

Israel,14882,79,193,1,5685,9004,139,1719.0,22.0,240303,27763.0,Asia

Japan,12368,-1,328,-1,1494,10546,259,98.0,3.0,135983,1075.0,Asia

Chile,12306,494,174,6,6327,5805,408,644.0,9.0,142267,7442.0,South America

Singapore,12075,897,12,-1,924,11139,26,2064.0,2.0,94796,16203.0,Asia

Mexico,11633,1089,1069,99,2627,7937,378,90.0,8.0,51297,398.0,North America

Pakistan,11155,98,237,2,2527,8391,111,50.0,1.0,131365,595.0,Asia

Poland,10892,381,494,40,1944,8454,160,288.0,13.0,265201,7007.0,Europe

S. Korea,10708,6,240,-1,8501,1967,55,209.0,5.0,589520,11499.0,Asia

Romania,10417,321,567,22,2817,7033,241,541.0,29.0,121602,6321.0,Europe

UAE,9281,525,64,8,1760,7457,1,938.0,6.0,790000,79875.0,Asia

Belarus,8773,751,63,3,1120,7590,92,928.0,7.0,130824,13845.0,Europe

Qatar,8525,761,10,-1,809,7706,72,2959.0,3.0,75888,26340.0,Asia

Indonesia,8211,436,689,42,1002,6520,-1,30.0,3.0,64054,234.0,Asia

Denmark,8210,137,403,9,5526,2281,69,1417.0,70.0,125329,21638.0,Europe

Ukraine,7647,477,193,6,601,6853,45,175.0,4.0,77752,1778.0,Europe

Serbia,7483,207,144,5,1094,6245,96,856.0,16.0,54887,6282.0,Europe

Norway,7444,43,199,5,32,7213,53,1373.0,37.0,155125,28614.0,Europe

Czechia,7236,49,214,4,2371,4651,76,676.0,20.0,203622,19014.0,Europe

Philippines,7192,211,477,15,762,5953,1,66.0,4.0,76956,702.0,Asia

Australia,6675,8,79,4,5136,1460,43,262.0,3.0,482371,18917.0,Australia/Oceania

Dominican Republic,5749,206,267,2,763,4719,135,530.0,25.0,18261,1683.0,North America

Malaysia,5691,88,96,1,3663,1932,41,176.0,3.0,121722,3761.0,Asia

Panama,5166,174,146,2,271,4749,86,1197.0,34.0,23534,5454.0,North America

Bangladesh,4689,503,131,4,112,4446,1,28.0,0.8,39476,240.0,Asia

Colombia,4561,-1,215,-1,927,3419,98,90.0,4.0,71500,1405.0,South America

Finland,4395,111,177,5,2500,1718,61,793.0,32.0,74500,13446.0,Europe

Egypt,4092,201,294,7,1075,2723,-1,40.0,3.0,90000,879.0,Africa

South Africa,3953,-1,75,-1,1473,2405,36,67.0,1.0,143570,2421.0,Africa

Morocco,3758,190,158,3,486,3114,1,102.0,4.0,23933,648.0,Africa

Luxembourg,3695,30,85,2,3007,603,25,5903.0,136.0,37782,60357.0,Europe

Argentina,3435,-1,167,2,976,2292,123,76.0,4.0,44654,988.0,South America

Algeria,3127,120,415,8,1408,1304,40,71.0,9.0,6500,148.0,Africa

Moldova,3110,184,84,4,755,2271,212,771.0,21.0,11763,2916.0,Europe

Thailand,2854,15,50,-1,2490,314,61,41.0,0.7,142589,2043.0,Asia

Kuwait,2614,215,15,1,613,1986,60,612.0,4.0,-1,-1.0,Asia

Bahrain,2506,289,8,-1,1113,1385,2,1473.0,5.0,105365,61922.0,Asia

Greece,2490,27,130,5,577,1783,48,239.0,12.0,61407,5891.0,Europe

Kazakhstan,2416,127,25,5,604,1787,29,129.0,1.0,153492,8175.0,Asia

Hungary,2383,99,250,11,401,1732,61,247.0,26.0,58251,6030.0,Europe

Croatia,2009,28,51,1,982,976,19,489.0,12.0,30213,7360.0,Europe

Oman,1790,74,9,-1,325,1456,3,351.0,2.0,-1,-1.0,Asia

Iceland,1789,-1,10,-1,1542,237,5,5243.0,29.0,45286,132709.0,Europe

Uzbekistan,1778,20,8,1,621,1149,8,53.0,0.2,210000,6274.0,Asia

Iraq,1677,-1,83,-1,1171,423,-1,42.0,2.0,64882,1613.0,Asia

Estonia,1605,13,46,1,206,1353,6,1210.0,35.0,46281,34889.0,Europe

Armenia,1596,73,27,3,728,841,10,539.0,9.0,16552,5586.0,Asia

Azerbaijan,1592,44,21,1,1013,558,14,157.0,2.0,114410,11284.0,Asia

New Zealand,1456,5,17,1,1095,344,1,302.0,4.0,108238,22446.0,Australia/Oceania

Cameroon,1430,96,43,-1,668,719,20,54.0,2.0,-1,-1.0,Africa

Bosnia and Herzegovina,1421,8,55,1,538,828,4,433.0,17.0,21432,6533.0,Europe

Lithuania,1410,12,40,-1,430,940,17,518.0,15.0,90992,33425.0,Europe

Slovenia,1373,7,80,1,211,1082,23,660.0,38.0,45703,21984.0,Europe

Slovakia,1360,35,17,2,355,988,8,249.0,3.0,61261,11221.0,Europe

Afghanistan,1351,72,43,1,188,1120,7,35.0,1.0,6422,165.0,Asia

North Macedonia,1326,26,57,1,337,932,14,636.0,27.0,13649,6551.0,Europe

Cuba,1285,50,49,6,416,820,11,113.0,4.0,36134,3190.0,North America

Ghana,1279,125,10,1,134,1135,4,41.0,0.3,88188,2838.0,Africa

Bulgaria,1188,91,54,2,193,941,37,171.0,8.0,27000,3886.0,Europe

Hong Kong,1036,-1,4,-1,699,333,9,138.0,0.5,131786,17579.0,Asia

Ivory Coast,1004,-1,14,-1,359,631,-1,38.0,0.5,-1,-1.0,Africa

Djibouti,999,13,2,-1,330,667,-1,1011.0,2.0,11090,11225.0,Africa

Nigeria,981,-1,31,-1,197,753,2,5.0,0.2,8003,39.0,Africa

Tunisia,918,-1,38,-1,190,690,32,78.0,3.0,19411,1642.0,Africa

Guinea,862,-1,6,-1,170,686,-1,66.0,0.5,-1,-1.0,Africa

Cyprus,804,9,14,1,98,692,15,666.0,12.0,40745,33747.0,Asia

Latvia,784,6,12,1,267,505,6,416.0,6.0,43080,22840.0,Europe

Andorra,731,8,40,3,333,358,17,9461.0,518.0,1673,21653.0,Europe

Diamond Princess,712,-1,13,-1,645,54,4,-1.0,-1.0,-1,-1.0,

Bolivia,703,31,43,3,44,616,3,60.0,4.0,4420,379.0,South America

Lebanon,696,8,22,-1,140,534,46,102.0,3.0,25337,3712.0,Asia

Costa Rica,686,-1,6,-1,196,484,8,135.0,1.0,12073,2370.0,North America

Albania,678,15,27,-1,394,257,4,236.0,9.0,6509,2262.0,Europe

Niger,671,-1,24,-1,256,391,-1,28.0,1.0,4832,200.0,Africa

Kyrgyzstan,656,25,8,-1,322,326,11,101.0,1.0,39615,6072.0,Asia

Burkina Faso,616,-1,41,-1,410,165,-1,29.0,2.0,-1,-1.0,Africa

Honduras,562,43,47,-1,50,465,10,57.0,5.0,3107,314.0,North America

Uruguay,557,8,12,-1,354,191,10,160.0,3.0,15142,4359.0,South America

Senegal,545,66,7,1,262,276,1,33.0,0.4,466,28.0,Africa

Channel Islands,523,2,34,5,295,194,-1,3008.0,196.0,3320,19095.0,Europe

San Marino,513,12,40,-1,64,409,3,15119.0,1179.0,1929,56851.0,Europe

Palestine,484,4,4,-1,92,388,-1,95.0,0.8,27000,5293.0,Asia

Malta,447,2,3,-1,223,221,2,1012.0,7.0,27422,62105.0,Europe

Georgia,444,19,5,-1,132,307,6,111.0,1.0,8375,2099.0,Asia

Jordan,441,4,7,-1,326,108,5,43.0,0.7,61608,6038.0,Asia

Taiwan,428,1,6,-1,264,158,-1,18.0,0.3,59026,2478.0,Asia

Sri Lanka,417,49,7,-1,109,301,2,19.0,0.3,13142,614.0,Asia

Réunion,412,-1,-1,-1,238,174,2,460.0,-1.0,-1,-1.0,Africa

DRC,394,17,25,-1,48,321,-1,4.0,0.3,-1,-1.0,Africa

Guatemala,384,42,11,1,30,343,5,21.0,0.6,7200,402.0,North America

Mayotte,354,28,4,-1,144,206,4,1298.0,15.0,2200,8064.0,Africa

Kenya,336,16,14,-1,94,228,2,6.0,0.3,16738,311.0,Africa

Mauritius,331,-1,9,-1,285,37,3,260.0,7.0,12835,10092.0,Africa

Somalia,328,-1,16,-1,8,304,2,21.0,1.0,-1,-1.0,Africa

Montenegro,319,3,6,1,123,190,7,508.0,10.0,5085,8096.0,Europe

Venezuela,318,20,10,-1,128,180,4,11.0,0.4,347236,12211.0,South America

Mali,309,-1,21,-1,77,211,-1,15.0,1.0,2023,100.0,Africa

Isle of Man,307,-1,16,-1,221,70,20,3610.0,188.0,2674,31447.0,Europe

Tanzania,284,-1,10,-1,48,226,7,5.0,0.2,-1,-1.0,Africa

Vietnam,270,2,-1,-1,225,45,8,3.0,-1.0,206253,2119.0,Asia

El Salvador,261,11,8,-1,72,181,2,40.0,1.0,16418,2531.0,North America

Jamaica,257,5,6,-1,28,223,-1,87.0,2.0,2213,747.0,North America

Paraguay,220,7,9,-1,70,141,1,31.0,1.0,6917,970.0,South America

Equatorial Guinea,214,5,1,-1,7,206,-1,153.0,0.7,854,609.0,Africa

Faeroe Islands,187,-1,-1,-1,178,9,-1,3827.0,-1.0,6458,132165.0,Europe

Congo,186,-1,6,-1,16,164,-1,34.0,1.0,-1,-1.0,Africa

Sudan,174,12,16,3,14,144,-1,4.0,0.4,-1,-1.0,Africa

Martinique,170,6,14,-1,77,79,6,453.0,37.0,-1,-1.0,North America

Gabon,167,-1,2,-1,24,141,1,75.0,0.9,572,257.0,Africa

Rwanda,154,-1,-1,-1,87,67,-1,12.0,-1.0,6959,537.0,Africa

Guadeloupe,149,1,12,-1,82,55,11,372.0,30.0,-1,-1.0,North America

Myanmar,144,12,5,-1,9,130,-1,3.0,0.09,5775,106.0,Asia

Brunei,138,-1,1,-1,120,17,2,315.0,2.0,12770,29190.0,Asia

