,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2469.0,134.0,72.0,4.0,331.0,2066.0,7.0,63.0,2.0,11068.0,284.0,Afghanistan,Asia,,,0.0,,,
1,2020-05-03,2704.0,235.0,85.0,13.0,345.0,2274.0,7.0,69.0,2.0,11068.0,284.0,Afghanistan,Asia,,,0.0,,,
2,2020-05-04,2894.0,190.0,90.0,5.0,397.0,2407.0,7.0,74.0,2.0,11068.0,284.0,Afghanistan,Asia,,,0.0,,,
3,2020-05-05,3224.0,-1.0,95.0,-1.0,421.0,2708.0,7.0,83.0,2.0,13076.0,336.0,Afghanistan,Asia,,,0.0,,,
4,2020-05-06,3392.0,168.0,104.0,9.0,458.0,2830.0,7.0,87.0,3.0,13777.0,354.0,Afghanistan,Asia,,,0.0,,,
5,2020-05-07,3563.0,171.0,106.0,2.0,468.0,2989.0,7.0,92.0,3.0,14389.0,370.0,Afghanistan,Asia,,,0.0,,,
6,2020-05-08,3778.0,-1.0,109.0,-1.0,472.0,3197.0,7.0,97.0,3.0,14389.0,370.0,Afghanistan,Asia,,,0.0,,,
7,2020-05-09,4033.0,-1.0,115.0,-1.0,502.0,3416.0,7.0,104.0,3.0,15560.0,400.0,Afghanistan,Asia,,,0.0,,,
8,2020-05-10,4402.0,369.0,120.0,5.0,558.0,3724.0,7.0,113.0,3.0,15560.0,400.0,Afghanistan,Asia,,,0.0,,,
9,2020-05-11,4687.0,285.0,122.0,2.0,558.0,4007.0,7.0,120.0,3.0,15560.0,400.0,Afghanistan,Asia,,,0.0,,,
10,2020-05-12,4963.0,276.0,127.0,5.0,610.0,4226.0,7.0,127.0,3.0,18098.0,465.0,Afghanistan,Asia,,,0.0,,,
11,2020-05-13,5226.0,263.0,132.0,5.0,648.0,4446.0,7.0,134.0,3.0,18724.0,481.0,Afghanistan,Asia,,,0.0,,,
12,2020-05-14,5639.0,413.0,136.0,4.0,691.0,4812.0,7.0,145.0,3.0,19732.0,507.0,Afghanistan,Asia,,,0.0,,,
13,2020-05-15,6053.0,414.0,153.0,17.0,745.0,5155.0,7.0,156.0,4.0,20854.0,537.0,Afghanistan,Asia,56.0,38807744.0,0.0,,,
14,2020-05-16,6402.0,349.0,168.0,15.0,745.0,5489.0,19.0,165.0,4.0,21967.0,566.0,Afghanistan,Asia,55.0,38810145.0,0.0,,,
15,2020-05-17,6664.0,262.0,169.0,1.0,778.0,5717.0,19.0,172.0,4.0,22639.0,583.0,Afghanistan,Asia,55.0,38812546.0,0.0,,,
16,2020-05-18,7072.0,408.0,173.0,4.0,801.0,6098.0,19.0,182.0,4.0,23497.0,605.0,Afghanistan,Asia,52.0,38814948.0,0.0,,,
17,2020-05-19,7653.0,581.0,178.0,5.0,850.0,6625.0,19.0,197.0,5.0,24697.0,636.0,Afghanistan,Asia,50.0,38817349.0,0.0,,,
18,2020-05-20,8145.0,492.0,187.0,9.0,930.0,7028.0,19.0,210.0,5.0,25700.0,662.0,Afghanistan,Asia,50.0,38819750.0,0.0,,,
19,2020-05-21,8676.0,531.0,193.0,6.0,938.0,7545.0,19.0,223.0,5.0,26707.0,688.0,Afghanistan,Asia,49.0,38822151.0,0.0,,,
20,2020-05-22,9216.0,540.0,205.0,12.0,996.0,8015.0,19.0,237.0,5.0,27889.0,718.0,Afghanistan,Asia,48.0,38824552.0,0.0,,,
21,2020-05-23,9998.0,782.0,216.0,11.0,1040.0,8742.0,19.0,258.0,6.0,29417.0,758.0,Afghanistan,Asia,48.0,38826954.0,0.0,,,
22,2020-05-24,10582.0,584.0,218.0,2.0,1075.0,9289.0,19.0,273.0,6.0,30052.0,774.0,Afghanistan,Asia,47.0,38829355.0,0.0,,,
23,2020-05-25,11173.0,591.0,219.0,1.0,1097.0,9857.0,19.0,288.0,6.0,31718.0,817.0,Afghanistan,Asia,47.0,38831756.0,0.0,,,
24,2020-05-26,11831.0,658.0,220.0,1.0,1128.0,10483.0,19.0,305.0,6.0,32870.0,846.0,Afghanistan,Asia,44.0,38834157.0,0.0,,,
25,2020-05-27,12456.0,-1.0,227.0,-1.0,1138.0,11091.0,19.0,321.0,6.0,33864.0,872.0,Afghanistan,Asia,44.0,38838960.0,0.0,,,
26,2020-05-28,13036.0,580.0,235.0,8.0,1209.0,11592.0,19.0,336.0,6.0,34903.0,899.0,Afghanistan,Asia,44.0,38838960.0,0.0,,,
27,2020-05-29,13659.0,623.0,246.0,11.0,1259.0,12154.0,19.0,352.0,6.0,35923.0,925.0,Afghanistan,Asia,44.0,38841361.0,0.0,,,
28,2020-05-30,14525.0,866.0,249.0,3.0,1303.0,12973.0,19.0,374.0,6.0,37348.0,961.0,Afghanistan,Asia,44.0,38843762.0,0.0,,,
29,2020-05-31,15205.0,680.0,257.0,8.0,1328.0,13620.0,19.0,391.0,7.0,38460.0,990.0,Afghanistan,Asia,44.0,38846163.0,0.0,,,
30,2020-06-01,15750.0,545.0,265.0,8.0,1428.0,14057.0,19.0,405.0,7.0,39628.0,1020.0,Afghanistan,Asia,44.0,38848565.0,0.0,,,
