,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,789.0,7.0,31.0,-1.0,519.0,239.0,4.0,274.0,11.0,8669.0,3012.0,Albania,Europe,,,0.0,,,
1,2020-05-03,795.0,6.0,31.0,-1.0,531.0,233.0,7.0,276.0,11.0,8866.0,3081.0,Albania,Europe,,,0.0,,,
2,2020-05-04,803.0,8.0,31.0,-1.0,543.0,229.0,7.0,279.0,11.0,9006.0,3129.0,Albania,Europe,,,0.0,,,
3,2020-05-05,820.0,-1.0,31.0,-1.0,570.0,219.0,7.0,285.0,11.0,9276.0,3223.0,Albania,Europe,,,0.0,,,
4,2020-05-06,832.0,12.0,31.0,-1.0,595.0,206.0,7.0,289.0,11.0,9531.0,3312.0,Albania,Europe,,,0.0,,,
5,2020-05-07,842.0,10.0,31.0,-1.0,605.0,206.0,7.0,293.0,11.0,9806.0,3407.0,Albania,Europe,,,0.0,,,
6,2020-05-08,850.0,-1.0,31.0,-1.0,620.0,199.0,7.0,295.0,11.0,10044.0,3490.0,Albania,Europe,,,0.0,,,
7,2020-05-09,856.0,-1.0,31.0,-1.0,627.0,198.0,7.0,297.0,11.0,10268.0,3568.0,Albania,Europe,,,0.0,,,
8,2020-05-10,868.0,12.0,31.0,-1.0,650.0,187.0,7.0,302.0,11.0,10438.0,3627.0,Albania,Europe,,,0.0,,,
9,2020-05-11,872.0,4.0,31.0,-1.0,654.0,187.0,7.0,303.0,11.0,10559.0,3669.0,Albania,Europe,,,0.0,,,
10,2020-05-12,876.0,4.0,31.0,-1.0,682.0,163.0,1.0,304.0,11.0,10802.0,3754.0,Albania,Europe,,,0.0,,,
11,2020-05-13,880.0,4.0,31.0,-1.0,688.0,161.0,1.0,306.0,11.0,11048.0,3839.0,Albania,Europe,,,0.0,,,
12,2020-05-14,898.0,18.0,31.0,-1.0,694.0,173.0,1.0,312.0,11.0,11239.0,3905.0,Albania,Europe,,,0.0,,,
13,2020-05-15,916.0,18.0,31.0,-1.0,705.0,180.0,1.0,318.0,11.0,11458.0,3981.0,Albania,Europe,102.0,2878189.0,0.0,,,
14,2020-05-16,933.0,17.0,31.0,-1.0,714.0,188.0,1.0,324.0,11.0,11764.0,4087.0,Albania,Europe,102.0,2878180.0,0.0,,,
15,2020-05-17,946.0,13.0,31.0,-1.0,715.0,200.0,1.0,329.0,11.0,12024.0,4178.0,Albania,Europe,103.0,2878172.0,0.0,,,
16,2020-05-18,948.0,2.0,31.0,-1.0,727.0,190.0,1.0,329.0,11.0,12192.0,4236.0,Albania,Europe,103.0,2878163.0,0.0,,,
17,2020-05-19,949.0,1.0,31.0,-1.0,742.0,176.0,1.0,330.0,11.0,12369.0,4298.0,Albania,Europe,105.0,2878155.0,0.0,,,
18,2020-05-20,964.0,15.0,31.0,-1.0,758.0,175.0,1.0,335.0,11.0,12555.0,4362.0,Albania,Europe,104.0,2878146.0,0.0,,,
19,2020-05-21,969.0,5.0,31.0,-1.0,771.0,167.0,3.0,337.0,11.0,12759.0,4433.0,Albania,Europe,105.0,2878137.0,0.0,,,
20,2020-05-22,981.0,12.0,31.0,-1.0,777.0,173.0,3.0,341.0,11.0,12933.0,4494.0,Albania,Europe,105.0,2878129.0,0.0,,,
21,2020-05-23,989.0,8.0,31.0,-1.0,783.0,175.0,5.0,344.0,11.0,13133.0,4563.0,Albania,Europe,106.0,2878120.0,0.0,,,
22,2020-05-24,998.0,9.0,32.0,1.0,789.0,177.0,5.0,347.0,11.0,13279.0,4614.0,Albania,Europe,107.0,2878112.0,0.0,,,
23,2020-05-25,1004.0,6.0,32.0,-1.0,795.0,177.0,4.0,349.0,11.0,13333.0,4633.0,Albania,Europe,108.0,2878103.0,0.0,,,
24,2020-05-26,1029.0,25.0,33.0,1.0,803.0,193.0,3.0,358.0,11.0,13506.0,4693.0,Albania,Europe,109.0,2878095.0,0.0,,,
25,2020-05-27,1050.0,-1.0,33.0,-1.0,812.0,205.0,3.0,365.0,11.0,13768.0,4784.0,Albania,Europe,109.0,2878078.0,0.0,,,
26,2020-05-28,1076.0,26.0,33.0,-1.0,823.0,220.0,3.0,374.0,11.0,13993.0,4862.0,Albania,Europe,105.0,2878078.0,0.0,,,
27,2020-05-29,1099.0,23.0,33.0,-1.0,851.0,215.0,5.0,382.0,11.0,14269.0,4958.0,Albania,Europe,107.0,2878069.0,0.0,,,
28,2020-05-30,1122.0,23.0,33.0,-1.0,857.0,232.0,5.0,390.0,11.0,14498.0,5037.0,Albania,Europe,107.0,2878060.0,0.0,,,
29,2020-05-31,1137.0,15.0,33.0,-1.0,872.0,232.0,4.0,395.0,11.0,14723.0,5116.0,Albania,Europe,108.0,2878052.0,0.0,,,
30,2020-06-01,1143.0,6.0,33.0,-1.0,877.0,233.0,3.0,397.0,11.0,14825.0,5151.0,Albania,Europe,108.0,2878043.0,0.0,,,
31,2020-06-02,1164.0,21.0,33.0,-1.0,891.0,240.0,3.0,404.0,11.0,15068.0,5236.0,Albania,Europe,108.0,2878035.0,14.0,2473.0,87213.0,191.0
32,2020-06-03,1184.0,20.0,33.0,-1.0,898.0,253.0,4.0,411.0,11.0,15365.0,5339.0,Albania,Europe,108.0,2878026.0,7.0,2431.0,87213.0,187.0
33,2020-06-04,1197.0,13.0,33.0,-1.0,898.0,266.0,5.0,416.0,11.0,15647.0,5437.0,Albania,Europe,109.0,2878018.0,-1.0,2404.0,87213.0,184.0
34,2020-06-05,1212.0,15.0,33.0,-1.0,910.0,269.0,5.0,421.0,11.0,15810.0,5493.0,Albania,Europe,110.0,2878009.0,12.0,2375.0,87212.0,182.0
35,2020-06-06,1232.0,20.0,34.0,1.0,925.0,273.0,5.0,428.0,12.0,16063.0,5581.0,Albania,Europe,110.0,2878001.0,15.0,2336.0,84647.0,179.0
36,2020-06-07,1246.0,14.0,34.0,-1.0,938.0,274.0,5.0,433.0,12.0,16255.0,5648.0,Albania,Europe,111.0,2877992.0,13.0,2310.0,84647.0,177.0
37,2020-06-08,1263.0,17.0,34.0,-1.0,945.0,284.0,6.0,439.0,12.0,16357.0,5683.0,Albania,Europe,111.0,2877983.0,7.0,2279.0,84647.0,176.0
38,2020-06-09,1299.0,36.0,34.0,-1.0,960.0,305.0,6.0,451.0,12.0,16716.0,5808.0,Albania,Europe,112.0,2877975.0,15.0,2216.0,84646.0,172.0
39,2020-06-10,1341.0,42.0,34.0,-1.0,980.0,327.0,6.0,466.0,12.0,17027.0,5916.0,Albania,Europe,111.0,2877966.0,20.0,2146.0,84646.0,169.0
