,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,745.0,-1.0,43.0,-1.0,468.0,234.0,17.0,9642.0,557.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
1,2020-05-03,747.0,-1.0,44.0,-1.0,472.0,231.0,17.0,9668.0,569.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
2,2020-05-04,750.0,2.0,45.0,-1.0,499.0,206.0,16.0,9707.0,582.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
3,2020-05-05,751.0,-1.0,46.0,-1.0,514.0,191.0,16.0,9720.0,595.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
4,2020-05-06,751.0,-1.0,46.0,-1.0,514.0,191.0,16.0,9720.0,595.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
5,2020-05-07,752.0,1.0,47.0,1.0,526.0,179.0,14.0,9733.0,608.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
6,2020-05-08,752.0,-1.0,47.0,-1.0,537.0,168.0,14.0,9733.0,608.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
7,2020-05-09,754.0,-1.0,48.0,-1.0,545.0,161.0,14.0,9759.0,621.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
8,2020-05-10,754.0,-1.0,48.0,-1.0,545.0,161.0,14.0,9759.0,621.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
9,2020-05-11,755.0,-1.0,48.0,-1.0,550.0,157.0,14.0,9772.0,621.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
10,2020-05-12,755.0,-1.0,48.0,-1.0,550.0,157.0,14.0,9772.0,621.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
11,2020-05-13,760.0,2.0,49.0,1.0,576.0,135.0,3.0,9836.0,634.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
12,2020-05-14,761.0,1.0,49.0,-1.0,596.0,116.0,3.0,9849.0,634.0,1673.0,21653.0,Andorra,Europe,,,0.0,,,
13,2020-05-15,761.0,-1.0,49.0,-1.0,596.0,116.0,3.0,9851.0,634.0,1673.0,21657.0,Andorra,Europe,111.0,77249.0,0.0,,,
14,2020-05-16,761.0,-1.0,51.0,2.0,615.0,95.0,3.0,9851.0,660.0,3750.0,48544.0,Andorra,Europe,112.0,77250.0,0.0,,,
15,2020-05-17,761.0,-1.0,51.0,-1.0,615.0,95.0,3.0,9851.0,660.0,3750.0,48544.0,Andorra,Europe,112.0,77250.0,0.0,,,
16,2020-05-18,761.0,-1.0,51.0,-1.0,617.0,93.0,3.0,9851.0,660.0,3750.0,48544.0,Andorra,Europe,112.0,77250.0,0.0,,,
17,2020-05-19,761.0,-1.0,51.0,-1.0,628.0,82.0,3.0,9851.0,660.0,3750.0,48543.0,Andorra,Europe,113.0,77251.0,0.0,,,
18,2020-05-20,761.0,-1.0,51.0,-1.0,628.0,82.0,3.0,9851.0,660.0,3750.0,48543.0,Andorra,Europe,114.0,77251.0,0.0,,,
19,2020-05-21,762.0,-1.0,51.0,-1.0,639.0,72.0,3.0,9864.0,660.0,3750.0,48543.0,Andorra,Europe,115.0,77251.0,0.0,,,
20,2020-05-22,762.0,-1.0,51.0,-1.0,652.0,59.0,3.0,9864.0,660.0,3750.0,48542.0,Andorra,Europe,115.0,77252.0,0.0,,,
21,2020-05-23,762.0,-1.0,51.0,-1.0,653.0,58.0,3.0,9864.0,660.0,3750.0,48542.0,Andorra,Europe,116.0,77252.0,0.0,,,
22,2020-05-24,762.0,-1.0,51.0,-1.0,653.0,58.0,3.0,9864.0,660.0,3750.0,48542.0,Andorra,Europe,117.0,77252.0,0.0,,,
23,2020-05-25,763.0,1.0,51.0,-1.0,663.0,49.0,3.0,9877.0,660.0,3750.0,48542.0,Andorra,Europe,117.0,77253.0,0.0,,,
24,2020-05-26,763.0,-1.0,51.0,-1.0,663.0,49.0,3.0,9877.0,660.0,3750.0,48542.0,Andorra,Europe,119.0,77253.0,0.0,,,
25,2020-05-27,763.0,-1.0,51.0,-1.0,676.0,36.0,3.0,9877.0,660.0,3750.0,48541.0,Andorra,Europe,120.0,77254.0,0.0,,,
26,2020-05-28,763.0,-1.0,51.0,-1.0,681.0,31.0,3.0,9877.0,660.0,3750.0,48541.0,Andorra,Europe,121.0,77254.0,0.0,,,
27,2020-05-29,764.0,1.0,51.0,-1.0,684.0,29.0,4.0,9889.0,660.0,3750.0,48541.0,Andorra,Europe,121.0,77254.0,0.0,,,
28,2020-05-30,764.0,-1.0,51.0,-1.0,692.0,21.0,4.0,9889.0,660.0,3750.0,48541.0,Andorra,Europe,122.0,77254.0,0.0,,,
29,2020-05-31,764.0,-1.0,51.0,-1.0,692.0,21.0,4.0,9889.0,660.0,3750.0,48541.0,Andorra,Europe,125.0,77255.0,0.0,,,
30,2020-06-01,764.0,-1.0,51.0,-1.0,694.0,19.0,4.0,9889.0,660.0,3750.0,48541.0,Andorra,Europe,125.0,77255.0,0.0,,,
31,2020-06-02,844.0,79.0,51.0,-1.0,733.0,60.0,7.0,10925.0,660.0,3750.0,48541.0,Andorra,Europe,123.0,77255.0,35.0,92.0,1515.0,21.0
32,2020-06-03,851.0,7.0,51.0,-1.0,735.0,65.0,7.0,11015.0,660.0,3750.0,48540.0,Andorra,Europe,123.0,77256.0,2.0,91.0,1515.0,21.0
33,2020-06-04,852.0,1.0,51.0,-1.0,738.0,63.0,7.0,11028.0,660.0,3750.0,48540.0,Andorra,Europe,123.0,77256.0,3.0,91.0,1515.0,21.0
34,2020-06-05,852.0,-1.0,51.0,-1.0,741.0,60.0,7.0,11028.0,660.0,3750.0,48540.0,Andorra,Europe,124.0,77256.0,3.0,91.0,1515.0,21.0
35,2020-06-06,852.0,-1.0,51.0,-1.0,741.0,60.0,7.0,11028.0,660.0,3750.0,48539.0,Andorra,Europe,124.0,77257.0,-1.0,91.0,1515.0,21.0
36,2020-06-07,852.0,-1.0,51.0,-1.0,744.0,57.0,7.0,11028.0,660.0,3750.0,48539.0,Andorra,Europe,124.0,77257.0,3.0,91.0,1515.0,21.0
37,2020-06-08,852.0,-1.0,51.0,-1.0,751.0,50.0,7.0,11028.0,660.0,3750.0,48539.0,Andorra,Europe,124.0,77257.0,7.0,91.0,1515.0,21.0
38,2020-06-09,852.0,-1.0,51.0,-1.0,751.0,50.0,7.0,11028.0,660.0,3750.0,48539.0,Andorra,Europe,124.0,77258.0,-1.0,91.0,1515.0,21.0
39,2020-06-10,852.0,-1.0,51.0,-1.0,759.0,42.0,7.0,11028.0,660.0,3750.0,48539.0,Andorra,Europe,126.0,77258.0,2.0,91.0,1515.0,21.0
40,2020-06-11,852.0,-1.0,51.0,-1.0,780.0,21.0,7.0,11028.0,660.0,3750.0,48538.0,Andorra,Europe,126.0,77259.0,21.0,91.0,1515.0,21.0
41,2020-06-12,853.0,1.0,51.0,-1.0,781.0,21.0,8.0,11041.0,660.0,3750.0,48538.0,Andorra,Europe,126.0,77259.0,1.0,91.0,1515.0,21.0
42,2020-06-13,853.0,-1.0,51.0,-1.0,781.0,21.0,8.0,11041.0,660.0,3750.0,48538.0,Andorra,Europe,126.0,77259.0,-1.0,91.0,1515.0,21.0
43,2020-06-14,853.0,-1.0,51.0,-1.0,781.0,21.0,8.0,11041.0,660.0,3750.0,48537.0,Andorra,Europe,127.0,77260.0,-1.0,91.0,1515.0,21.0
44,2020-06-15,853.0,-1.0,51.0,-1.0,789.0,13.0,8.0,11041.0,660.0,3750.0,48537.0,Andorra,Europe,128.0,77260.0,8.0,91.0,1515.0,21.0
45,2020-06-16,854.0,1.0,52.0,1.0,789.0,13.0,8.0,11054.0,673.0,3750.0,48537.0,Andorra,Europe,129.0,77260.0,-1.0,90.0,1486.0,21.0
46,2020-06-17,854.0,-1.0,52.0,-1.0,791.0,11.0,8.0,11053.0,673.0,3750.0,48537.0,Andorra,Europe,130.0,77261.0,2.0,90.0,1486.0,21.0
47,2020-06-18,855.0,1.0,52.0,-1.0,792.0,11.0,8.0,11066.0,673.0,3750.0,48537.0,Andorra,Europe,129.0,77261.0,1.0,90.0,1486.0,21.0
48,2020-06-19,855.0,-1.0,52.0,-1.0,792.0,11.0,8.0,11066.0,673.0,3750.0,48537.0,Andorra,Europe,130.0,77261.0,-1.0,90.0,1486.0,21.0
49,2020-06-20,855.0,-1.0,52.0,-1.0,792.0,11.0,8.0,11066.0,673.0,3750.0,48536.0,Andorra,Europe,132.0,77262.0,-1.0,90.0,1486.0,21.0
50,2020-06-21,855.0,-1.0,52.0,-1.0,792.0,11.0,8.0,11066.0,673.0,3750.0,48536.0,Andorra,Europe,132.0,77262.0,-1.0,90.0,1486.0,21.0
51,2020-06-22,855.0,-1.0,52.0,-1.0,796.0,7.0,8.0,11066.0,673.0,3750.0,48536.0,Andorra,Europe,133.0,77262.0,4.0,90.0,1486.0,21.0
52,2020-06-23,855.0,-1.0,52.0,-1.0,796.0,7.0,1.0,11066.0,673.0,3750.0,48536.0,Andorra,Europe,133.0,77263.0,-1.0,90.0,1486.0,21.0
53,2020-06-24,855.0,-1.0,52.0,-1.0,797.0,6.0,1.0,11066.0,673.0,3750.0,48536.0,Andorra,Europe,135.0,77263.0,-1.0,90.0,1486.0,21.0
54,2020-06-25,855.0,-1.0,52.0,-1.0,797.0,6.0,1.0,11066.0,673.0,3750.0,48536.0,Andorra,Europe,135.0,77263.0,-1.0,90.0,1486.0,21.0
55,2020-06-26,855.0,-1.0,52.0,-1.0,797.0,6.0,1.0,11066.0,673.0,3750.0,48535.0,Andorra,Europe,136.0,77264.0,-1.0,90.0,1486.0,21.0
56,2020-06-27,855.0,-1.0,52.0,-1.0,799.0,4.0,-1.0,11066.0,673.0,3750.0,48535.0,Andorra,Europe,136.0,77264.0,-1.0,90.0,1486.0,21.0
57,2020-06-28,855.0,-1.0,52.0,-1.0,799.0,4.0,-1.0,11066.0,673.0,3750.0,48535.0,Andorra,Europe,138.0,77264.0,-1.0,90.0,1486.0,21.0
58,2020-06-29,855.0,-1.0,52.0,-1.0,799.0,4.0,-1.0,11066.0,673.0,3750.0,48534.0,Andorra,Europe,138.0,77265.0,-1.0,90.0,1486.0,21.0
59,2020-06-30,855.0,-1.0,52.0,-1.0,799.0,4.0,-1.0,11066.0,673.0,3750.0,48534.0,Andorra,Europe,138.0,77265.0,-1.0,90.0,1486.0,21.0
60,2020-07-01,855.0,-1.0,52.0,-1.0,799.0,4.0,-1.0,11066.0,673.0,3750.0,48534.0,Andorra,Europe,138.0,77265.0,-1.0,90.0,1486.0,21.0
61,2020-07-02,855.0,-1.0,52.0,-1.0,799.0,4.0,-1.0,11066.0,673.0,3750.0,48534.0,Andorra,Europe,140.0,77266.0,-1.0,90.0,1486.0,21.0
62,2020-07-03,855.0,-1.0,52.0,-1.0,800.0,3.0,-1.0,11066.0,673.0,3750.0,48534.0,Andorra,Europe,140.0,77266.0,-1.0,90.0,1486.0,21.0
63,2020-07-04,855.0,-1.0,52.0,-1.0,800.0,3.0,-1.0,11066.0,673.0,3750.0,48534.0,Andorra,Europe,141.0,77266.0,-1.0,90.0,1486.0,21.0
64,2020-07-05,855.0,-1.0,52.0,-1.0,800.0,3.0,-1.0,11066.0,673.0,3750.0,48533.0,Andorra,Europe,141.0,77267.0,-1.0,90.0,1486.0,21.0
65,2020-07-06,855.0,-1.0,52.0,-1.0,800.0,3.0,-1.0,11066.0,673.0,3750.0,48533.0,Andorra,Europe,141.0,77267.0,-1.0,90.0,1486.0,21.0
66,2020-07-07,855.0,-1.0,52.0,-1.0,800.0,3.0,-1.0,11066.0,673.0,3750.0,48533.0,Andorra,Europe,142.0,77267.0,-1.0,90.0,1486.0,21.0
67,2020-07-08,855.0,-1.0,52.0,-1.0,800.0,3.0,-1.0,11065.0,673.0,3750.0,48532.0,Andorra,Europe,143.0,77268.0,-1.0,90.0,1486.0,21.0
68,2020-07-09,855.0,-1.0,52.0,-1.0,802.0,1.0,-1.0,11065.0,673.0,3750.0,48532.0,Andorra,Europe,143.0,77268.0,-1.0,90.0,1486.0,21.0
69,2020-07-10,855.0,-1.0,52.0,-1.0,803.0,0.0,-1.0,11065.0,673.0,3750.0,48532.0,Andorra,Europe,143.0,77268.0,1.0,90.0,1486.0,21.0
70,2020-07-11,855.0,-1.0,52.0,-1.0,803.0,0.0,-1.0,11065.0,673.0,3750.0,48532.0,Andorra,Europe,143.0,77269.0,-1.0,90.0,1486.0,21.0
71,2020-07-12,855.0,-1.0,52.0,-1.0,803.0,0.0,-1.0,11065.0,673.0,3750.0,48532.0,Andorra,Europe,143.0,77269.0,-1.0,90.0,1486.0,21.0
72,2020-07-13,855.0,-1.0,52.0,-1.0,803.0,0.0,-1.0,11065.0,673.0,3750.0,48532.0,Andorra,Europe,144.0,77269.0,-1.0,90.0,1486.0,21.0
73,2020-07-14,861.0,3.0,52.0,-1.0,803.0,6.0,-1.0,11143.0,673.0,3750.0,48531.0,Andorra,Europe,144.0,77270.0,-1.0,90.0,1486.0,21.0
74,2020-07-15,861.0,-1.0,52.0,-1.0,803.0,6.0,-1.0,11143.0,673.0,3750.0,48531.0,Andorra,Europe,144.0,77270.0,-1.0,90.0,1486.0,21.0
75,2020-07-16,862.0,-1.0,52.0,-1.0,803.0,7.0,-1.0,11156.0,673.0,3750.0,48531.0,Andorra,Europe,145.0,77270.0,-1.0,90.0,1486.0,21.0
76,2020-07-17,880.0,3.0,52.0,-1.0,803.0,25.0,-1.0,11388.0,673.0,3750.0,48530.0,Andorra,Europe,145.0,77271.0,-1.0,88.0,1486.0,21.0
77,2020-07-18,880.0,-1.0,52.0,-1.0,803.0,25.0,-1.0,11388.0,673.0,3750.0,48530.0,Andorra,Europe,145.0,77271.0,-1.0,88.0,1486.0,21.0
