,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,35.0,5.0,2.0,-1.0,11.0,22.0,-1.0,1.0,0.06,481.0,15.0,Angola,Africa,,,0.0,,,
1,2020-05-03,35.0,-1.0,2.0,-1.0,11.0,22.0,-1.0,1.0,0.06,481.0,15.0,Angola,Africa,,,0.0,,,
2,2020-05-04,35.0,-1.0,2.0,-1.0,11.0,22.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
3,2020-05-05,36.0,-1.0,2.0,-1.0,11.0,23.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
4,2020-05-06,36.0,-1.0,2.0,-1.0,11.0,23.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
5,2020-05-07,36.0,-1.0,2.0,-1.0,11.0,23.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
6,2020-05-08,43.0,-1.0,2.0,-1.0,11.0,30.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
7,2020-05-09,43.0,-1.0,2.0,-1.0,13.0,28.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
8,2020-05-10,43.0,-1.0,2.0,-1.0,13.0,28.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
9,2020-05-11,45.0,2.0,2.0,-1.0,13.0,30.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
10,2020-05-12,45.0,-1.0,2.0,-1.0,13.0,30.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
11,2020-05-13,45.0,-1.0,2.0,-1.0,14.0,29.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
12,2020-05-14,45.0,-1.0,2.0,-1.0,14.0,29.0,-1.0,1.0,0.06,3000.0,91.0,Angola,Africa,,,0.0,,,
13,2020-05-15,48.0,-1.0,2.0,-1.0,17.0,29.0,-1.0,1.0,0.06,6136.0,188.0,Angola,Africa,174.0,32720557.0,0.0,,,
14,2020-05-16,48.0,-1.0,2.0,-1.0,17.0,29.0,-1.0,1.0,0.06,6136.0,188.0,Angola,Africa,174.0,32723364.0,0.0,,,
15,2020-05-17,48.0,-1.0,2.0,-1.0,17.0,29.0,-1.0,1.0,0.06,6136.0,187.0,Angola,Africa,174.0,32726170.0,0.0,,,
16,2020-05-18,50.0,2.0,3.0,1.0,17.0,30.0,-1.0,2.0,0.09,6136.0,187.0,Angola,Africa,175.0,32728977.0,0.0,,,
17,2020-05-19,50.0,-1.0,3.0,-1.0,17.0,30.0,-1.0,2.0,0.09,6136.0,187.0,Angola,Africa,175.0,32731783.0,0.0,,,
18,2020-05-20,52.0,-1.0,3.0,-1.0,17.0,32.0,-1.0,2.0,0.09,6136.0,187.0,Angola,Africa,176.0,32734590.0,0.0,,,
19,2020-05-21,58.0,6.0,3.0,-1.0,17.0,38.0,-1.0,2.0,0.09,6136.0,187.0,Angola,Africa,175.0,32737396.0,0.0,,,
20,2020-05-22,60.0,2.0,3.0,-1.0,17.0,40.0,-1.0,2.0,0.09,6136.0,187.0,Angola,Africa,175.0,32740203.0,0.0,,,
21,2020-05-23,60.0,-1.0,3.0,-1.0,17.0,40.0,-1.0,2.0,0.09,6136.0,187.0,Angola,Africa,176.0,32743009.0,0.0,,,
22,2020-05-24,69.0,8.0,4.0,-1.0,18.0,47.0,-1.0,2.0,0.1,10000.0,305.0,Angola,Africa,176.0,32745816.0,0.0,,,
23,2020-05-25,69.0,-1.0,4.0,-1.0,18.0,47.0,-1.0,2.0,0.1,10000.0,305.0,Angola,Africa,176.0,32748622.0,0.0,,,
24,2020-05-26,70.0,-1.0,4.0,-1.0,18.0,48.0,-1.0,2.0,0.1,10000.0,305.0,Angola,Africa,176.0,32751429.0,0.0,,,
25,2020-05-27,71.0,-1.0,4.0,-1.0,18.0,49.0,-1.0,2.0,0.1,10000.0,305.0,Angola,Africa,177.0,32757041.0,0.0,,,
26,2020-05-28,74.0,3.0,4.0,-1.0,18.0,52.0,-1.0,2.0,0.1,10000.0,305.0,Angola,Africa,177.0,32757041.0,0.0,,,
27,2020-05-29,81.0,7.0,4.0,-1.0,18.0,59.0,-1.0,2.0,0.1,10000.0,305.0,Angola,Africa,176.0,32759848.0,0.0,,,
28,2020-05-30,84.0,3.0,4.0,-1.0,18.0,62.0,1.0,3.0,0.1,10000.0,305.0,Angola,Africa,175.0,32762654.0,0.0,,,
29,2020-05-31,84.0,-1.0,4.0,-1.0,18.0,62.0,1.0,3.0,0.1,10000.0,305.0,Angola,Africa,175.0,32765461.0,0.0,,,
30,2020-06-01,86.0,-1.0,4.0,-1.0,18.0,64.0,1.0,3.0,0.1,10000.0,305.0,Angola,Africa,175.0,32768267.0,0.0,,,
31,2020-06-02,86.0,-1.0,4.0,-1.0,18.0,64.0,1.0,3.0,0.1,10000.0,305.0,Angola,Africa,175.0,32771074.0,-1.0,381059.0,8192769.0,3.0
32,2020-06-03,86.0,-1.0,4.0,-1.0,18.0,64.0,1.0,3.0,0.1,10000.0,305.0,Angola,Africa,175.0,32773880.0,-1.0,381092.0,8193470.0,3.0
33,2020-06-04,86.0,-1.0,4.0,-1.0,18.0,64.0,1.0,3.0,0.1,10000.0,305.0,Angola,Africa,175.0,32776687.0,-1.0,381124.0,8194172.0,3.0
34,2020-06-05,86.0,-1.0,4.0,-1.0,21.0,61.0,1.0,3.0,0.1,10000.0,305.0,Angola,Africa,176.0,32779493.0,3.0,381157.0,8194873.0,3.0
35,2020-06-06,88.0,2.0,4.0,-1.0,24.0,60.0,1.0,3.0,0.1,10000.0,305.0,Angola,Africa,176.0,32782300.0,3.0,372526.0,8195575.0,3.0
36,2020-06-07,91.0,3.0,4.0,-1.0,24.0,63.0,1.0,3.0,0.1,10000.0,305.0,Angola,Africa,176.0,32785106.0,-1.0,360276.0,8196277.0,3.0
