,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
1,2020-05-03,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
2,2020-05-04,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
3,2020-05-05,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
4,2020-05-06,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
5,2020-05-07,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
6,2020-05-08,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
7,2020-05-09,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
8,2020-05-10,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
9,2020-05-11,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
10,2020-05-12,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
11,2020-05-13,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
12,2020-05-14,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,,,0.0,,,
13,2020-05-15,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,212.0,14986.0,0.0,,,
14,2020-05-16,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,212.0,14986.0,0.0,,,
15,2020-05-17,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,212.0,14986.0,0.0,,,
16,2020-05-18,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,212.0,14987.0,0.0,,,
17,2020-05-19,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,212.0,14987.0,0.0,,,
18,2020-05-20,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,212.0,14987.0,0.0,,,
19,2020-05-21,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,212.0,14988.0,0.0,,,
20,2020-05-22,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,212.0,14988.0,0.0,,,
21,2020-05-23,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,-1.0,-1.0,Anguilla,North America,212.0,14989.0,0.0,,,
22,2020-05-24,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,30.0,2001.0,Anguilla,North America,212.0,14989.0,0.0,,,
23,2020-05-25,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,30.0,2001.0,Anguilla,North America,212.0,14989.0,0.0,,,
24,2020-05-26,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,30.0,2001.0,Anguilla,North America,212.0,14990.0,0.0,,,
25,2020-05-27,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,30.0,2001.0,Anguilla,North America,212.0,14990.0,0.0,,,
26,2020-05-28,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,30.0,2001.0,Anguilla,North America,212.0,14990.0,0.0,,,
27,2020-05-29,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,41.0,2735.0,Anguilla,North America,212.0,14991.0,0.0,,,
28,2020-05-30,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,41.0,2735.0,Anguilla,North America,212.0,14991.0,0.0,,,
29,2020-05-31,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,41.0,2735.0,Anguilla,North America,212.0,14991.0,0.0,,,
30,2020-06-01,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,41.0,2735.0,Anguilla,North America,212.0,14992.0,0.0,,,
31,2020-06-02,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,41.0,2735.0,Anguilla,North America,212.0,14992.0,-1.0,4997.0,-1.0,366.0
32,2020-06-03,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,41.0,2735.0,Anguilla,North America,213.0,14993.0,-1.0,4998.0,-1.0,366.0
33,2020-06-04,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,41.0,2735.0,Anguilla,North America,213.0,14993.0,-1.0,4998.0,-1.0,366.0
34,2020-06-05,3.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,200.0,-1.0,41.0,2735.0,Anguilla,North America,213.0,14993.0,-1.0,4998.0,-1.0,366.0
