,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,25.0,-1.0,3.0,-1.0,15.0,7.0,1.0,255.0,31.0,151.0,1542.0,Antigua and Barbuda,North America,,,0.0,,,
1,2020-05-03,25.0,-1.0,3.0,-1.0,15.0,7.0,1.0,255.0,31.0,151.0,1542.0,Antigua and Barbuda,North America,,,0.0,,,
2,2020-05-04,25.0,-1.0,3.0,-1.0,15.0,7.0,1.0,255.0,31.0,151.0,1542.0,Antigua and Barbuda,North America,,,0.0,,,
3,2020-05-05,25.0,-1.0,3.0,-1.0,16.0,6.0,1.0,255.0,31.0,153.0,1562.0,Antigua and Barbuda,North America,,,0.0,,,
4,2020-05-06,25.0,-1.0,3.0,-1.0,16.0,6.0,1.0,255.0,31.0,153.0,1562.0,Antigua and Barbuda,North America,,,0.0,,,
5,2020-05-07,25.0,-1.0,3.0,-1.0,16.0,6.0,1.0,255.0,31.0,153.0,1562.0,Antigua and Barbuda,North America,,,0.0,,,
6,2020-05-08,25.0,-1.0,3.0,-1.0,16.0,6.0,1.0,255.0,31.0,153.0,1562.0,Antigua and Barbuda,North America,,,0.0,,,
7,2020-05-09,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1869.0,Antigua and Barbuda,North America,,,0.0,,,
8,2020-05-10,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1869.0,Antigua and Barbuda,North America,,,0.0,,,
9,2020-05-11,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1869.0,Antigua and Barbuda,North America,,,0.0,,,
10,2020-05-12,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1869.0,Antigua and Barbuda,North America,,,0.0,,,
11,2020-05-13,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1869.0,Antigua and Barbuda,North America,,,0.0,,,
12,2020-05-14,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1869.0,Antigua and Barbuda,North America,,,0.0,,,
13,2020-05-15,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1871.0,Antigua and Barbuda,North America,181.0,97824.0,0.0,,,
14,2020-05-16,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1871.0,Antigua and Barbuda,North America,181.0,97826.0,0.0,,,
15,2020-05-17,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1871.0,Antigua and Barbuda,North America,181.0,97828.0,0.0,,,
16,2020-05-18,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1871.0,Antigua and Barbuda,North America,182.0,97830.0,0.0,,,
17,2020-05-19,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1871.0,Antigua and Barbuda,North America,182.0,97833.0,0.0,,,
18,2020-05-20,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,183.0,97835.0,0.0,,,
19,2020-05-21,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,184.0,97837.0,0.0,,,
20,2020-05-22,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,184.0,97839.0,0.0,,,
21,2020-05-23,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,184.0,97842.0,0.0,,,
22,2020-05-24,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,184.0,97844.0,0.0,,,
23,2020-05-25,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,185.0,97846.0,0.0,,,
24,2020-05-26,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,185.0,97848.0,0.0,,,
25,2020-05-27,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,185.0,97853.0,0.0,,,
26,2020-05-28,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,185.0,97853.0,0.0,,,
27,2020-05-29,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,185.0,97855.0,0.0,,,
28,2020-05-30,25.0,-1.0,3.0,-1.0,19.0,3.0,1.0,255.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,186.0,97857.0,0.0,,,
29,2020-05-31,26.0,1.0,3.0,-1.0,19.0,4.0,1.0,266.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,185.0,97859.0,0.0,,,
30,2020-06-01,26.0,-1.0,3.0,-1.0,19.0,4.0,1.0,266.0,31.0,183.0,1870.0,Antigua and Barbuda,North America,186.0,97861.0,0.0,,,
31,2020-06-02,26.0,-1.0,3.0,-1.0,19.0,4.0,1.0,266.0,31.0,246.0,2514.0,Antigua and Barbuda,North America,186.0,97864.0,-1.0,3764.0,32621.0,398.0
32,2020-06-03,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,246.0,2514.0,Antigua and Barbuda,North America,186.0,97866.0,1.0,3764.0,32622.0,398.0
33,2020-06-04,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,246.0,2514.0,Antigua and Barbuda,North America,186.0,97868.0,-1.0,3764.0,32623.0,398.0
34,2020-06-05,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,246.0,2514.0,Antigua and Barbuda,North America,186.0,97870.0,-1.0,3764.0,32623.0,398.0
35,2020-06-06,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,246.0,2513.0,Antigua and Barbuda,North America,187.0,97873.0,-1.0,3764.0,32624.0,398.0
36,2020-06-07,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,246.0,2513.0,Antigua and Barbuda,North America,187.0,97875.0,-1.0,3764.0,32625.0,398.0
37,2020-06-08,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,246.0,2513.0,Antigua and Barbuda,North America,189.0,97877.0,-1.0,3765.0,32626.0,398.0
38,2020-06-09,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,246.0,2513.0,Antigua and Barbuda,North America,189.0,97879.0,-1.0,3765.0,32626.0,398.0
39,2020-06-10,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,246.0,2513.0,Antigua and Barbuda,North America,189.0,97881.0,-1.0,3765.0,32627.0,398.0
40,2020-06-11,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,489.0,4996.0,Antigua and Barbuda,North America,189.0,97884.0,-1.0,3765.0,32628.0,200.0
41,2020-06-12,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,489.0,4996.0,Antigua and Barbuda,North America,189.0,97886.0,-1.0,3765.0,32629.0,200.0
42,2020-06-13,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,489.0,4996.0,Antigua and Barbuda,North America,189.0,97888.0,-1.0,3765.0,32629.0,200.0
43,2020-06-14,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,489.0,4995.0,Antigua and Barbuda,North America,189.0,97890.0,-1.0,3765.0,32630.0,200.0
44,2020-06-15,26.0,-1.0,3.0,-1.0,20.0,3.0,1.0,266.0,31.0,489.0,4995.0,Antigua and Barbuda,North America,189.0,97892.0,-1.0,3765.0,32631.0,200.0
45,2020-06-16,26.0,-1.0,3.0,-1.0,22.0,1.0,1.0,266.0,31.0,489.0,4995.0,Antigua and Barbuda,North America,189.0,97895.0,2.0,3765.0,32632.0,200.0
46,2020-06-17,26.0,-1.0,3.0,-1.0,22.0,1.0,1.0,266.0,31.0,489.0,4995.0,Antigua and Barbuda,North America,189.0,97897.0,-1.0,3765.0,32632.0,200.0
47,2020-06-18,26.0,-1.0,3.0,-1.0,22.0,1.0,1.0,266.0,31.0,489.0,4995.0,Antigua and Barbuda,North America,189.0,97899.0,-1.0,3765.0,32633.0,200.0
48,2020-06-19,26.0,-1.0,3.0,-1.0,22.0,1.0,1.0,266.0,31.0,489.0,4995.0,Antigua and Barbuda,North America,189.0,97901.0,-1.0,3765.0,32634.0,200.0
49,2020-06-20,26.0,-1.0,3.0,-1.0,22.0,1.0,1.0,266.0,31.0,489.0,4995.0,Antigua and Barbuda,North America,189.0,97906.0,-1.0,3766.0,32635.0,200.0
