,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,4532.0,-1.0,229.0,4.0,1320.0,2983.0,157.0,100.0,5.0,61530.0,1361.0,Argentina,South America,,,0.0,,,
1,2020-05-03,4681.0,-1.0,241.0,4.0,1354.0,3086.0,157.0,104.0,5.0,65813.0,1456.0,Argentina,South America,,,0.0,,,
2,2020-05-04,4887.0,104.0,260.0,14.0,1442.0,3185.0,157.0,108.0,6.0,67920.0,1503.0,Argentina,South America,,,0.0,,,
3,2020-05-05,5020.0,-1.0,264.0,-1.0,1472.0,3284.0,148.0,111.0,6.0,69718.0,1543.0,Argentina,South America,,,0.0,,,
4,2020-05-06,5020.0,-1.0,264.0,-1.0,1524.0,3232.0,148.0,111.0,6.0,72315.0,1600.0,Argentina,South America,,,0.0,,,
5,2020-05-07,5208.0,-1.0,273.0,-1.0,1601.0,3334.0,148.0,115.0,6.0,75198.0,1664.0,Argentina,South America,,,0.0,,,
6,2020-05-08,5611.0,-1.0,293.0,-1.0,1659.0,3659.0,148.0,124.0,6.0,77901.0,1724.0,Argentina,South America,,,0.0,,,
7,2020-05-09,5766.0,-1.0,300.0,-1.0,1728.0,3738.0,148.0,128.0,7.0,80729.0,1786.0,Argentina,South America,,,0.0,,,
8,2020-05-10,5776.0,-1.0,300.0,-1.0,1757.0,3719.0,148.0,128.0,7.0,83018.0,1837.0,Argentina,South America,,,0.0,,,
9,2020-05-11,6034.0,-1.0,305.0,-1.0,1837.0,3892.0,148.0,134.0,7.0,85158.0,1884.0,Argentina,South America,,,0.0,,,
10,2020-05-12,6278.0,-1.0,317.0,3.0,1862.0,4099.0,170.0,139.0,7.0,87547.0,1937.0,Argentina,South America,,,0.0,,,
11,2020-05-13,6563.0,-1.0,321.0,2.0,2266.0,3976.0,170.0,145.0,7.0,90474.0,2002.0,Argentina,South America,,,0.0,,,
12,2020-05-14,6879.0,-1.0,344.0,15.0,2385.0,4150.0,170.0,152.0,8.0,93673.0,2073.0,Argentina,South America,,,0.0,,,
13,2020-05-15,7134.0,-1.0,353.0,-1.0,2497.0,4284.0,170.0,158.0,8.0,96893.0,2146.0,Argentina,South America,49.0,45141794.0,0.0,,,
14,2020-05-16,7479.0,-1.0,363.0,7.0,2534.0,4582.0,170.0,166.0,8.0,100362.0,2223.0,Argentina,South America,49.0,45142926.0,0.0,,,
15,2020-05-17,7805.0,-1.0,366.0,3.0,2569.0,4870.0,170.0,173.0,8.0,103220.0,2286.0,Argentina,South America,49.0,45144058.0,0.0,,,
16,2020-05-18,8068.0,-1.0,374.0,1.0,2625.0,5069.0,154.0,179.0,8.0,105829.0,2344.0,Argentina,South America,49.0,45145190.0,0.0,,,
17,2020-05-19,8371.0,-1.0,382.0,-1.0,2625.0,5364.0,154.0,185.0,8.0,105829.0,2344.0,Argentina,South America,48.0,45146322.0,0.0,,,
18,2020-05-20,8809.0,-1.0,394.0,1.0,2933.0,5482.0,154.0,195.0,9.0,112370.0,2489.0,Argentina,South America,47.0,45147454.0,0.0,,,
19,2020-05-21,9283.0,-1.0,404.0,1.0,3032.0,5847.0,171.0,206.0,9.0,116689.0,2585.0,Argentina,South America,47.0,45148586.0,0.0,,,
20,2020-05-22,9931.0,-1.0,419.0,3.0,3062.0,6450.0,171.0,220.0,9.0,121278.0,2686.0,Argentina,South America,47.0,45149718.0,0.0,,,
21,2020-05-23,10649.0,-1.0,439.0,6.0,3530.0,6680.0,171.0,236.0,10.0,125893.0,2788.0,Argentina,South America,46.0,45150850.0,0.0,,,
22,2020-05-24,11353.0,-1.0,445.0,-1.0,3530.0,7378.0,171.0,251.0,10.0,125893.0,2788.0,Argentina,South America,44.0,45151982.0,0.0,,,
23,2020-05-25,12076.0,-1.0,456.0,4.0,3999.0,7621.0,171.0,267.0,10.0,129418.0,2866.0,Argentina,South America,43.0,45153114.0,0.0,,,
24,2020-05-26,12628.0,-1.0,471.0,4.0,4167.0,7990.0,171.0,280.0,10.0,133468.0,2956.0,Argentina,South America,43.0,45154246.0,0.0,,,
25,2020-05-27,13933.0,-1.0,500.0,-1.0,4349.0,9084.0,171.0,309.0,11.0,140218.0,3105.0,Argentina,South America,43.0,45156510.0,0.0,,,
26,2020-05-28,13933.0,-1.0,501.0,1.0,4617.0,8815.0,171.0,309.0,11.0,145081.0,3213.0,Argentina,South America,43.0,45156510.0,0.0,,,
27,2020-05-29,14702.0,-1.0,510.0,2.0,4788.0,9404.0,171.0,326.0,11.0,150486.0,3332.0,Argentina,South America,43.0,45157642.0,0.0,,,
28,2020-05-30,15419.0,-1.0,524.0,4.0,4788.0,10107.0,259.0,341.0,12.0,150486.0,3332.0,Argentina,South America,43.0,45158774.0,0.0,,,
29,2020-05-31,16214.0,-1.0,530.0,2.0,5336.0,10348.0,259.0,359.0,12.0,160070.0,3545.0,Argentina,South America,43.0,45159906.0,0.0,,,
30,2020-06-01,16851.0,-1.0,541.0,2.0,5521.0,10789.0,274.0,373.0,12.0,164084.0,3633.0,Argentina,South America,42.0,45161038.0,0.0,,,
