,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2273.0,125.0,33.0,-1.0,1010.0,1230.0,10.0,767.0,11.0,23142.0,7810.0,Armenia,Asia,,,0.0,,,
1,2020-05-03,2386.0,113.0,35.0,2.0,1035.0,1316.0,10.0,805.0,12.0,24177.0,8159.0,Armenia,Asia,,,0.0,,,
2,2020-05-04,2507.0,121.0,39.0,4.0,1071.0,1397.0,10.0,846.0,13.0,24942.0,8417.0,Armenia,Asia,,,0.0,,,
3,2020-05-05,2619.0,-1.0,40.0,-1.0,1111.0,1468.0,10.0,884.0,13.0,25846.0,8722.0,Armenia,Asia,,,0.0,,,
4,2020-05-06,2782.0,163.0,40.0,-1.0,1135.0,1607.0,10.0,939.0,13.0,26929.0,9088.0,Armenia,Asia,,,0.0,,,
5,2020-05-07,2884.0,102.0,42.0,2.0,1185.0,1657.0,10.0,973.0,14.0,28017.0,9455.0,Armenia,Asia,,,0.0,,,
6,2020-05-08,3029.0,-1.0,43.0,-1.0,1218.0,1768.0,10.0,1022.0,15.0,29205.0,9856.0,Armenia,Asia,,,0.0,,,
7,2020-05-09,3175.0,-1.0,44.0,-1.0,1267.0,1864.0,10.0,1071.0,15.0,30397.0,10258.0,Armenia,Asia,,,0.0,,,
8,2020-05-10,3313.0,138.0,45.0,1.0,1325.0,1943.0,10.0,1118.0,15.0,31590.0,10661.0,Armenia,Asia,,,0.0,,,
9,2020-05-11,3392.0,79.0,46.0,1.0,1359.0,1987.0,10.0,1145.0,16.0,32561.0,10988.0,Armenia,Asia,,,0.0,,,
10,2020-05-12,3538.0,146.0,47.0,1.0,1430.0,2061.0,10.0,1194.0,16.0,33313.0,11242.0,Armenia,Asia,,,0.0,,,
11,2020-05-13,3718.0,180.0,48.0,1.0,1500.0,2170.0,10.0,1255.0,16.0,34766.0,11732.0,Armenia,Asia,,,0.0,,,
12,2020-05-14,3860.0,142.0,49.0,1.0,1572.0,2239.0,10.0,1303.0,17.0,36016.0,12154.0,Armenia,Asia,,,0.0,,,
13,2020-05-15,4044.0,184.0,52.0,3.0,1666.0,2326.0,10.0,1365.0,18.0,37476.0,12650.0,Armenia,Asia,62.0,2962544.0,0.0,,,
14,2020-05-16,4283.0,239.0,55.0,3.0,1791.0,2437.0,10.0,1446.0,19.0,39005.0,13166.0,Armenia,Asia,62.0,2962559.0,0.0,,,
15,2020-05-17,4472.0,189.0,60.0,5.0,1925.0,2487.0,10.0,1509.0,20.0,40230.0,13579.0,Armenia,Asia,62.0,2962574.0,0.0,,,
16,2020-05-18,4823.0,351.0,61.0,1.0,2019.0,2743.0,10.0,1628.0,21.0,41850.0,14126.0,Armenia,Asia,62.0,2962589.0,0.0,,,
17,2020-05-19,5041.0,218.0,64.0,3.0,2164.0,2813.0,10.0,1702.0,22.0,43041.0,14528.0,Armenia,Asia,62.0,2962604.0,0.0,,,
18,2020-05-20,5271.0,230.0,67.0,3.0,2419.0,2785.0,10.0,1779.0,23.0,44071.0,14876.0,Armenia,Asia,62.0,2962619.0,0.0,,,
19,2020-05-21,5606.0,335.0,70.0,3.0,2581.0,2955.0,10.0,1892.0,24.0,45822.0,15467.0,Armenia,Asia,62.0,2962634.0,0.0,,,
20,2020-05-22,5928.0,322.0,74.0,4.0,2874.0,2980.0,10.0,2001.0,25.0,47654.0,16085.0,Armenia,Asia,62.0,2962649.0,0.0,,,
21,2020-05-23,6302.0,374.0,77.0,3.0,2936.0,3289.0,10.0,2127.0,26.0,49080.0,16566.0,Armenia,Asia,62.0,2962665.0,0.0,,,
