,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,100.0,-1.0,2.0,-1.0,81.0,17.0,4.0,937.0,19.0,1731.0,16213.0,Aruba,North America,,,0.0,,,
1,2020-05-03,100.0,-1.0,2.0,-1.0,81.0,17.0,4.0,937.0,19.0,1731.0,16213.0,Aruba,North America,,,0.0,,,
2,2020-05-04,100.0,-1.0,2.0,-1.0,81.0,17.0,4.0,937.0,19.0,1758.0,16466.0,Aruba,North America,,,0.0,,,
3,2020-05-05,101.0,-1.0,2.0,-1.0,82.0,17.0,4.0,946.0,19.0,1780.0,16672.0,Aruba,North America,,,0.0,,,
4,2020-05-06,101.0,-1.0,2.0,-1.0,82.0,17.0,4.0,946.0,19.0,1780.0,16672.0,Aruba,North America,,,0.0,,,
5,2020-05-07,101.0,-1.0,3.0,1.0,89.0,9.0,4.0,946.0,28.0,1817.0,17019.0,Aruba,North America,,,0.0,,,
6,2020-05-08,101.0,-1.0,3.0,-1.0,89.0,9.0,4.0,946.0,28.0,1817.0,17019.0,Aruba,North America,,,0.0,,,
7,2020-05-09,101.0,-1.0,3.0,-1.0,89.0,9.0,4.0,946.0,28.0,1860.0,17421.0,Aruba,North America,,,0.0,,,
8,2020-05-10,101.0,-1.0,3.0,-1.0,89.0,9.0,4.0,946.0,28.0,1874.0,17552.0,Aruba,North America,,,0.0,,,
9,2020-05-11,101.0,-1.0,3.0,-1.0,89.0,9.0,4.0,946.0,28.0,1874.0,17552.0,Aruba,North America,,,0.0,,,
10,2020-05-12,101.0,-1.0,3.0,-1.0,89.0,9.0,4.0,946.0,28.0,1874.0,17552.0,Aruba,North America,,,0.0,,,
11,2020-05-13,101.0,-1.0,3.0,-1.0,89.0,9.0,4.0,946.0,28.0,1888.0,17684.0,Aruba,North America,,,0.0,,,
12,2020-05-14,101.0,-1.0,3.0,-1.0,91.0,7.0,4.0,946.0,28.0,1913.0,17918.0,Aruba,North America,,,0.0,,,
13,2020-05-15,101.0,-1.0,3.0,-1.0,93.0,5.0,4.0,947.0,28.0,1937.0,18152.0,Aruba,North America,162.0,106708.0,0.0,,,
14,2020-05-16,101.0,-1.0,3.0,-1.0,93.0,5.0,4.0,946.0,28.0,1937.0,18152.0,Aruba,North America,163.0,106709.0,0.0,,,
15,2020-05-17,101.0,-1.0,3.0,-1.0,93.0,5.0,4.0,946.0,28.0,1937.0,18152.0,Aruba,North America,163.0,106711.0,0.0,,,
16,2020-05-18,101.0,-1.0,3.0,-1.0,93.0,5.0,4.0,946.0,28.0,1985.0,18601.0,Aruba,North America,163.0,106712.0,0.0,,,
17,2020-05-19,101.0,-1.0,3.0,-1.0,93.0,5.0,4.0,946.0,28.0,2021.0,18939.0,Aruba,North America,163.0,106713.0,0.0,,,
18,2020-05-20,101.0,-1.0,3.0,-1.0,95.0,3.0,4.0,946.0,28.0,2025.0,18976.0,Aruba,North America,166.0,106714.0,0.0,,,
19,2020-05-21,101.0,-1.0,3.0,-1.0,95.0,3.0,4.0,946.0,28.0,2048.0,19191.0,Aruba,North America,166.0,106716.0,0.0,,,
20,2020-05-22,101.0,-1.0,3.0,-1.0,95.0,3.0,4.0,946.0,28.0,2048.0,19191.0,Aruba,North America,166.0,106717.0,0.0,,,
21,2020-05-23,101.0,-1.0,3.0,-1.0,95.0,3.0,4.0,946.0,28.0,2061.0,19313.0,Aruba,North America,166.0,106718.0,0.0,,,
22,2020-05-24,101.0,-1.0,3.0,-1.0,95.0,3.0,3.0,946.0,28.0,2070.0,19397.0,Aruba,North America,166.0,106719.0,0.0,,,
23,2020-05-25,101.0,-1.0,3.0,-1.0,95.0,3.0,3.0,946.0,28.0,2070.0,19396.0,Aruba,North America,168.0,106721.0,0.0,,,
24,2020-05-26,101.0,-1.0,3.0,-1.0,95.0,3.0,3.0,946.0,28.0,2073.0,19424.0,Aruba,North America,168.0,106722.0,0.0,,,
25,2020-05-27,101.0,-1.0,3.0,-1.0,97.0,1.0,3.0,946.0,28.0,2091.0,19593.0,Aruba,North America,169.0,106724.0,0.0,,,
26,2020-05-28,101.0,-1.0,3.0,-1.0,97.0,1.0,3.0,946.0,28.0,2105.0,19724.0,Aruba,North America,169.0,106724.0,0.0,,,
27,2020-05-29,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2105.0,19723.0,Aruba,North America,171.0,106726.0,0.0,,,
28,2020-05-30,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2117.0,19836.0,Aruba,North America,172.0,106727.0,0.0,,,
29,2020-05-31,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2134.0,19995.0,Aruba,North America,172.0,106728.0,0.0,,,
30,2020-06-01,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2134.0,19995.0,Aruba,North America,172.0,106729.0,0.0,,,
31,2020-06-02,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2134.0,19994.0,Aruba,North America,172.0,106730.0,-1.0,1057.0,35577.0,50.0
32,2020-06-03,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2134.0,19994.0,Aruba,North America,172.0,106732.0,-1.0,1057.0,35577.0,50.0
33,2020-06-04,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2138.0,20031.0,Aruba,North America,172.0,106733.0,-1.0,1057.0,35578.0,50.0
34,2020-06-05,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2138.0,20031.0,Aruba,North America,172.0,106734.0,-1.0,1057.0,35578.0,50.0
35,2020-06-06,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2168.0,20312.0,Aruba,North America,172.0,106735.0,-1.0,1057.0,35578.0,49.0
36,2020-06-07,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2174.0,20368.0,Aruba,North America,173.0,106737.0,-1.0,1057.0,35579.0,49.0
37,2020-06-08,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2179.0,20414.0,Aruba,North America,173.0,106738.0,-1.0,1057.0,35579.0,49.0
38,2020-06-09,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2179.0,20414.0,Aruba,North America,173.0,106739.0,-1.0,1057.0,35580.0,49.0
39,2020-06-10,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2179.0,20414.0,Aruba,North America,174.0,106740.0,-1.0,1057.0,35580.0,49.0
40,2020-06-11,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2186.0,20479.0,Aruba,North America,174.0,106742.0,-1.0,1057.0,35581.0,49.0
41,2020-06-12,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2199.0,20601.0,Aruba,North America,174.0,106743.0,-1.0,1057.0,35581.0,49.0
42,2020-06-13,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2208.0,20685.0,Aruba,North America,174.0,106744.0,-1.0,1057.0,35581.0,48.0
43,2020-06-14,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2220.0,20797.0,Aruba,North America,174.0,106745.0,-1.0,1057.0,35582.0,48.0
44,2020-06-15,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2220.0,20797.0,Aruba,North America,175.0,106747.0,-1.0,1057.0,35582.0,48.0
45,2020-06-16,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2227.0,20862.0,Aruba,North America,176.0,106748.0,-1.0,1057.0,35583.0,48.0
46,2020-06-17,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2233.0,20918.0,Aruba,North America,176.0,106749.0,-1.0,1057.0,35583.0,48.0
47,2020-06-18,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2241.0,20993.0,Aruba,North America,176.0,106750.0,-1.0,1057.0,35583.0,48.0
48,2020-06-19,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2245.0,21030.0,Aruba,North America,176.0,106751.0,-1.0,1057.0,35584.0,48.0
49,2020-06-20,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2249.0,21067.0,Aruba,North America,176.0,106754.0,-1.0,1057.0,35585.0,47.0
50,2020-06-21,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2261.0,21180.0,Aruba,North America,176.0,106754.0,-1.0,1057.0,35585.0,47.0
51,2020-06-22,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2270.0,21264.0,Aruba,North America,177.0,106755.0,-1.0,1057.0,35585.0,47.0
52,2020-06-23,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2270.0,21263.0,Aruba,North America,177.0,106756.0,-1.0,1057.0,35585.0,47.0
53,2020-06-24,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2270.0,21263.0,Aruba,North America,177.0,106758.0,-1.0,1057.0,35586.0,47.0
54,2020-06-25,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2284.0,21394.0,Aruba,North America,178.0,106759.0,-1.0,1057.0,35586.0,47.0
55,2020-06-26,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2284.0,21394.0,Aruba,North America,178.0,106760.0,-1.0,1057.0,35587.0,47.0
56,2020-06-27,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2333.0,21853.0,Aruba,North America,178.0,106761.0,-1.0,1057.0,35587.0,46.0
57,2020-06-28,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2343.0,21946.0,Aruba,North America,178.0,106763.0,-1.0,1057.0,35588.0,46.0
58,2020-06-29,101.0,-1.0,3.0,-1.0,98.0,0.0,-1.0,946.0,28.0,2407.0,22545.0,Aruba,North America,179.0,106764.0,-1.0,1057.0,35588.0,44.0
59,2020-06-30,103.0,-1.0,3.0,-1.0,98.0,2.0,-1.0,965.0,28.0,2412.0,22592.0,Aruba,North America,179.0,106765.0,-1.0,1037.0,35588.0,44.0
60,2020-07-01,103.0,-1.0,3.0,-1.0,98.0,2.0,-1.0,965.0,28.0,2412.0,22591.0,Aruba,North America,179.0,106766.0,-1.0,1037.0,35589.0,44.0
61,2020-07-02,104.0,1.0,3.0,-1.0,98.0,3.0,-1.0,974.0,28.0,2478.0,23209.0,Aruba,North America,179.0,106768.0,-1.0,1027.0,35589.0,43.0
62,2020-07-03,104.0,-1.0,3.0,-1.0,98.0,3.0,-1.0,974.0,28.0,2478.0,23209.0,Aruba,North America,179.0,106769.0,-1.0,1027.0,35590.0,43.0
63,2020-07-04,105.0,1.0,3.0,-1.0,98.0,4.0,-1.0,983.0,28.0,2575.0,24117.0,Aruba,North America,178.0,106770.0,-1.0,1017.0,35590.0,41.0
64,2020-07-05,105.0,-1.0,3.0,-1.0,98.0,4.0,-1.0,983.0,28.0,2575.0,24117.0,Aruba,North America,178.0,106771.0,-1.0,1017.0,35590.0,41.0
65,2020-07-06,105.0,-1.0,3.0,-1.0,98.0,4.0,-1.0,983.0,28.0,2689.0,25185.0,Aruba,North America,178.0,106772.0,-1.0,1017.0,35591.0,40.0
