,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,6783.0,16.0,93.0,-1.0,5789.0,901.0,28.0,266.0,4.0,611583.0,23984.0,Australia,Australia/Oceania,,,0.0,,,
1,2020-05-03,6801.0,20.0,95.0,2.0,5817.0,889.0,29.0,267.0,4.0,633107.0,24828.0,Australia,Australia/Oceania,,,0.0,,,
2,2020-05-04,6825.0,24.0,95.0,-1.0,5859.0,871.0,28.0,268.0,4.0,650214.0,25499.0,Australia,Australia/Oceania,,,0.0,,,
3,2020-05-05,6875.0,26.0,97.0,1.0,5975.0,803.0,27.0,270.0,4.0,684615.0,26848.0,Australia,Australia/Oceania,,,0.0,,,
4,2020-05-06,6875.0,26.0,97.0,1.0,5984.0,794.0,27.0,270.0,4.0,688656.0,27006.0,Australia,Australia/Oceania,,,0.0,,,
5,2020-05-07,6896.0,21.0,97.0,-1.0,6040.0,759.0,23.0,270.0,4.0,722549.0,28335.0,Australia,Australia/Oceania,,,0.0,,,
6,2020-05-08,6927.0,13.0,97.0,-1.0,6124.0,706.0,21.0,272.0,4.0,775080.0,30395.0,Australia,Australia/Oceania,,,0.0,,,
7,2020-05-09,6929.0,-1.0,97.0,-1.0,6135.0,697.0,19.0,272.0,4.0,795456.0,31194.0,Australia,Australia/Oceania,,,0.0,,,
8,2020-05-10,6941.0,12.0,97.0,-1.0,6163.0,681.0,17.0,272.0,4.0,827872.0,32466.0,Australia,Australia/Oceania,,,0.0,,,
9,2020-05-11,6948.0,7.0,97.0,-1.0,6179.0,672.0,16.0,272.0,4.0,855119.0,33534.0,Australia,Australia/Oceania,,,0.0,,,
10,2020-05-12,6964.0,16.0,97.0,-1.0,6229.0,638.0,16.0,273.0,4.0,877927.0,34429.0,Australia,Australia/Oceania,,,0.0,,,
11,2020-05-13,6980.0,16.0,98.0,1.0,6271.0,611.0,17.0,274.0,4.0,909025.0,35648.0,Australia,Australia/Oceania,,,0.0,,,
12,2020-05-14,6989.0,9.0,98.0,-1.0,6301.0,590.0,18.0,274.0,4.0,943480.0,36999.0,Australia,Australia/Oceania,,,0.0,,,
13,2020-05-15,7019.0,30.0,98.0,-1.0,6337.0,584.0,17.0,276.0,4.0,983816.0,38640.0,Australia,Australia/Oceania,50.0,25460983.0,0.0,,,
14,2020-05-16,7036.0,17.0,98.0,-1.0,6362.0,576.0,16.0,276.0,4.0,1015652.0,39889.0,Australia,Australia/Oceania,50.0,25461791.0,0.0,,,
15,2020-05-17,7045.0,9.0,98.0,-1.0,6367.0,580.0,16.0,277.0,4.0,1042126.0,40928.0,Australia,Australia/Oceania,50.0,25462599.0,0.0,,,
16,2020-05-18,7060.0,15.0,99.0,1.0,6392.0,569.0,12.0,277.0,4.0,1062034.0,41708.0,Australia,Australia/Oceania,53.0,25463408.0,0.0,,,
17,2020-05-19,7068.0,8.0,100.0,1.0,6413.0,555.0,11.0,278.0,4.0,1085870.0,42643.0,Australia,Australia/Oceania,53.0,25464216.0,0.0,,,
18,2020-05-20,7079.0,11.0,100.0,-1.0,6444.0,535.0,9.0,278.0,4.0,1111567.0,43651.0,Australia,Australia/Oceania,54.0,25465024.0,0.0,,,
19,2020-05-21,7081.0,2.0,100.0,-1.0,6472.0,509.0,9.0,278.0,4.0,1137684.0,44675.0,Australia,Australia/Oceania,55.0,25465832.0,0.0,,,
20,2020-05-22,7095.0,14.0,101.0,1.0,6479.0,515.0,7.0,279.0,4.0,1170682.0,45969.0,Australia,Australia/Oceania,56.0,25466640.0,0.0,,,
21,2020-05-23,7111.0,16.0,102.0,1.0,6494.0,515.0,5.0,279.0,4.0,1192262.0,46815.0,Australia,Australia/Oceania,58.0,25467448.0,0.0,,,
