,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,15558.0,27.0,596.0,7.0,13180.0,1782.0,114.0,1727.0,66.0,269619.0,29936.0,Austria,Europe,,,0.0,,,
1,2020-05-03,15597.0,39.0,598.0,2.0,13228.0,1771.0,114.0,1732.0,66.0,274355.0,30462.0,Austria,Europe,,,0.0,,,
2,2020-05-04,15621.0,24.0,600.0,2.0,13316.0,1705.0,111.0,1734.0,67.0,279071.0,30986.0,Austria,Europe,,,0.0,,,
3,2020-05-05,15650.0,-1.0,606.0,-1.0,13462.0,1582.0,104.0,1738.0,67.0,285883.0,31742.0,Austria,Europe,,,0.0,,,
4,2020-05-06,15684.0,34.0,608.0,2.0,13639.0,1437.0,97.0,1741.0,68.0,292254.0,32450.0,Austria,Europe,,,0.0,,,
5,2020-05-07,15752.0,68.0,609.0,1.0,13698.0,1445.0,92.0,1749.0,68.0,292254.0,32450.0,Austria,Europe,,,0.0,,,
6,2020-05-08,15774.0,-1.0,614.0,-1.0,13836.0,1324.0,81.0,1751.0,68.0,304069.0,33761.0,Austria,Europe,,,0.0,,,
7,2020-05-09,15833.0,-1.0,615.0,-1.0,13928.0,1290.0,79.0,1758.0,68.0,311690.0,34608.0,Austria,Europe,,,0.0,,,
8,2020-05-10,15871.0,38.0,618.0,3.0,13991.0,1262.0,72.0,1762.0,69.0,316508.0,35143.0,Austria,Europe,,,0.0,,,
9,2020-05-11,15882.0,11.0,620.0,2.0,14061.0,1201.0,68.0,1763.0,69.0,319484.0,35473.0,Austria,Europe,,,0.0,,,
10,2020-05-12,15961.0,79.0,623.0,3.0,14148.0,1190.0,59.0,1772.0,69.0,329314.0,36564.0,Austria,Europe,,,0.0,,,
11,2020-05-13,15997.0,36.0,624.0,1.0,14304.0,1069.0,55.0,1776.0,69.0,336252.0,37335.0,Austria,Europe,,,0.0,,,
12,2020-05-14,16058.0,61.0,626.0,2.0,14405.0,1027.0,54.0,1783.0,70.0,344606.0,38262.0,Austria,Europe,,,0.0,,,
13,2020-05-15,16109.0,51.0,628.0,2.0,14471.0,1010.0,47.0,1790.0,70.0,351351.0,39040.0,Austria,Europe,36.0,8999806.0,0.0,,,
14,2020-05-16,16201.0,92.0,629.0,1.0,14524.0,1048.0,50.0,1800.0,70.0,357393.0,39711.0,Austria,Europe,36.0,8999946.0,0.0,,,
15,2020-05-17,16242.0,41.0,629.0,-1.0,14563.0,1050.0,48.0,1805.0,70.0,362509.0,40278.0,Austria,Europe,35.0,9000086.0,0.0,,,
16,2020-05-18,16269.0,27.0,629.0,-1.0,14614.0,1026.0,45.0,1808.0,70.0,366069.0,40673.0,Austria,Europe,36.0,9000226.0,0.0,,,
17,2020-05-19,16321.0,52.0,632.0,3.0,14678.0,1011.0,39.0,1813.0,70.0,372435.0,41380.0,Austria,Europe,37.0,9000366.0,0.0,,,
18,2020-05-20,16353.0,32.0,633.0,1.0,14882.0,838.0,37.0,1817.0,70.0,379592.0,42175.0,Austria,Europe,39.0,9000506.0,0.0,,,
19,2020-05-21,16404.0,51.0,633.0,-1.0,14951.0,820.0,32.0,1823.0,70.0,385637.0,42845.0,Austria,Europe,38.0,9000647.0,0.0,,,
20,2020-05-22,16436.0,32.0,635.0,2.0,15005.0,796.0,31.0,1826.0,71.0,390488.0,43384.0,Austria,Europe,38.0,9000787.0,0.0,,,
21,2020-05-23,16486.0,50.0,639.0,4.0,15037.0,810.0,28.0,1832.0,71.0,396363.0,44036.0,Austria,Europe,40.0,9000927.0,0.0,,,
22,2020-05-24,16503.0,17.0,640.0,1.0,15063.0,800.0,29.0,1833.0,71.0,401857.0,44645.0,Austria,Europe,40.0,9001067.0,0.0,,,
23,2020-05-25,16539.0,36.0,641.0,1.0,15138.0,760.0,31.0,1837.0,71.0,405341.0,45032.0,Austria,Europe,40.0,9001207.0,0.0,,,
