,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1894.0,40.0,25.0,-1.0,1411.0,458.0,17.0,187.0,2.0,152597.0,15050.0,Azerbaijan,Asia,,,0.0,,,
1,2020-05-03,1932.0,38.0,25.0,-1.0,1441.0,466.0,17.0,191.0,2.0,157932.0,15576.0,Azerbaijan,Asia,,,0.0,,,
2,2020-05-04,1984.0,52.0,26.0,1.0,1480.0,478.0,18.0,196.0,3.0,157932.0,15576.0,Azerbaijan,Asia,,,0.0,,,
3,2020-05-05,2060.0,-1.0,26.0,-1.0,1508.0,526.0,18.0,203.0,3.0,164481.0,16222.0,Azerbaijan,Asia,,,0.0,,,
4,2020-05-06,2127.0,67.0,28.0,2.0,1536.0,563.0,18.0,210.0,3.0,169790.0,16746.0,Azerbaijan,Asia,,,0.0,,,
5,2020-05-07,2204.0,77.0,28.0,-1.0,1551.0,625.0,18.0,217.0,3.0,175910.0,17350.0,Azerbaijan,Asia,,,0.0,,,
6,2020-05-08,2279.0,-1.0,28.0,-1.0,1576.0,675.0,18.0,225.0,3.0,181530.0,17904.0,Azerbaijan,Asia,,,0.0,,,
7,2020-05-09,2422.0,-1.0,31.0,-1.0,1620.0,771.0,29.0,239.0,3.0,188950.0,18636.0,Azerbaijan,Asia,,,0.0,,,
8,2020-05-10,2519.0,97.0,32.0,1.0,1650.0,837.0,33.0,248.0,3.0,193411.0,19076.0,Azerbaijan,Asia,,,0.0,,,
9,2020-05-11,2589.0,70.0,32.0,-1.0,1680.0,877.0,33.0,255.0,3.0,193411.0,19076.0,Azerbaijan,Asia,,,0.0,,,
10,2020-05-12,2693.0,104.0,33.0,1.0,1680.0,980.0,28.0,266.0,3.0,202282.0,19951.0,Azerbaijan,Asia,,,0.0,,,
11,2020-05-13,2758.0,65.0,35.0,2.0,1789.0,934.0,30.0,272.0,3.0,208546.0,20568.0,Azerbaijan,Asia,,,0.0,,,
12,2020-05-14,2879.0,121.0,35.0,-1.0,1833.0,1011.0,29.0,284.0,3.0,214291.0,21135.0,Azerbaijan,Asia,,,0.0,,,
13,2020-05-15,2980.0,101.0,36.0,1.0,1886.0,1058.0,37.0,294.0,4.0,220363.0,21759.0,Azerbaijan,Asia,68.0,10127290.0,0.0,,,
14,2020-05-16,3138.0,158.0,36.0,-1.0,1944.0,1158.0,37.0,310.0,4.0,226005.0,22316.0,Azerbaijan,Asia,67.0,10127539.0,0.0,,,
15,2020-05-17,3274.0,136.0,39.0,3.0,2015.0,1220.0,37.0,323.0,4.0,232077.0,22915.0,Azerbaijan,Asia,67.0,10127789.0,0.0,,,
