,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,82.0,1.0,11.0,-1.0,24.0,47.0,1.0,209.0,28.0,1313.0,3339.0,Bahamas,North America,,,0.0,,,
1,2020-05-03,83.0,-1.0,11.0,-1.0,24.0,48.0,1.0,211.0,28.0,1353.0,3441.0,Bahamas,North America,,,0.0,,,
2,2020-05-04,83.0,-1.0,11.0,-1.0,25.0,47.0,1.0,211.0,28.0,1391.0,3537.0,Bahamas,North America,,,0.0,,,
3,2020-05-05,89.0,-1.0,11.0,-1.0,26.0,52.0,1.0,226.0,28.0,1485.0,3776.0,Bahamas,North America,,,0.0,,,
4,2020-05-06,89.0,-1.0,11.0,-1.0,26.0,52.0,1.0,226.0,28.0,1485.0,3776.0,Bahamas,North America,,,0.0,,,
5,2020-05-07,92.0,-1.0,11.0,-1.0,26.0,55.0,1.0,234.0,28.0,1500.0,3814.0,Bahamas,North America,,,0.0,,,
6,2020-05-08,92.0,-1.0,11.0,-1.0,31.0,50.0,1.0,234.0,28.0,1500.0,3814.0,Bahamas,North America,,,0.0,,,
7,2020-05-09,92.0,-1.0,11.0,-1.0,37.0,44.0,1.0,234.0,28.0,1500.0,3814.0,Bahamas,North America,,,0.0,,,
8,2020-05-10,92.0,-1.0,11.0,-1.0,37.0,44.0,1.0,234.0,28.0,1500.0,3814.0,Bahamas,North America,,,0.0,,,
9,2020-05-11,92.0,-1.0,11.0,-1.0,37.0,44.0,1.0,234.0,28.0,1500.0,3814.0,Bahamas,North America,,,0.0,,,
10,2020-05-12,93.0,-1.0,11.0,-1.0,39.0,43.0,1.0,236.0,28.0,1634.0,4155.0,Bahamas,North America,,,0.0,,,
11,2020-05-13,93.0,-1.0,11.0,-1.0,39.0,43.0,1.0,236.0,28.0,1634.0,4155.0,Bahamas,North America,,,0.0,,,
12,2020-05-14,94.0,-1.0,11.0,-1.0,41.0,42.0,1.0,239.0,28.0,1670.0,4247.0,Bahamas,North America,,,0.0,,,
