,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,3284.0,114.0,8.0,-1.0,1568.0,1708.0,1.0,1930.0,5.0,139354.0,81897.0,Bahrain,Asia,,,0.0,,,
1,2020-05-03,3383.0,99.0,8.0,-1.0,1718.0,1657.0,1.0,1988.0,5.0,144155.0,84719.0,Bahrain,Asia,,,0.0,,,
2,2020-05-04,3533.0,150.0,8.0,-1.0,1744.0,1781.0,1.0,2076.0,5.0,149586.0,87910.0,Bahrain,Asia,,,0.0,,,
3,2020-05-05,3720.0,-1.0,8.0,-1.0,1762.0,1950.0,1.0,2186.0,5.0,155501.0,91387.0,Bahrain,Asia,,,0.0,,,
4,2020-05-06,3842.0,122.0,8.0,-1.0,1860.0,1974.0,4.0,2258.0,5.0,158365.0,93070.0,Bahrain,Asia,,,0.0,,,
5,2020-05-07,4199.0,265.0,8.0,-1.0,2000.0,2191.0,4.0,2468.0,5.0,166378.0,97779.0,Bahrain,Asia,,,0.0,,,
6,2020-05-08,4444.0,-1.0,8.0,-1.0,2028.0,2408.0,2.0,2612.0,5.0,172158.0,101176.0,Bahrain,Asia,,,0.0,,,
7,2020-05-09,4774.0,-1.0,8.0,-1.0,2055.0,2711.0,2.0,2806.0,5.0,178353.0,104816.0,Bahrain,Asia,,,0.0,,,
8,2020-05-10,4856.0,82.0,8.0,-1.0,2065.0,2783.0,2.0,2854.0,5.0,182906.0,107492.0,Bahrain,Asia,,,0.0,,,
9,2020-05-11,5157.0,216.0,8.0,-1.0,2152.0,2997.0,4.0,3031.0,5.0,189174.0,111176.0,Bahrain,Asia,,,0.0,,,
10,2020-05-12,5522.0,286.0,9.0,1.0,2192.0,3321.0,5.0,3245.0,5.0,197898.0,116303.0,Bahrain,Asia,,,0.0,,,
11,2020-05-13,5780.0,249.0,9.0,-1.0,2195.0,3576.0,7.0,3397.0,5.0,202967.0,119282.0,Bahrain,Asia,,,0.0,,,
12,2020-05-14,6069.0,253.0,10.0,-1.0,2220.0,3839.0,6.0,3567.0,6.0,205570.0,120812.0,Bahrain,Asia,,,0.0,,,
13,2020-05-15,6582.0,384.0,10.0,-1.0,2640.0,3932.0,4.0,3888.0,6.0,222542.0,131447.0,Bahrain,Asia,54.0,1693017.0,0.0,,,
14,2020-05-16,6747.0,164.0,12.0,-1.0,2753.0,3982.0,3.0,3985.0,7.0,228573.0,134996.0,Bahrain,Asia,53.0,1693179.0,0.0,,,
15,2020-05-17,6956.0,209.0,12.0,-1.0,2910.0,4034.0,8.0,4108.0,7.0,236828.0,139858.0,Bahrain,Asia,52.0,1693342.0,0.0,,,
16,2020-05-18,7156.0,200.0,12.0,-1.0,2929.0,4215.0,8.0,4226.0,7.0,241132.0,142386.0,Bahrain,Asia,51.0,1693504.0,0.0,,,
17,2020-05-19,7374.0,190.0,12.0,-1.0,2952.0,4410.0,9.0,4354.0,7.0,248205.0,146549.0,Bahrain,Asia,52.0,1693667.0,0.0,,,
18,2020-05-20,7888.0,356.0,12.0,-1.0,3568.0,4308.0,9.0,4657.0,7.0,255633.0,150920.0,Bahrain,Asia,51.0,1693829.0,0.0,,,
19,2020-05-21,8174.0,286.0,12.0,-1.0,3873.0,4289.0,9.0,4825.0,7.0,262107.0,154727.0,Bahrain,Asia,51.0,1693992.0,0.0,,,
20,2020-05-22,8414.0,240.0,12.0,-1.0,4096.0,4306.0,7.0,4966.0,7.0,269179.0,158887.0,Bahrain,Asia,50.0,1694155.0,0.0,,,
21,2020-05-23,8774.0,360.0,13.0,1.0,4462.0,4299.0,8.0,5178.0,8.0,274711.0,162137.0,Bahrain,Asia,50.0,1694317.0,0.0,,,
22,2020-05-24,9138.0,336.0,13.0,-1.0,4587.0,4538.0,8.0,5393.0,8.0,276552.0,163208.0,Bahrain,Asia,49.0,1694480.0,0.0,,,
23,2020-05-25,9171.0,33.0,14.0,-1.0,4753.0,4404.0,8.0,5412.0,8.0,283884.0,167519.0,Bahrain,Asia,49.0,1694642.0,0.0,,,
24,2020-05-26,9366.0,195.0,14.0,-1.0,4938.0,4414.0,9.0,5526.0,8.0,286223.0,168883.0,Bahrain,Asia,49.0,1694805.0,0.0,,,
25,2020-05-27,9692.0,-1.0,15.0,-1.0,5152.0,4525.0,10.0,5718.0,9.0,291127.0,171743.0,Bahrain,Asia,49.0,1695130.0,0.0,,,
26,2020-05-28,10052.0,360.0,15.0,-1.0,5419.0,4618.0,9.0,5930.0,9.0,297873.0,175723.0,Bahrain,Asia,49.0,1695130.0,0.0,,,
27,2020-05-29,10449.0,397.0,15.0,-1.0,5700.0,4734.0,9.0,6164.0,9.0,304179.0,179426.0,Bahrain,Asia,49.0,1695292.0,0.0,,,
28,2020-05-30,10793.0,344.0,15.0,-1.0,5826.0,4952.0,10.0,6366.0,9.0,309573.0,182590.0,Bahrain,Asia,49.0,1695455.0,0.0,,,
29,2020-05-31,11288.0,495.0,19.0,2.0,6673.0,4596.0,12.0,6657.0,11.0,314823.0,185669.0,Bahrain,Asia,50.0,1695617.0,0.0,,,
30,2020-06-01,11871.0,473.0,19.0,-1.0,7070.0,4782.0,11.0,7000.0,11.0,322054.0,189915.0,Bahrain,Asia,47.0,1695780.0,0.0,,,
31,2020-06-02,12311.0,440.0,19.0,-1.0,7407.0,4885.0,10.0,7259.0,11.0,330733.0,195014.0,Bahrain,Asia,47.0,1695942.0,337.0,138.0,89260.0,5.0
32,2020-06-03,12815.0,504.0,20.0,1.0,7410.0,5385.0,10.0,7556.0,12.0,335895.0,198039.0,Bahrain,Asia,47.0,1696105.0,3.0,132.0,84805.0,5.0
33,2020-06-04,13229.0,414.0,21.0,1.0,7728.0,5480.0,9.0,7799.0,12.0,345337.0,203586.0,Bahrain,Asia,47.0,1696267.0,318.0,128.0,80775.0,5.0
34,2020-06-05,13835.0,539.0,22.0,1.0,8585.0,5228.0,12.0,8155.0,13.0,354122.0,208745.0,Bahrain,Asia,47.0,1696430.0,857.0,123.0,77110.0,5.0
35,2020-06-06,14383.0,548.0,24.0,2.0,9056.0,5303.0,15.0,8478.0,14.0,361376.0,213001.0,Bahrain,Asia,47.0,1696592.0,471.0,118.0,70691.0,5.0
36,2020-06-07,14763.0,380.0,26.0,2.0,9468.0,5269.0,13.0,8701.0,15.0,367056.0,216328.0,Bahrain,Asia,47.0,1696755.0,412.0,115.0,65260.0,5.0
37,2020-06-08,15417.0,654.0,27.0,1.0,10326.0,5064.0,12.0,9085.0,16.0,374362.0,220613.0,Bahrain,Asia,47.0,1696917.0,858.0,110.0,62849.0,5.0
38,2020-06-09,15731.0,314.0,29.0,2.0,10606.0,5096.0,13.0,9269.0,17.0,378235.0,222874.0,Bahrain,Asia,47.0,1697080.0,280.0,108.0,58520.0,4.0
39,2020-06-10,16200.0,469.0,31.0,2.0,11109.0,5060.0,12.0,9545.0,18.0,386134.0,227507.0,Bahrain,Asia,47.0,1697242.0,503.0,105.0,54750.0,4.0
40,2020-06-11,16667.0,467.0,34.0,3.0,11487.0,5146.0,14.0,9819.0,20.0,393910.0,232066.0,Bahrain,Asia,48.0,1697405.0,378.0,102.0,49924.0,4.0
41,2020-06-12,17269.0,602.0,36.0,2.0,11903.0,5330.0,10.0,10173.0,21.0,403036.0,237420.0,Bahrain,Asia,47.0,1697568.0,416.0,98.0,47155.0,4.0
42,2020-06-13,17713.0,444.0,37.0,1.0,12191.0,5485.0,12.0,10433.0,22.0,410842.0,241995.0,Bahrain,Asia,46.0,1697730.0,288.0,96.0,45885.0,4.0
43,2020-06-14,18227.0,514.0,42.0,5.0,12818.0,5367.0,18.0,10735.0,25.0,418413.0,246431.0,Bahrain,Asia,46.0,1697893.0,627.0,93.0,40426.0,4.0
44,2020-06-15,19013.0,786.0,46.0,4.0,13267.0,5700.0,20.0,11197.0,27.0,425192.0,250399.0,Bahrain,Asia,46.0,1698055.0,449.0,89.0,36914.0,4.0
45,2020-06-16,19553.0,540.0,47.0,1.0,13866.0,5640.0,27.0,11514.0,28.0,438080.0,257965.0,Bahrain,Asia,45.0,1698218.0,599.0,87.0,36132.0,4.0
46,2020-06-17,19961.0,408.0,49.0,2.0,14185.0,5727.0,27.0,11753.0,29.0,445669.0,262408.0,Bahrain,Asia,45.0,1698380.0,319.0,85.0,34661.0,4.0
47,2020-06-18,19961.0,-1.0,55.0,6.0,14185.0,5721.0,27.0,11752.0,32.0,445669.0,262383.0,Bahrain,Asia,47.0,1698543.0,-1.0,85.0,30883.0,4.0
48,2020-06-19,20916.0,486.0,57.0,2.0,15287.0,5572.0,36.0,12313.0,34.0,462627.0,272341.0,Bahrain,Asia,46.0,1698705.0,591.0,81.0,29802.0,4.0
49,2020-06-20,21331.0,415.0,60.0,3.0,15790.0,5481.0,33.0,12555.0,35.0,470409.0,276869.0,Bahrain,Asia,46.0,1699030.0,503.0,80.0,28317.0,4.0
50,2020-06-21,21764.0,433.0,63.0,3.0,16419.0,5282.0,33.0,12810.0,37.0,477788.0,281212.0,Bahrain,Asia,46.0,1699030.0,629.0,78.0,26969.0,4.0
51,2020-06-22,22407.0,643.0,65.0,2.0,16862.0,5480.0,37.0,13187.0,38.0,485715.0,285850.0,Bahrain,Asia,46.0,1699193.0,443.0,76.0,26141.0,3.0
52,2020-06-23,23062.0,655.0,67.0,2.0,16862.0,6133.0,36.0,13571.0,39.0,485715.0,285823.0,Bahrain,Asia,46.0,1699355.0,-1.0,74.0,25364.0,3.0
53,2020-06-24,23062.0,-1.0,68.0,1.0,17450.0,5544.0,36.0,13570.0,40.0,494028.0,290687.0,Bahrain,Asia,46.0,1699518.0,-1.0,74.0,24993.0,3.0
54,2020-06-25,24081.0,511.0,71.0,2.0,18501.0,5509.0,38.0,14168.0,42.0,511458.0,300914.0,Bahrain,Asia,46.0,1699680.0,524.0,71.0,23939.0,3.0
55,2020-06-26,24805.0,724.0,73.0,2.0,19137.0,5595.0,48.0,14593.0,43.0,521101.0,306558.0,Bahrain,Asia,46.0,1699843.0,636.0,69.0,23286.0,3.0
56,2020-06-27,25267.0,462.0,78.0,5.0,19781.0,5408.0,42.0,14863.0,46.0,529242.0,311318.0,Bahrain,Asia,46.0,1700005.0,644.0,67.0,21795.0,3.0
57,2020-06-28,25705.0,438.0,83.0,5.0,20517.0,5105.0,41.0,15119.0,49.0,536516.0,315566.0,Bahrain,Asia,45.0,1700168.0,736.0,66.0,20484.0,3.0
58,2020-06-29,26239.0,534.0,84.0,1.0,20928.0,5227.0,43.0,15432.0,49.0,545125.0,320600.0,Bahrain,Asia,45.0,1700330.0,411.0,65.0,20242.0,3.0
59,2020-06-30,26758.0,519.0,87.0,3.0,21331.0,5340.0,50.0,15735.0,51.0,554239.0,325928.0,Bahrain,Asia,45.0,1700493.0,403.0,64.0,19546.0,3.0
60,2020-07-01,27414.0,656.0,92.0,5.0,21948.0,5374.0,52.0,16120.0,54.0,564365.0,331852.0,Bahrain,Asia,44.0,1700655.0,617.0,62.0,18485.0,3.0
61,2020-07-02,27414.0,-1.0,93.0,1.0,21948.0,5373.0,52.0,16118.0,55.0,564365.0,331820.0,Bahrain,Asia,46.0,1700818.0,-1.0,62.0,18288.0,3.0
62,2020-07-03,28410.0,573.0,95.0,1.0,23318.0,4997.0,48.0,16702.0,56.0,584070.0,343373.0,Bahrain,Asia,45.0,1700980.0,735.0,60.0,17905.0,3.0
63,2020-07-04,28410.0,-1.0,96.0,1.0,23318.0,4996.0,47.0,16701.0,56.0,584070.0,343340.0,Bahrain,Asia,47.0,1701143.0,-1.0,60.0,17720.0,3.0
64,2020-07-05,29367.0,510.0,97.0,1.0,24649.0,4621.0,45.0,17261.0,57.0,602151.0,353935.0,Bahrain,Asia,46.0,1701306.0,690.0,58.0,17539.0,3.0
65,2020-07-06,29821.0,454.0,98.0,1.0,25178.0,4545.0,54.0,17527.0,58.0,612096.0,359746.0,Bahrain,Asia,46.0,1701468.0,529.0,57.0,17362.0,3.0
66,2020-07-07,29821.0,-1.0,98.0,-1.0,25178.0,4545.0,54.0,17525.0,58.0,612096.0,359711.0,Bahrain,Asia,46.0,1701631.0,-1.0,57.0,17364.0,3.0
67,2020-07-08,30931.0,610.0,98.0,-1.0,26073.0,4760.0,56.0,18176.0,58.0,630753.0,370640.0,Bahrain,Asia,46.0,1701793.0,503.0,55.0,17365.0,3.0
68,2020-07-09,30931.0,-1.0,102.0,4.0,26073.0,4756.0,53.0,18174.0,60.0,630753.0,370605.0,Bahrain,Asia,46.0,1701956.0,-1.0,55.0,16686.0,3.0
69,2020-07-10,32039.0,511.0,104.0,1.0,27213.0,4722.0,53.0,18823.0,61.0,649020.0,381301.0,Bahrain,Asia,46.0,1702118.0,693.0,53.0,16367.0,3.0
70,2020-07-11,32039.0,-1.0,104.0,-1.0,27213.0,4722.0,53.0,18821.0,61.0,649020.0,381265.0,Bahrain,Asia,47.0,1702281.0,-1.0,53.0,16368.0,3.0
71,2020-07-12,32941.0,471.0,108.0,4.0,28425.0,4408.0,47.0,19347.0,63.0,666248.0,391311.0,Bahrain,Asia,45.0,1702606.0,597.0,52.0,15765.0,3.0
72,2020-07-13,33476.0,535.0,109.0,1.0,29099.0,4268.0,50.0,19662.0,64.0,675451.0,396716.0,Bahrain,Asia,45.0,1702606.0,674.0,51.0,15620.0,3.0
73,2020-07-14,33476.0,-1.0,109.0,-1.0,29099.0,4268.0,50.0,19660.0,64.0,675451.0,396678.0,Bahrain,Asia,46.0,1702768.0,-1.0,51.0,15622.0,3.0
74,2020-07-15,34560.0,482.0,117.0,6.0,30320.0,4123.0,48.0,20294.0,69.0,693539.0,407262.0,Bahrain,Asia,45.0,1702931.0,567.0,49.0,14555.0,2.0
75,2020-07-16,35084.0,524.0,121.0,4.0,30809.0,4154.0,48.0,20600.0,71.0,703002.0,412780.0,Bahrain,Asia,44.0,1703093.0,489.0,49.0,14075.0,2.0
76,2020-07-17,35473.0,389.0,124.0,3.0,31188.0,4161.0,47.0,20827.0,73.0,710686.0,417251.0,Bahrain,Asia,45.0,1703256.0,379.0,48.0,13736.0,2.0
77,2020-07-18,36004.0,531.0,124.0,-1.0,31765.0,4115.0,51.0,21136.0,73.0,717723.0,421343.0,Bahrain,Asia,45.0,1703418.0,577.0,47.0,13737.0,2.0
78,2020-07-19,36422.0,418.0,126.0,2.0,32372.0,3924.0,46.0,21380.0,74.0,726140.0,426243.0,Bahrain,Asia,47.0,1703581.0,607.0,47.0,13520.0,2.0
79,2020-07-20,36936.0,514.0,128.0,2.0,32965.0,3843.0,46.0,21679.0,75.0,735492.0,431692.0,Bahrain,Asia,46.0,1703743.0,593.0,46.0,13310.0,2.0
80,2020-07-21,37316.0,380.0,129.0,1.0,33455.0,3732.0,47.0,21900.0,76.0,744694.0,437051.0,Bahrain,Asia,47.0,1703906.0,490.0,46.0,13209.0,2.0
81,2020-07-22,37316.0,-1.0,130.0,1.0,33455.0,3731.0,47.0,21898.0,76.0,744694.0,437010.0,Bahrain,Asia,47.0,1704068.0,-1.0,46.0,13108.0,2.0
82,2020-07-23,37996.0,359.0,134.0,4.0,34412.0,3450.0,45.0,22293.0,79.0,760733.0,446337.0,Bahrain,Asia,47.0,1704393.0,518.0,45.0,12719.0,2.0
83,2020-07-24,38458.0,462.0,136.0,2.0,34826.0,3496.0,48.0,22564.0,80.0,771500.0,452654.0,Bahrain,Asia,47.0,1704393.0,414.0,44.0,12532.0,2.0
84,2020-07-25,38747.0,289.0,137.0,1.0,35205.0,3405.0,51.0,22731.0,80.0,780081.0,457645.0,Bahrain,Asia,47.0,1704556.0,379.0,44.0,12442.0,2.0
85,2020-07-26,38747.0,-1.0,140.0,3.0,35205.0,3402.0,51.0,22729.0,82.0,780081.0,457601.0,Bahrain,Asia,47.0,1704719.0,-1.0,44.0,12177.0,2.0
86,2020-07-27,39482.0,351.0,141.0,1.0,36110.0,3231.0,44.0,23158.0,83.0,798799.0,468537.0,Bahrain,Asia,47.0,1704881.0,421.0,43.0,12091.0,2.0
87,2020-07-28,39921.0,439.0,141.0,-1.0,36531.0,3249.0,50.0,23411.0,83.0,808276.0,474005.0,Bahrain,Asia,47.0,1705206.0,421.0,43.0,12094.0,2.0
88,2020-07-29,40311.0,390.0,144.0,3.0,36920.0,3247.0,41.0,23640.0,84.0,817608.0,479478.0,Bahrain,Asia,48.0,1705206.0,389.0,42.0,11842.0,2.0
89,2020-07-30,40755.0,444.0,146.0,2.0,37357.0,3252.0,41.0,23898.0,86.0,826672.0,484747.0,Bahrain,Asia,48.0,1705369.0,437.0,42.0,11681.0,2.0
90,2020-07-31,40982.0,227.0,147.0,1.0,37840.0,2995.0,41.0,24029.0,86.0,830998.0,487237.0,Bahrain,Asia,48.0,1705531.0,483.0,42.0,11602.0,2.0
91,2020-08-01,41190.0,208.0,147.0,-1.0,38211.0,2832.0,43.0,24149.0,86.0,835211.0,489661.0,Bahrain,Asia,48.0,1705694.0,371.0,41.0,11603.0,2.0
92,2020-08-02,41536.0,346.0,147.0,-1.0,38666.0,2723.0,47.0,24349.0,86.0,842992.0,494175.0,Bahrain,Asia,48.0,1705856.0,455.0,41.0,11604.0,2.0
