,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,8790.0,552.0,175.0,5.0,177.0,8438.0,1.0,53.0,1.0,76066.0,462.0,Bangladesh,Asia,,,0.0,,,
1,2020-05-03,9455.0,665.0,177.0,2.0,1063.0,8215.0,1.0,57.0,1.0,81434.0,494.0,Bangladesh,Asia,,,0.0,,,
2,2020-05-04,10143.0,688.0,182.0,5.0,1209.0,8752.0,1.0,62.0,1.0,87694.0,532.0,Bangladesh,Asia,,,0.0,,,
3,2020-05-05,10929.0,-1.0,183.0,-1.0,1403.0,9343.0,1.0,66.0,1.0,93405.0,567.0,Bangladesh,Asia,,,0.0,,,
4,2020-05-06,11719.0,790.0,186.0,3.0,1403.0,10130.0,1.0,71.0,1.0,99646.0,605.0,Bangladesh,Asia,,,0.0,,,
5,2020-05-07,12425.0,706.0,199.0,13.0,1910.0,10316.0,1.0,75.0,1.0,105513.0,641.0,Bangladesh,Asia,,,0.0,,,
6,2020-05-08,13134.0,-1.0,206.0,-1.0,2101.0,10827.0,1.0,80.0,1.0,111401.0,676.0,Bangladesh,Asia,,,0.0,,,
7,2020-05-09,13770.0,-1.0,214.0,-1.0,2414.0,11142.0,1.0,84.0,1.0,116919.0,710.0,Bangladesh,Asia,,,0.0,,,
8,2020-05-10,14657.0,887.0,228.0,14.0,2650.0,11779.0,1.0,89.0,1.0,122657.0,745.0,Bangladesh,Asia,,,0.0,,,
9,2020-05-11,15691.0,1034.0,239.0,11.0,2902.0,12550.0,1.0,95.0,1.0,129865.0,789.0,Bangladesh,Asia,,,0.0,,,
10,2020-05-12,16660.0,969.0,250.0,11.0,3147.0,13263.0,1.0,101.0,2.0,136638.0,830.0,Bangladesh,Asia,,,0.0,,,
11,2020-05-13,17822.0,1162.0,269.0,19.0,3361.0,14192.0,1.0,108.0,2.0,144538.0,878.0,Bangladesh,Asia,,,0.0,,,
12,2020-05-14,18863.0,1041.0,283.0,14.0,3361.0,15219.0,1.0,115.0,2.0,151930.0,923.0,Bangladesh,Asia,,,0.0,,,
13,2020-05-15,20065.0,1202.0,298.0,15.0,3882.0,15885.0,1.0,122.0,2.0,160512.0,976.0,Bangladesh,Asia,29.0,164475123.0,0.0,,,
14,2020-05-16,20995.0,930.0,314.0,16.0,4117.0,16564.0,1.0,128.0,2.0,167114.0,1016.0,Bangladesh,Asia,29.0,164479603.0,0.0,,,
15,2020-05-17,22268.0,1273.0,328.0,14.0,4373.0,17567.0,1.0,135.0,2.0,175228.0,1065.0,Bangladesh,Asia,29.0,164484082.0,0.0,,,
16,2020-05-18,23870.0,1602.0,349.0,21.0,4585.0,18936.0,1.0,145.0,2.0,185086.0,1125.0,Bangladesh,Asia,29.0,164488562.0,0.0,,,
17,2020-05-19,25121.0,1251.0,370.0,21.0,4993.0,19758.0,1.0,153.0,2.0,193645.0,1177.0,Bangladesh,Asia,27.0,164493041.0,0.0,,,
18,2020-05-20,26738.0,1617.0,386.0,16.0,5207.0,21145.0,1.0,163.0,2.0,203852.0,1239.0,Bangladesh,Asia,27.0,164497521.0,0.0,,,
19,2020-05-21,28511.0,1773.0,408.0,22.0,5602.0,22501.0,1.0,173.0,2.0,214114.0,1302.0,Bangladesh,Asia,27.0,164502000.0,0.0,,,
