,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,81.0,-1.0,7.0,-1.0,44.0,30.0,4.0,282.0,24.0,2369.0,8244.0,Barbados,North America,,,0.0,,,
1,2020-05-03,81.0,-1.0,7.0,-1.0,44.0,30.0,4.0,282.0,24.0,2369.0,8244.0,Barbados,North America,,,0.0,,,
2,2020-05-04,82.0,1.0,7.0,-1.0,46.0,29.0,4.0,285.0,24.0,2458.0,8553.0,Barbados,North America,,,0.0,,,
3,2020-05-05,82.0,-1.0,7.0,-1.0,47.0,28.0,4.0,285.0,24.0,2549.0,8870.0,Barbados,North America,,,0.0,,,
4,2020-05-06,82.0,-1.0,7.0,-1.0,47.0,28.0,4.0,285.0,24.0,2549.0,8870.0,Barbados,North America,,,0.0,,,
5,2020-05-07,82.0,-1.0,7.0,-1.0,53.0,22.0,4.0,285.0,24.0,2699.0,9392.0,Barbados,North America,,,0.0,,,
6,2020-05-08,83.0,-1.0,7.0,-1.0,53.0,23.0,4.0,289.0,24.0,2788.0,9702.0,Barbados,North America,,,0.0,,,
7,2020-05-09,84.0,-1.0,7.0,-1.0,57.0,20.0,4.0,292.0,24.0,2926.0,10182.0,Barbados,North America,,,0.0,,,
8,2020-05-10,84.0,-1.0,7.0,-1.0,57.0,20.0,4.0,292.0,24.0,2926.0,10182.0,Barbados,North America,,,0.0,,,
9,2020-05-11,84.0,-1.0,7.0,-1.0,57.0,20.0,4.0,292.0,24.0,2990.0,10405.0,Barbados,North America,,,0.0,,,
10,2020-05-12,84.0,-1.0,7.0,-1.0,57.0,20.0,4.0,292.0,24.0,3008.0,10467.0,Barbados,North America,,,0.0,,,
11,2020-05-13,85.0,-1.0,7.0,-1.0,57.0,21.0,4.0,296.0,24.0,3185.0,11083.0,Barbados,North America,,,0.0,,,
12,2020-05-14,85.0,-1.0,7.0,-1.0,65.0,13.0,4.0,296.0,24.0,3480.0,12110.0,Barbados,North America,,,0.0,,,
