,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,15828.0,911.0,97.0,4.0,3117.0,12614.0,92.0,1675.0,10.0,195430.0,20682.0,Belarus,Europe,,,0.0,,,
1,2020-05-03,16705.0,877.0,99.0,2.0,3196.0,13410.0,92.0,1768.0,10.0,204239.0,21614.0,Belarus,Europe,,,0.0,,,
2,2020-05-04,17489.0,784.0,103.0,4.0,3259.0,14127.0,92.0,1851.0,11.0,211369.0,22369.0,Belarus,Europe,,,0.0,,,
3,2020-05-05,18350.0,-1.0,107.0,-1.0,3771.0,14472.0,92.0,1942.0,11.0,211369.0,22369.0,Belarus,Europe,,,0.0,,,
4,2020-05-06,19255.0,905.0,112.0,5.0,4388.0,14755.0,92.0,2038.0,12.0,220045.0,23287.0,Belarus,Europe,,,0.0,,,
5,2020-05-07,20168.0,913.0,116.0,4.0,5067.0,14985.0,92.0,2134.0,12.0,229466.0,24284.0,Belarus,Europe,,,0.0,,,
6,2020-05-08,21101.0,-1.0,121.0,-1.0,5484.0,15496.0,92.0,2233.0,13.0,240146.0,25414.0,Belarus,Europe,,,0.0,,,
7,2020-05-09,22052.0,-1.0,126.0,-1.0,6050.0,15876.0,92.0,2334.0,13.0,251771.0,26644.0,Belarus,Europe,,,0.0,,,
8,2020-05-10,22973.0,921.0,131.0,5.0,6406.0,16436.0,92.0,2431.0,14.0,263543.0,27890.0,Belarus,Europe,,,0.0,,,
9,2020-05-11,23906.0,933.0,135.0,4.0,6531.0,17240.0,92.0,2530.0,14.0,274060.0,29003.0,Belarus,Europe,,,0.0,,,
10,2020-05-12,24873.0,967.0,142.0,7.0,6974.0,17757.0,92.0,2632.0,15.0,284445.0,30102.0,Belarus,Europe,,,0.0,,,
11,2020-05-13,25825.0,952.0,146.0,4.0,7711.0,17968.0,92.0,2733.0,15.0,296380.0,31365.0,Belarus,Europe,,,0.0,,,
12,2020-05-14,26772.0,947.0,151.0,5.0,8168.0,18453.0,92.0,2833.0,16.0,308156.0,32611.0,Belarus,Europe,,,0.0,,,
13,2020-05-15,27730.0,958.0,156.0,5.0,8807.0,18767.0,92.0,2934.0,17.0,321705.0,34044.0,Belarus,Europe,25.0,9449712.0,0.0,,,
14,2020-05-16,28681.0,951.0,160.0,4.0,9498.0,19023.0,92.0,3035.0,17.0,335057.0,35457.0,Belarus,Europe,25.0,9449703.0,0.0,,,
15,2020-05-17,29650.0,969.0,165.0,5.0,9932.0,19553.0,92.0,3138.0,17.0,350515.0,37093.0,Belarus,Europe,24.0,9449695.0,0.0,,,
16,2020-05-18,30572.0,922.0,171.0,6.0,10130.0,20271.0,92.0,3235.0,18.0,364319.0,38554.0,Belarus,Europe,23.0,9449686.0,0.0,,,
17,2020-05-19,31508.0,936.0,175.0,4.0,10620.0,20713.0,92.0,3334.0,19.0,375076.0,39692.0,Belarus,Europe,22.0,9449678.0,0.0,,,
18,2020-05-20,32426.0,918.0,179.0,4.0,11415.0,20832.0,92.0,3431.0,19.0,387673.0,41025.0,Belarus,Europe,22.0,9449669.0,0.0,,,
19,2020-05-21,33371.0,945.0,185.0,6.0,12057.0,21129.0,92.0,3531.0,20.0,403236.0,42672.0,Belarus,Europe,22.0,9449661.0,0.0,,,
20,2020-05-22,34303.0,932.0,190.0,5.0,12833.0,21280.0,92.0,3630.0,20.0,419004.0,44341.0,Belarus,Europe,22.0,9449653.0,0.0,,,
21,2020-05-23,35244.0,941.0,194.0,4.0,13528.0,21522.0,92.0,3730.0,21.0,434618.0,45993.0,Belarus,Europe,22.0,9449644.0,0.0,,,
22,2020-05-24,36198.0,954.0,199.0,5.0,14155.0,21844.0,92.0,3831.0,21.0,450627.0,47687.0,Belarus,Europe,22.0,9449636.0,0.0,,,
23,2020-05-25,37144.0,946.0,204.0,5.0,14449.0,22491.0,92.0,3931.0,22.0,463004.0,48997.0,Belarus,Europe,22.0,9449627.0,0.0,,,
24,2020-05-26,38059.0,915.0,208.0,4.0,15086.0,22765.0,92.0,4028.0,22.0,472906.0,50045.0,Belarus,Europe,21.0,9449619.0,0.0,,,
25,2020-05-27,38956.0,-1.0,214.0,-1.0,15923.0,22819.0,92.0,4123.0,23.0,485534.0,51381.0,Belarus,Europe,21.0,9449602.0,0.0,,,
26,2020-05-28,39858.0,902.0,219.0,5.0,16660.0,22979.0,92.0,4218.0,23.0,499249.0,52833.0,Belarus,Europe,22.0,9449602.0,0.0,,,
27,2020-05-29,40764.0,906.0,224.0,5.0,17390.0,23150.0,92.0,4314.0,24.0,512418.0,54226.0,Belarus,Europe,22.0,9449593.0,0.0,,,
28,2020-05-30,41658.0,894.0,229.0,5.0,17964.0,23465.0,92.0,4408.0,24.0,526559.0,55723.0,Belarus,Europe,22.0,9449585.0,0.0,,,
29,2020-05-31,42556.0,898.0,235.0,6.0,18514.0,23807.0,92.0,4503.0,25.0,541093.0,57261.0,Belarus,Europe,22.0,9449576.0,0.0,,,
30,2020-06-01,43403.0,847.0,240.0,5.0,18776.0,24387.0,92.0,4593.0,25.0,553377.0,58561.0,Belarus,Europe,22.0,9449568.0,0.0,,,
31,2020-06-02,44255.0,852.0,243.0,3.0,19195.0,24817.0,92.0,4683.0,26.0,562945.0,59574.0,Belarus,Europe,22.0,9449559.0,419.0,214.0,38887.0,17.0
32,2020-06-03,45116.0,861.0,248.0,5.0,20171.0,24697.0,92.0,4774.0,26.0,573699.0,60712.0,Belarus,Europe,22.0,9449551.0,976.0,209.0,38103.0,16.0
33,2020-06-04,45981.0,865.0,253.0,5.0,21162.0,24566.0,92.0,4866.0,27.0,585065.0,61915.0,Belarus,Europe,22.0,9449542.0,991.0,206.0,37350.0,16.0
34,2020-06-05,46868.0,887.0,259.0,6.0,22066.0,24543.0,92.0,4960.0,27.0,597013.0,63179.0,Belarus,Europe,22.0,9449534.0,904.0,202.0,36485.0,16.0
35,2020-06-06,47751.0,883.0,263.0,4.0,23015.0,24473.0,92.0,5053.0,28.0,609671.0,64519.0,Belarus,Europe,21.0,9449526.0,949.0,198.0,35930.0,15.0
36,2020-06-07,48630.0,879.0,269.0,6.0,23647.0,24714.0,92.0,5146.0,28.0,622313.0,65857.0,Belarus,Europe,21.0,9449517.0,632.0,194.0,35128.0,15.0
37,2020-06-08,49453.0,823.0,276.0,7.0,23880.0,25297.0,92.0,5233.0,29.0,632993.0,66987.0,Belarus,Europe,22.0,9449509.0,233.0,191.0,34237.0,15.0
38,2020-06-09,50265.0,812.0,282.0,6.0,24506.0,25477.0,92.0,5319.0,30.0,644160.0,68169.0,Belarus,Europe,22.0,9449500.0,626.0,188.0,33509.0,15.0
39,2020-06-10,51066.0,801.0,288.0,6.0,25667.0,25111.0,92.0,5404.0,30.0,659565.0,69799.0,Belarus,Europe,22.0,9449492.0,1161.0,185.0,32811.0,14.0
