,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,49517.0,485.0,7765.0,62.0,12211.0,29541.0,689.0,4273.0,670.0,260996.0,22520.0,Belgium,Europe,,,0.0,,,
1,2020-05-03,49906.0,389.0,7844.0,79.0,12309.0,29753.0,674.0,4306.0,677.0,423971.0,36582.0,Belgium,Europe,,,0.0,,,
2,2020-05-04,50267.0,361.0,7924.0,80.0,12378.0,29965.0,655.0,4337.0,684.0,440700.0,38025.0,Belgium,Europe,,,0.0,,,
3,2020-05-05,50509.0,-1.0,8016.0,-1.0,12441.0,30052.0,646.0,4358.0,692.0,456194.0,39362.0,Belgium,Europe,,,0.0,,,
4,2020-05-06,50781.0,272.0,8339.0,323.0,12731.0,29711.0,646.0,4382.0,720.0,474176.0,40914.0,Belgium,Europe,,,0.0,,,
5,2020-05-07,51420.0,639.0,8415.0,76.0,12980.0,30025.0,538.0,4437.0,726.0,493325.0,42566.0,Belgium,Europe,,,0.0,,,
6,2020-05-08,52011.0,-1.0,8521.0,-1.0,13201.0,30289.0,508.0,4488.0,735.0,515233.0,44456.0,Belgium,Europe,,,0.0,,,
7,2020-05-09,52596.0,-1.0,8581.0,-1.0,13411.0,30604.0,502.0,4538.0,740.0,540643.0,46649.0,Belgium,Europe,,,0.0,,,
8,2020-05-10,53081.0,485.0,8656.0,75.0,13642.0,30783.0,476.0,4580.0,747.0,566101.0,48846.0,Belgium,Europe,,,0.0,,,
9,2020-05-11,53449.0,368.0,8707.0,51.0,13697.0,31045.0,478.0,4612.0,751.0,584707.0,50451.0,Belgium,Europe,,,0.0,,,
10,2020-05-12,53779.0,330.0,8761.0,54.0,13732.0,31286.0,465.0,4640.0,756.0,595531.0,51385.0,Belgium,Europe,,,0.0,,,
11,2020-05-13,53981.0,202.0,8843.0,82.0,13937.0,31201.0,420.0,4658.0,763.0,605237.0,52222.0,Belgium,Europe,,,0.0,,,
