,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,18.0,-1.0,2.0,-1.0,13.0,3.0,1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
1,2020-05-03,18.0,-1.0,2.0,-1.0,13.0,3.0,1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
2,2020-05-04,18.0,-1.0,2.0,-1.0,13.0,3.0,1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
3,2020-05-05,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
4,2020-05-06,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
5,2020-05-07,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
6,2020-05-08,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
7,2020-05-09,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
8,2020-05-10,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
9,2020-05-11,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
10,2020-05-12,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
11,2020-05-13,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
12,2020-05-14,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2623.0,Belize,North America,,,0.0,,,
13,2020-05-15,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2630.0,Belize,North America,188.0,396653.0,0.0,,,
14,2020-05-16,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2629.0,Belize,North America,188.0,396673.0,0.0,,,
15,2020-05-17,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2629.0,Belize,North America,189.0,396692.0,0.0,,,
16,2020-05-18,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2629.0,Belize,North America,189.0,396712.0,0.0,,,
17,2020-05-19,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1043.0,2629.0,Belize,North America,189.0,396732.0,0.0,,,
18,2020-05-20,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1363.0,3435.0,Belize,North America,190.0,396752.0,0.0,,,
19,2020-05-21,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1363.0,3435.0,Belize,North America,190.0,396771.0,0.0,,,
20,2020-05-22,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1435.0,3617.0,Belize,North America,191.0,396791.0,0.0,,,
21,2020-05-23,18.0,-1.0,2.0,-1.0,16.0,0.0,-1.0,45.0,5.0,1435.0,3616.0,Belize,North America,191.0,396811.0,0.0,,,
