,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,90.0,-1.0,2.0,-1.0,42.0,46.0,-1.0,7.0,0.2,-1.0,-1.0,Benin,Africa,,,0.0,,,
1,2020-05-03,90.0,-1.0,2.0,-1.0,42.0,46.0,-1.0,7.0,0.2,-1.0,-1.0,Benin,Africa,,,0.0,,,
2,2020-05-04,96.0,6.0,2.0,-1.0,50.0,44.0,-1.0,8.0,0.2,-1.0,-1.0,Benin,Africa,,,0.0,,,
3,2020-05-05,96.0,-1.0,2.0,-1.0,50.0,44.0,-1.0,8.0,0.2,-1.0,-1.0,Benin,Africa,,,0.0,,,
4,2020-05-06,96.0,-1.0,2.0,-1.0,50.0,44.0,-1.0,8.0,0.2,-1.0,-1.0,Benin,Africa,,,0.0,,,
5,2020-05-07,140.0,44.0,2.0,-1.0,53.0,85.0,-1.0,12.0,0.2,-1.0,-1.0,Benin,Africa,,,0.0,,,
6,2020-05-08,242.0,-1.0,2.0,-1.0,62.0,178.0,-1.0,20.0,0.2,-1.0,-1.0,Benin,Africa,,,0.0,,,
7,2020-05-09,284.0,-1.0,2.0,-1.0,62.0,220.0,-1.0,23.0,0.2,19474.0,1606.0,Benin,Africa,,,0.0,,,
8,2020-05-10,319.0,35.0,2.0,-1.0,62.0,255.0,-1.0,26.0,0.2,19474.0,1606.0,Benin,Africa,,,0.0,,,
9,2020-05-11,319.0,-1.0,2.0,-1.0,62.0,255.0,-1.0,26.0,0.2,19474.0,1606.0,Benin,Africa,,,0.0,,,
10,2020-05-12,327.0,8.0,2.0,-1.0,76.0,249.0,-1.0,27.0,0.2,25015.0,2063.0,Benin,Africa,,,0.0,,,
11,2020-05-13,327.0,-1.0,2.0,-1.0,83.0,242.0,-1.0,27.0,0.2,25471.0,2101.0,Benin,Africa,,,0.0,,,
12,2020-05-14,339.0,12.0,2.0,-1.0,83.0,254.0,-1.0,28.0,0.2,25471.0,2101.0,Benin,Africa,,,0.0,,,
13,2020-05-15,339.0,-1.0,2.0,-1.0,83.0,254.0,-1.0,28.0,0.2,25471.0,2109.0,Benin,Africa,131.0,12078851.0,0.0,,,
14,2020-05-16,339.0,-1.0,2.0,-1.0,83.0,254.0,-1.0,28.0,0.2,25471.0,2109.0,Benin,Africa,131.0,12079722.0,0.0,,,
15,2020-05-17,339.0,-1.0,2.0,-1.0,83.0,254.0,-1.0,28.0,0.2,25471.0,2108.0,Benin,Africa,132.0,12080592.0,0.0,,,
16,2020-05-18,339.0,-1.0,2.0,-1.0,83.0,254.0,-1.0,28.0,0.2,25471.0,2108.0,Benin,Africa,134.0,12081463.0,0.0,,,
17,2020-05-19,339.0,-1.0,2.0,-1.0,83.0,254.0,-1.0,28.0,0.2,25471.0,2108.0,Benin,Africa,135.0,12082333.0,0.0,,,
18,2020-05-20,130.0,-1.0,2.0,-1.0,83.0,45.0,-1.0,11.0,0.2,25471.0,2108.0,Benin,Africa,160.0,12083204.0,0.0,,,
19,2020-05-21,135.0,5.0,3.0,1.0,61.0,71.0,-1.0,11.0,0.2,26792.0,2217.0,Benin,Africa,160.0,12084074.0,0.0,,,
20,2020-05-22,135.0,-1.0,3.0,-1.0,61.0,71.0,-1.0,11.0,0.2,26792.0,2217.0,Benin,Africa,160.0,12084945.0,0.0,,,
21,2020-05-23,135.0,-1.0,3.0,-1.0,61.0,71.0,-1.0,11.0,0.2,26792.0,2217.0,Benin,Africa,160.0,12085815.0,0.0,,,
22,2020-05-24,191.0,56.0,3.0,-1.0,82.0,106.0,-1.0,16.0,0.2,27954.0,2313.0,Benin,Africa,155.0,12086686.0,0.0,,,
23,2020-05-25,191.0,-1.0,3.0,-1.0,84.0,104.0,-1.0,16.0,0.2,27954.0,2313.0,Benin,Africa,155.0,12087557.0,0.0,,,
24,2020-05-26,208.0,17.0,3.0,-1.0,118.0,87.0,-1.0,17.0,0.2,28179.0,2331.0,Benin,Africa,153.0,12088427.0,0.0,,,
25,2020-05-27,210.0,-1.0,3.0,-1.0,134.0,73.0,-1.0,17.0,0.2,28179.0,2331.0,Benin,Africa,153.0,12090168.0,0.0,,,
26,2020-05-28,210.0,-1.0,3.0,-1.0,134.0,73.0,-1.0,17.0,0.2,28179.0,2331.0,Benin,Africa,153.0,12090168.0,0.0,,,
27,2020-05-29,224.0,14.0,3.0,-1.0,136.0,85.0,-1.0,19.0,0.2,30817.0,2549.0,Benin,Africa,153.0,12091039.0,0.0,,,
28,2020-05-30,224.0,-1.0,3.0,-1.0,136.0,85.0,-1.0,19.0,0.2,30817.0,2549.0,Benin,Africa,155.0,12091909.0,0.0,,,
29,2020-05-31,232.0,8.0,3.0,-1.0,143.0,86.0,-1.0,19.0,0.2,30817.0,2548.0,Benin,Africa,154.0,12092780.0,0.0,,,
30,2020-06-01,232.0,-1.0,3.0,-1.0,143.0,86.0,-1.0,19.0,0.2,30817.0,2548.0,Benin,Africa,154.0,12093650.0,0.0,,,
31,2020-06-02,244.0,1.0,3.0,-1.0,148.0,93.0,-1.0,20.0,0.2,34682.0,2868.0,Benin,Africa,154.0,12094521.0,1.0,49568.0,4031507.0,349.0
32,2020-06-03,244.0,-1.0,3.0,-1.0,148.0,93.0,-1.0,20.0,0.2,34682.0,2867.0,Benin,Africa,154.0,12095391.0,-1.0,49571.0,4031797.0,349.0
33,2020-06-04,261.0,17.0,3.0,-1.0,151.0,107.0,-1.0,22.0,0.2,35794.0,2959.0,Benin,Africa,154.0,12096262.0,3.0,46346.0,4032087.0,338.0
34,2020-06-05,261.0,-1.0,3.0,-1.0,151.0,107.0,-1.0,22.0,0.2,35794.0,2959.0,Benin,Africa,154.0,12097132.0,-1.0,46349.0,4032377.0,338.0
35,2020-06-06,261.0,-1.0,3.0,-1.0,151.0,107.0,-1.0,22.0,0.2,40900.0,3381.0,Benin,Africa,155.0,12098003.0,-1.0,46353.0,4032668.0,296.0
36,2020-06-07,261.0,-1.0,3.0,-1.0,151.0,107.0,-1.0,22.0,0.2,40900.0,3380.0,Benin,Africa,155.0,12098873.0,-1.0,46356.0,4032958.0,296.0
37,2020-06-08,288.0,27.0,4.0,1.0,186.0,98.0,1.0,24.0,0.3,45100.0,3727.0,Benin,Africa,154.0,12099744.0,35.0,42013.0,3024936.0,268.0
38,2020-06-09,305.0,17.0,4.0,-1.0,188.0,113.0,2.0,25.0,0.3,45100.0,3727.0,Benin,Africa,156.0,12100615.0,2.0,39674.0,3025154.0,268.0
39,2020-06-10,305.0,-1.0,4.0,-1.0,188.0,113.0,2.0,25.0,0.3,45100.0,3727.0,Benin,Africa,156.0,12101485.0,-1.0,39677.0,3025371.0,268.0
40,2020-06-11,305.0,-1.0,4.0,-1.0,188.0,113.0,2.0,25.0,0.3,45100.0,3727.0,Benin,Africa,156.0,12102356.0,-1.0,39680.0,3025589.0,268.0
41,2020-06-12,388.0,83.0,5.0,1.0,217.0,166.0,2.0,32.0,0.4,45637.0,3771.0,Benin,Africa,151.0,12103226.0,29.0,31194.0,2420645.0,265.0
42,2020-06-13,412.0,24.0,6.0,1.0,222.0,184.0,2.0,34.0,0.5,45758.0,3780.0,Benin,Africa,150.0,12104097.0,5.0,29379.0,2017350.0,265.0
43,2020-06-14,442.0,30.0,6.0,-1.0,228.0,208.0,2.0,37.0,0.5,45918.0,3793.0,Benin,Africa,150.0,12104967.0,6.0,27387.0,2017495.0,264.0
44,2020-06-15,483.0,41.0,9.0,3.0,232.0,242.0,2.0,40.0,0.7,46103.0,3808.0,Benin,Africa,149.0,12105838.0,4.0,25064.0,1345093.0,263.0
45,2020-06-16,532.0,49.0,9.0,-1.0,236.0,287.0,2.0,44.0,0.7,37301.0,3081.0,Benin,Africa,144.0,12106708.0,4.0,22757.0,1345190.0,325.0
46,2020-06-17,572.0,40.0,9.0,-1.0,237.0,326.0,2.0,47.0,0.7,46622.0,3851.0,Benin,Africa,141.0,12107579.0,1.0,21167.0,1345287.0,260.0
47,2020-06-18,597.0,25.0,11.0,2.0,238.0,348.0,2.0,49.0,0.9,46622.0,3850.0,Benin,Africa,142.0,12108449.0,1.0,20282.0,1100768.0,260.0
