,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,114.0,-1.0,6.0,-1.0,48.0,60.0,4.0,1831.0,96.0,2791.0,44815.0,Bermuda,North America,,,0.0,,,
1,2020-05-03,114.0,-1.0,7.0,-1.0,51.0,56.0,4.0,1831.0,112.0,2819.0,45265.0,Bermuda,North America,,,0.0,,,
2,2020-05-04,115.0,-1.0,7.0,-1.0,54.0,54.0,4.0,1847.0,112.0,3270.0,52507.0,Bermuda,North America,,,0.0,,,
3,2020-05-05,115.0,-1.0,7.0,-1.0,54.0,54.0,4.0,1847.0,112.0,3374.0,54176.0,Bermuda,North America,,,0.0,,,
4,2020-05-06,115.0,-1.0,7.0,-1.0,54.0,54.0,4.0,1847.0,112.0,3374.0,54176.0,Bermuda,North America,,,0.0,,,
5,2020-05-07,118.0,-1.0,7.0,-1.0,59.0,52.0,4.0,1895.0,112.0,3569.0,57308.0,Bermuda,North America,,,0.0,,,
6,2020-05-08,118.0,-1.0,7.0,-1.0,61.0,50.0,4.0,1895.0,112.0,3719.0,59716.0,Bermuda,North America,,,0.0,,,
7,2020-05-09,118.0,-1.0,7.0,-1.0,64.0,47.0,4.0,1895.0,112.0,4020.0,64549.0,Bermuda,North America,,,0.0,,,
8,2020-05-10,118.0,-1.0,7.0,-1.0,64.0,47.0,4.0,1895.0,112.0,4020.0,64549.0,Bermuda,North America,,,0.0,,,
9,2020-05-11,118.0,-1.0,7.0,-1.0,64.0,47.0,4.0,1895.0,112.0,4020.0,64549.0,Bermuda,North America,,,0.0,,,
10,2020-05-12,119.0,-1.0,8.0,-1.0,66.0,45.0,4.0,1911.0,128.0,4489.0,72080.0,Bermuda,North America,,,0.0,,,
11,2020-05-13,121.0,-1.0,8.0,-1.0,66.0,47.0,2.0,1943.0,128.0,4642.0,74537.0,Bermuda,North America,,,0.0,,,
12,2020-05-14,121.0,-1.0,8.0,-1.0,66.0,47.0,2.0,1943.0,128.0,4642.0,74537.0,Bermuda,North America,,,0.0,,,
13,2020-05-15,122.0,-1.0,9.0,-1.0,66.0,47.0,2.0,1958.0,144.0,4691.0,75290.0,Bermuda,North America,156.0,62306.0,0.0,,,
14,2020-05-16,122.0,-1.0,9.0,-1.0,66.0,47.0,2.0,1958.0,144.0,4691.0,75290.0,Bermuda,North America,159.0,62306.0,0.0,,,
15,2020-05-17,123.0,-1.0,9.0,-1.0,73.0,41.0,2.0,1974.0,144.0,5017.0,80523.0,Bermuda,North America,159.0,62305.0,0.0,,,
16,2020-05-18,123.0,-1.0,9.0,-1.0,73.0,41.0,2.0,1974.0,144.0,5017.0,80525.0,Bermuda,North America,159.0,62304.0,0.0,,,
17,2020-05-19,125.0,-1.0,9.0,-1.0,77.0,39.0,2.0,2006.0,144.0,5549.0,89063.0,Bermuda,North America,159.0,62304.0,0.0,,,
18,2020-05-20,125.0,-1.0,9.0,-1.0,78.0,38.0,2.0,2006.0,144.0,5705.0,91569.0,Bermuda,North America,162.0,62303.0,0.0,,,
19,2020-05-21,125.0,-1.0,9.0,-1.0,80.0,36.0,2.0,2006.0,144.0,5719.0,91793.0,Bermuda,North America,162.0,62303.0,0.0,,,
20,2020-05-22,125.0,-1.0,9.0,-1.0,80.0,36.0,2.0,2006.0,144.0,5784.0,92838.0,Bermuda,North America,163.0,62302.0,0.0,,,
21,2020-05-23,128.0,-1.0,9.0,-1.0,81.0,38.0,2.0,2055.0,144.0,6133.0,98441.0,Bermuda,North America,162.0,62301.0,0.0,,,
22,2020-05-24,133.0,5.0,9.0,-1.0,81.0,43.0,2.0,2135.0,144.0,6362.0,102117.0,Bermuda,North America,161.0,62301.0,0.0,,,
23,2020-05-25,133.0,-1.0,9.0,-1.0,81.0,43.0,2.0,2135.0,144.0,6362.0,102119.0,Bermuda,North America,162.0,62300.0,0.0,,,
24,2020-05-26,133.0,-1.0,9.0,-1.0,89.0,35.0,2.0,2135.0,144.0,6603.0,105989.0,Bermuda,North America,163.0,62299.0,0.0,,,
25,2020-05-27,139.0,-1.0,9.0,-1.0,91.0,39.0,2.0,2231.0,144.0,6826.0,109570.0,Bermuda,North America,163.0,62298.0,0.0,,,
26,2020-05-28,139.0,-1.0,9.0,-1.0,91.0,39.0,2.0,2231.0,144.0,6826.0,109570.0,Bermuda,North America,164.0,62298.0,0.0,,,
27,2020-05-29,140.0,-1.0,9.0,-1.0,92.0,39.0,2.0,2247.0,144.0,6941.0,111416.0,Bermuda,North America,165.0,62298.0,0.0,,,
28,2020-05-30,140.0,-1.0,9.0,-1.0,92.0,39.0,2.0,2247.0,144.0,6941.0,111418.0,Bermuda,North America,165.0,62297.0,0.0,,,
29,2020-05-31,140.0,-1.0,9.0,-1.0,92.0,39.0,2.0,2247.0,144.0,7171.0,115112.0,Bermuda,North America,165.0,62296.0,0.0,,,
30,2020-06-01,140.0,-1.0,9.0,-1.0,92.0,39.0,2.0,2247.0,144.0,7171.0,115112.0,Bermuda,North America,166.0,62296.0,0.0,,,
