,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,7.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,9.0,-1.0,10548.0,13670.0,Bhutan,Asia,,,0.0,,,
1,2020-05-03,7.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,9.0,-1.0,10761.0,13946.0,Bhutan,Asia,,,0.0,,,
2,2020-05-04,7.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,9.0,-1.0,10980.0,14230.0,Bhutan,Asia,,,0.0,,,
3,2020-05-05,7.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,9.0,-1.0,11015.0,14275.0,Bhutan,Asia,,,0.0,,,
4,2020-05-06,7.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,9.0,-1.0,11373.0,14739.0,Bhutan,Asia,,,0.0,,,
5,2020-05-07,7.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,9.0,-1.0,11492.0,14894.0,Bhutan,Asia,,,0.0,,,
6,2020-05-08,7.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,9.0,-1.0,11492.0,14894.0,Bhutan,Asia,,,0.0,,,
7,2020-05-09,7.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,9.0,-1.0,11568.0,14992.0,Bhutan,Asia,,,0.0,,,
8,2020-05-10,7.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,9.0,-1.0,11655.0,15105.0,Bhutan,Asia,,,0.0,,,
9,2020-05-11,9.0,2.0,-1.0,-1.0,5.0,4.0,-1.0,12.0,-1.0,11673.0,15128.0,Bhutan,Asia,,,0.0,,,
10,2020-05-12,11.0,2.0,-1.0,-1.0,5.0,6.0,-1.0,14.0,-1.0,12163.0,15763.0,Bhutan,Asia,,,0.0,,,
11,2020-05-13,11.0,-1.0,-1.0,-1.0,5.0,6.0,-1.0,14.0,-1.0,12255.0,15882.0,Bhutan,Asia,,,0.0,,,
12,2020-05-14,19.0,8.0,-1.0,-1.0,5.0,14.0,-1.0,25.0,-1.0,12932.0,16760.0,Bhutan,Asia,,,0.0,,,
13,2020-05-15,21.0,1.0,-1.0,-1.0,5.0,16.0,-1.0,27.0,-1.0,13311.0,17276.0,Bhutan,Asia,186.0,770494.0,0.0,,,
14,2020-05-16,21.0,-1.0,-1.0,-1.0,5.0,16.0,-1.0,27.0,-1.0,13660.0,17728.0,Bhutan,Asia,186.0,770517.0,0.0,,,
15,2020-05-17,21.0,-1.0,-1.0,-1.0,5.0,16.0,-1.0,27.0,-1.0,13701.0,17781.0,Bhutan,Asia,187.0,770540.0,0.0,,,
16,2020-05-18,21.0,-1.0,-1.0,-1.0,5.0,16.0,-1.0,27.0,-1.0,13962.0,18119.0,Bhutan,Asia,187.0,770563.0,0.0,,,
17,2020-05-19,21.0,-1.0,-1.0,-1.0,5.0,16.0,-1.0,27.0,-1.0,14223.0,18457.0,Bhutan,Asia,187.0,770586.0,0.0,,,
18,2020-05-20,21.0,-1.0,-1.0,-1.0,5.0,16.0,-1.0,27.0,-1.0,14294.0,18549.0,Bhutan,Asia,188.0,770610.0,0.0,,,
19,2020-05-21,21.0,-1.0,-1.0,-1.0,6.0,15.0,-1.0,27.0,-1.0,14527.0,18851.0,Bhutan,Asia,188.0,770633.0,0.0,,,
20,2020-05-22,21.0,-1.0,-1.0,-1.0,6.0,15.0,-1.0,27.0,-1.0,14843.0,19260.0,Bhutan,Asia,188.0,770656.0,0.0,,,
21,2020-05-23,24.0,3.0,-1.0,-1.0,6.0,18.0,-1.0,31.0,-1.0,15293.0,19844.0,Bhutan,Asia,186.0,770679.0,0.0,,,
22,2020-05-24,24.0,-1.0,-1.0,-1.0,6.0,18.0,-1.0,31.0,-1.0,15293.0,19843.0,Bhutan,Asia,186.0,770702.0,0.0,,,
23,2020-05-25,27.0,3.0,-1.0,-1.0,6.0,21.0,-1.0,35.0,-1.0,15607.0,20250.0,Bhutan,Asia,184.0,770726.0,0.0,,,
24,2020-05-26,27.0,-1.0,-1.0,-1.0,6.0,21.0,-1.0,35.0,-1.0,15607.0,20249.0,Bhutan,Asia,184.0,770749.0,0.0,,,
25,2020-05-27,28.0,-1.0,-1.0,-1.0,6.0,22.0,-1.0,36.0,-1.0,15862.0,20579.0,Bhutan,Asia,184.0,770795.0,0.0,,,
26,2020-05-28,31.0,3.0,-1.0,-1.0,6.0,25.0,-1.0,40.0,-1.0,15862.0,20579.0,Bhutan,Asia,184.0,770795.0,0.0,,,
27,2020-05-29,31.0,-1.0,-1.0,-1.0,6.0,25.0,-1.0,40.0,-1.0,16547.0,21467.0,Bhutan,Asia,184.0,770818.0,0.0,,,
