,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1229.0,62.0,66.0,4.0,134.0,1029.0,3.0,105.0,6.0,5791.0,496.0,Bolivia,South America,,,0.0,,,
1,2020-05-03,1470.0,241.0,71.0,5.0,159.0,1240.0,3.0,126.0,6.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
2,2020-05-04,1594.0,124.0,76.0,5.0,166.0,1352.0,3.0,137.0,7.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
3,2020-05-05,1802.0,121.0,86.0,4.0,187.0,1529.0,3.0,154.0,7.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
4,2020-05-06,1802.0,121.0,86.0,4.0,187.0,1529.0,3.0,154.0,7.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
5,2020-05-07,1886.0,84.0,91.0,5.0,198.0,1597.0,3.0,162.0,8.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
6,2020-05-08,2266.0,185.0,106.0,4.0,237.0,1923.0,3.0,194.0,9.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
7,2020-05-09,2437.0,171.0,114.0,8.0,258.0,2065.0,3.0,209.0,10.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
8,2020-05-10,2437.0,171.0,114.0,8.0,258.0,2065.0,3.0,209.0,10.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
9,2020-05-11,2556.0,119.0,118.0,4.0,273.0,2165.0,3.0,219.0,10.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
10,2020-05-12,2831.0,275.0,122.0,4.0,299.0,2410.0,3.0,243.0,10.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
11,2020-05-13,2964.0,133.0,128.0,6.0,313.0,2523.0,3.0,254.0,11.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
12,2020-05-14,3148.0,184.0,142.0,14.0,339.0,2667.0,3.0,270.0,12.0,7651.0,655.0,Bolivia,South America,,,0.0,,,
13,2020-05-15,3372.0,224.0,152.0,10.0,356.0,2864.0,3.0,289.0,13.0,7651.0,657.0,Bolivia,South America,65.0,11651907.0,0.0,,,
