,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1839.0,58.0,72.0,2.0,779.0,988.0,4.0,561.0,22.0,32783.0,9992.0,Bosnia and Herzegovina,Europe,,,0.0,,,
1,2020-05-03,1857.0,18.0,77.0,5.0,825.0,955.0,4.0,566.0,23.0,33928.0,10341.0,Bosnia and Herzegovina,Europe,,,0.0,,,
2,2020-05-04,1926.0,69.0,78.0,1.0,855.0,993.0,4.0,587.0,24.0,34378.0,10478.0,Bosnia and Herzegovina,Europe,,,0.0,,,
3,2020-05-05,1946.0,-1.0,79.0,-1.0,911.0,956.0,4.0,593.0,24.0,35296.0,10758.0,Bosnia and Herzegovina,Europe,,,0.0,,,
4,2020-05-06,1987.0,41.0,86.0,7.0,928.0,973.0,4.0,606.0,26.0,36492.0,11123.0,Bosnia and Herzegovina,Europe,,,0.0,,,
5,2020-05-07,2027.0,40.0,90.0,4.0,954.0,983.0,4.0,618.0,27.0,38187.0,11639.0,Bosnia and Herzegovina,Europe,,,0.0,,,
6,2020-05-08,2070.0,-1.0,98.0,-1.0,960.0,1012.0,4.0,631.0,30.0,38187.0,11639.0,Bosnia and Herzegovina,Europe,,,0.0,,,
7,2020-05-09,2090.0,-1.0,102.0,-1.0,1059.0,929.0,4.0,637.0,31.0,39989.0,12189.0,Bosnia and Herzegovina,Europe,,,0.0,,,
8,2020-05-10,2117.0,27.0,107.0,5.0,1106.0,904.0,4.0,645.0,33.0,41282.0,12583.0,Bosnia and Herzegovina,Europe,,,0.0,,,
9,2020-05-11,2141.0,24.0,113.0,6.0,1114.0,914.0,4.0,653.0,34.0,42318.0,12899.0,Bosnia and Herzegovina,Europe,,,0.0,,,
10,2020-05-12,2158.0,17.0,117.0,4.0,1168.0,873.0,4.0,658.0,36.0,43451.0,13244.0,Bosnia and Herzegovina,Europe,,,0.0,,,
11,2020-05-13,2181.0,23.0,120.0,3.0,1228.0,833.0,4.0,665.0,37.0,44380.0,13527.0,Bosnia and Herzegovina,Europe,,,0.0,,,
12,2020-05-14,2218.0,37.0,122.0,2.0,1272.0,824.0,4.0,676.0,37.0,45810.0,13963.0,Bosnia and Herzegovina,Europe,,,0.0,,,
13,2020-05-15,2236.0,18.0,128.0,6.0,1336.0,772.0,4.0,681.0,39.0,47149.0,14360.0,Bosnia and Herzegovina,Europe,75.0,3283308.0,0.0,,,
