,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,23.0,-1.0,1.0,-1.0,8.0,14.0,-1.0,10.0,0.4,7675.0,3264.0,Botswana,Africa,,,0.0,,,
1,2020-05-03,23.0,-1.0,1.0,-1.0,8.0,14.0,-1.0,10.0,0.4,7675.0,3264.0,Botswana,Africa,,,0.0,,,
2,2020-05-04,23.0,-1.0,1.0,-1.0,8.0,14.0,-1.0,10.0,0.4,8636.0,3672.0,Botswana,Africa,,,0.0,,,
3,2020-05-05,23.0,-1.0,1.0,-1.0,8.0,14.0,-1.0,10.0,0.4,8636.0,3672.0,Botswana,Africa,,,0.0,,,
4,2020-05-06,23.0,-1.0,1.0,-1.0,8.0,14.0,-1.0,10.0,0.4,9066.0,3855.0,Botswana,Africa,,,0.0,,,
5,2020-05-07,23.0,-1.0,1.0,-1.0,9.0,13.0,-1.0,10.0,0.4,9066.0,3855.0,Botswana,Africa,,,0.0,,,
6,2020-05-08,23.0,-1.0,1.0,-1.0,9.0,13.0,-1.0,10.0,0.4,9066.0,3855.0,Botswana,Africa,,,0.0,,,
7,2020-05-09,23.0,-1.0,1.0,-1.0,12.0,10.0,-1.0,10.0,0.4,9540.0,4057.0,Botswana,Africa,,,0.0,,,
8,2020-05-10,23.0,-1.0,1.0,-1.0,12.0,10.0,-1.0,10.0,0.4,9540.0,4057.0,Botswana,Africa,,,0.0,,,
9,2020-05-11,24.0,1.0,1.0,-1.0,12.0,11.0,-1.0,10.0,0.4,9540.0,4057.0,Botswana,Africa,,,0.0,,,
10,2020-05-12,24.0,-1.0,1.0,-1.0,12.0,11.0,-1.0,10.0,0.4,11495.0,4888.0,Botswana,Africa,,,0.0,,,
11,2020-05-13,24.0,-1.0,1.0,-1.0,17.0,6.0,-1.0,10.0,0.4,11495.0,4888.0,Botswana,Africa,,,0.0,,,
12,2020-05-14,24.0,-1.0,1.0,-1.0,17.0,6.0,-1.0,10.0,0.4,11495.0,4888.0,Botswana,Africa,,,0.0,,,
13,2020-05-15,24.0,-1.0,1.0,-1.0,17.0,6.0,-1.0,10.0,0.4,11495.0,4902.0,Botswana,Africa,182.0,2345158.0,0.0,,,
14,2020-05-16,24.0,-1.0,1.0,-1.0,17.0,6.0,-1.0,10.0,0.4,11495.0,4901.0,Botswana,Africa,182.0,2345288.0,0.0,,,
15,2020-05-17,24.0,-1.0,1.0,-1.0,17.0,6.0,-1.0,10.0,0.4,11495.0,4901.0,Botswana,Africa,182.0,2345418.0,0.0,,,
16,2020-05-18,25.0,-1.0,1.0,-1.0,17.0,7.0,-1.0,11.0,0.4,13294.0,5668.0,Botswana,Africa,183.0,2345548.0,0.0,,,
17,2020-05-19,25.0,-1.0,1.0,-1.0,17.0,7.0,-1.0,11.0,0.4,13294.0,5667.0,Botswana,Africa,183.0,2345678.0,0.0,,,
18,2020-05-20,25.0,-1.0,1.0,-1.0,17.0,7.0,-1.0,11.0,0.4,13294.0,5667.0,Botswana,Africa,184.0,2345808.0,0.0,,,
19,2020-05-21,29.0,4.0,1.0,-1.0,19.0,9.0,-1.0,12.0,0.4,14855.0,6332.0,Botswana,Africa,183.0,2345938.0,0.0,,,
20,2020-05-22,29.0,-1.0,1.0,-1.0,19.0,9.0,-1.0,12.0,0.4,14855.0,6332.0,Botswana,Africa,183.0,2346068.0,0.0,,,
21,2020-05-23,30.0,-1.0,1.0,-1.0,19.0,10.0,-1.0,13.0,0.4,16100.0,6862.0,Botswana,Africa,183.0,2346198.0,0.0,,,
22,2020-05-24,35.0,5.0,1.0,-1.0,19.0,15.0,-1.0,15.0,0.4,16100.0,6862.0,Botswana,Africa,183.0,2346328.0,0.0,,,
23,2020-05-25,35.0,-1.0,1.0,-1.0,19.0,15.0,-1.0,15.0,0.4,17631.0,7514.0,Botswana,Africa,183.0,2346458.0,0.0,,,
24,2020-05-26,35.0,-1.0,1.0,-1.0,20.0,14.0,-1.0,15.0,0.4,17631.0,7513.0,Botswana,Africa,183.0,2346588.0,0.0,,,
25,2020-05-27,35.0,-1.0,1.0,-1.0,20.0,14.0,-1.0,15.0,0.4,17991.0,7666.0,Botswana,Africa,183.0,2346847.0,0.0,,,
26,2020-05-28,35.0,-1.0,1.0,-1.0,20.0,14.0,-1.0,15.0,0.4,17991.0,7666.0,Botswana,Africa,183.0,2346847.0,0.0,,,
27,2020-05-29,35.0,-1.0,1.0,-1.0,20.0,14.0,-1.0,15.0,0.4,17991.0,7666.0,Botswana,Africa,183.0,2346977.0,0.0,,,
28,2020-05-30,35.0,-1.0,1.0,-1.0,20.0,14.0,-1.0,15.0,0.4,17991.0,7665.0,Botswana,Africa,183.0,2347107.0,0.0,,,
29,2020-05-31,35.0,-1.0,1.0,-1.0,20.0,14.0,-1.0,15.0,0.4,20186.0,8600.0,Botswana,Africa,184.0,2347237.0,0.0,,,
30,2020-06-01,38.0,3.0,1.0,-1.0,20.0,17.0,-1.0,16.0,0.4,21716.0,9251.0,Botswana,Africa,184.0,2347367.0,0.0,,,
31,2020-06-02,40.0,2.0,1.0,-1.0,23.0,16.0,-1.0,17.0,0.4,21716.0,9251.0,Botswana,Africa,184.0,2347497.0,3.0,58687.0,2347497.0,108.0
