,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,92630.0,521.0,6434.0,24.0,38039.0,48157.0,8318.0,436.0,30.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
1,2020-05-03,101147.0,4588.0,7025.0,275.0,42991.0,51131.0,8318.0,476.0,33.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
2,2020-05-04,107844.0,6697.0,7328.0,303.0,45815.0,54701.0,8318.0,507.0,34.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
3,2020-05-05,115455.0,740.0,7938.0,17.0,48221.0,59296.0,8318.0,543.0,37.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
4,2020-05-06,116299.0,1584.0,7966.0,45.0,48221.0,60112.0,8318.0,547.0,37.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
5,2020-05-07,135106.0,8495.0,9146.0,558.0,55350.0,70610.0,8318.0,636.0,43.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
6,2020-05-08,146894.0,1002.0,10017.0,25.0,59297.0,77580.0,8318.0,691.0,47.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
7,2020-05-09,156061.0,-1.0,10656.0,-1.0,61685.0,83720.0,8318.0,734.0,50.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
8,2020-05-10,156862.0,801.0,10739.0,83.0,61685.0,84438.0,8318.0,738.0,51.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
9,2020-05-11,163510.0,811.0,11207.0,84.0,64957.0,87346.0,8318.0,769.0,53.0,339552.0,1597.0,Brazil,South America,,,0.0,,,
10,2020-05-12,173126.0,3983.0,12062.0,437.0,67384.0,93680.0,8318.0,814.0,57.0,735224.0,3459.0,Brazil,South America,,,0.0,,,
11,2020-05-13,180737.0,3135.0,12635.0,231.0,72597.0,95505.0,8318.0,850.0,59.0,735224.0,3459.0,Brazil,South America,,,0.0,,,
12,2020-05-14,196375.0,7218.0,13555.0,397.0,78424.0,104396.0,8318.0,924.0,64.0,735224.0,3459.0,Brazil,South America,,,0.0,,,
13,2020-05-15,208031.0,5113.0,14267.0,274.0,79479.0,114285.0,8318.0,980.0,67.0,735224.0,3462.0,Brazil,South America,6.0,212364444.0,0.0,,,
14,2020-05-16,222877.0,4654.0,15046.0,229.0,84970.0,122861.0,8318.0,1049.0,71.0,735224.0,3462.0,Brazil,South America,6.0,212368566.0,0.0,,,
15,2020-05-17,233648.0,506.0,15668.0,35.0,89672.0,128308.0,8318.0,1100.0,74.0,735224.0,3462.0,Brazil,South America,5.0,212372688.0,0.0,,,
16,2020-05-18,245595.0,4515.0,16370.0,252.0,94122.0,135103.0,8318.0,1156.0,77.0,735224.0,3462.0,Brazil,South America,5.0,212376810.0,0.0,,,
17,2020-05-19,262545.0,7177.0,17509.0,656.0,100459.0,144577.0,8318.0,1236.0,82.0,735224.0,3462.0,Brazil,South America,4.0,212380932.0,0.0,,,
18,2020-05-20,275382.0,3497.0,18130.0,147.0,106794.0,150458.0,8318.0,1297.0,85.0,735224.0,3462.0,Brazil,South America,4.0,212385054.0,0.0,,,
