,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,6.0,-1.0,1.0,-1.0,3.0,2.0,-1.0,198.0,33.0,-1.0,-1.0,British Virgin Islands,North America,,,0.0,,,
1,2020-05-03,6.0,-1.0,1.0,-1.0,3.0,2.0,-1.0,198.0,33.0,-1.0,-1.0,British Virgin Islands,North America,,,0.0,,,
2,2020-05-04,6.0,-1.0,1.0,-1.0,3.0,2.0,-1.0,198.0,33.0,-1.0,-1.0,British Virgin Islands,North America,,,0.0,,,
3,2020-05-05,6.0,-1.0,1.0,-1.0,3.0,2.0,-1.0,198.0,33.0,-1.0,-1.0,British Virgin Islands,North America,,,0.0,,,
4,2020-05-06,7.0,-1.0,1.0,-1.0,3.0,3.0,-1.0,232.0,33.0,132.0,4366.0,British Virgin Islands,North America,,,0.0,,,
5,2020-05-07,7.0,-1.0,1.0,-1.0,3.0,3.0,-1.0,232.0,33.0,132.0,4366.0,British Virgin Islands,North America,,,0.0,,,
6,2020-05-08,7.0,-1.0,1.0,-1.0,3.0,3.0,-1.0,232.0,33.0,132.0,4366.0,British Virgin Islands,North America,,,0.0,,,
7,2020-05-09,7.0,-1.0,1.0,-1.0,4.0,2.0,-1.0,232.0,33.0,167.0,5524.0,British Virgin Islands,North America,,,0.0,,,
8,2020-05-10,7.0,-1.0,1.0,-1.0,4.0,2.0,-1.0,232.0,33.0,167.0,5524.0,British Virgin Islands,North America,,,0.0,,,
9,2020-05-11,7.0,-1.0,1.0,-1.0,4.0,2.0,-1.0,232.0,33.0,167.0,5524.0,British Virgin Islands,North America,,,0.0,,,
10,2020-05-12,7.0,-1.0,1.0,-1.0,4.0,2.0,-1.0,232.0,33.0,167.0,5524.0,British Virgin Islands,North America,,,0.0,,,
11,2020-05-13,7.0,-1.0,1.0,-1.0,4.0,2.0,-1.0,232.0,33.0,167.0,5524.0,British Virgin Islands,North America,,,0.0,,,
12,2020-05-14,7.0,-1.0,1.0,-1.0,4.0,2.0,-1.0,232.0,33.0,167.0,5524.0,British Virgin Islands,North America,,,0.0,,,
