,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,138.0,-1.0,1.0,-1.0,126.0,11.0,2.0,315.0,2.0,13924.0,31828.0,Brunei,Asia,,,0.0,,,
1,2020-05-03,138.0,-1.0,1.0,-1.0,128.0,9.0,2.0,315.0,2.0,14262.0,32600.0,Brunei,Asia,,,0.0,,,
2,2020-05-04,138.0,-1.0,1.0,-1.0,130.0,7.0,2.0,315.0,2.0,14476.0,33090.0,Brunei,Asia,,,0.0,,,
3,2020-05-05,138.0,-1.0,1.0,-1.0,131.0,6.0,2.0,315.0,2.0,14610.0,33396.0,Brunei,Asia,,,0.0,,,
4,2020-05-06,139.0,1.0,1.0,-1.0,131.0,7.0,2.0,318.0,2.0,14754.0,33725.0,Brunei,Asia,,,0.0,,,
5,2020-05-07,141.0,2.0,1.0,-1.0,131.0,9.0,2.0,322.0,2.0,14938.0,34146.0,Brunei,Asia,,,0.0,,,
6,2020-05-08,141.0,-1.0,1.0,-1.0,132.0,8.0,2.0,322.0,2.0,15300.0,34973.0,Brunei,Asia,,,0.0,,,
7,2020-05-09,141.0,-1.0,1.0,-1.0,132.0,8.0,2.0,322.0,2.0,15482.0,35389.0,Brunei,Asia,,,0.0,,,
8,2020-05-10,141.0,-1.0,1.0,-1.0,134.0,6.0,2.0,322.0,2.0,15898.0,36340.0,Brunei,Asia,,,0.0,,,
9,2020-05-11,141.0,-1.0,1.0,-1.0,134.0,6.0,2.0,322.0,2.0,16037.0,36658.0,Brunei,Asia,,,0.0,,,
10,2020-05-12,141.0,-1.0,1.0,-1.0,134.0,6.0,2.0,322.0,2.0,16037.0,36658.0,Brunei,Asia,,,0.0,,,
11,2020-05-13,141.0,-1.0,1.0,-1.0,134.0,6.0,2.0,322.0,2.0,16350.0,37373.0,Brunei,Asia,,,0.0,,,
12,2020-05-14,141.0,-1.0,1.0,-1.0,134.0,6.0,2.0,322.0,2.0,16523.0,37769.0,Brunei,Asia,,,0.0,,,
13,2020-05-15,141.0,-1.0,1.0,-1.0,134.0,6.0,2.0,323.0,2.0,16523.0,37816.0,Brunei,Asia,155.0,436933.0,0.0,,,
14,2020-05-16,141.0,-1.0,1.0,-1.0,136.0,4.0,2.0,323.0,2.0,16892.0,38659.0,Brunei,Asia,155.0,436944.0,0.0,,,
15,2020-05-17,141.0,-1.0,1.0,-1.0,136.0,4.0,2.0,323.0,2.0,16892.0,38658.0,Brunei,Asia,155.0,436956.0,0.0,,,
16,2020-05-18,141.0,-1.0,1.0,-1.0,136.0,4.0,2.0,323.0,2.0,17414.0,39852.0,Brunei,Asia,156.0,436967.0,0.0,,,
17,2020-05-19,141.0,-1.0,1.0,-1.0,136.0,4.0,2.0,323.0,2.0,17636.0,40359.0,Brunei,Asia,156.0,436979.0,0.0,,,
18,2020-05-20,141.0,-1.0,1.0,-1.0,136.0,4.0,2.0,323.0,2.0,17718.0,40546.0,Brunei,Asia,157.0,436990.0,0.0,,,
19,2020-05-21,141.0,-1.0,1.0,-1.0,136.0,4.0,2.0,323.0,2.0,18010.0,41213.0,Brunei,Asia,158.0,437001.0,0.0,,,
