,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1594.0,39.0,72.0,4.0,287.0,1235.0,43.0,229.0,10.0,47636.0,6856.0,Bulgaria,Europe,,,0.0,,,
1,2020-05-03,1618.0,24.0,73.0,1.0,308.0,1237.0,39.0,233.0,11.0,47636.0,6856.0,Bulgaria,Europe,,,0.0,,,
2,2020-05-04,1652.0,34.0,78.0,5.0,321.0,1253.0,37.0,238.0,11.0,49145.0,7073.0,Bulgaria,Europe,,,0.0,,,
3,2020-05-05,1704.0,-1.0,80.0,-1.0,342.0,1282.0,37.0,245.0,12.0,50303.0,7239.0,Bulgaria,Europe,,,0.0,,,
4,2020-05-06,1778.0,74.0,84.0,4.0,360.0,1334.0,38.0,256.0,12.0,51768.0,7450.0,Bulgaria,Europe,,,0.0,,,
5,2020-05-07,1829.0,51.0,84.0,-1.0,384.0,1361.0,43.0,263.0,12.0,52931.0,7618.0,Bulgaria,Europe,,,0.0,,,
6,2020-05-08,1872.0,-1.0,86.0,-1.0,401.0,1385.0,49.0,269.0,12.0,54328.0,7819.0,Bulgaria,Europe,,,0.0,,,
7,2020-05-09,1921.0,-1.0,90.0,-1.0,422.0,1409.0,56.0,276.0,13.0,56105.0,8074.0,Bulgaria,Europe,,,0.0,,,
8,2020-05-10,1965.0,44.0,91.0,1.0,444.0,1430.0,58.0,283.0,13.0,57231.0,8237.0,Bulgaria,Europe,,,0.0,,,
9,2020-05-11,1990.0,25.0,93.0,2.0,461.0,1436.0,50.0,286.0,13.0,57634.0,8295.0,Bulgaria,Europe,,,0.0,,,
10,2020-05-12,2023.0,33.0,95.0,2.0,476.0,1452.0,51.0,291.0,14.0,58713.0,8450.0,Bulgaria,Europe,,,0.0,,,
11,2020-05-13,2069.0,46.0,96.0,1.0,499.0,1474.0,51.0,298.0,14.0,60100.0,8649.0,Bulgaria,Europe,,,0.0,,,
12,2020-05-14,2100.0,31.0,99.0,3.0,531.0,1470.0,51.0,302.0,14.0,61711.0,8881.0,Bulgaria,Europe,,,0.0,,,
13,2020-05-15,2138.0,38.0,102.0,3.0,545.0,1491.0,51.0,307.0,15.0,63319.0,9104.0,Bulgaria,Europe,77.0,6954790.0,0.0,,,
14,2020-05-16,2175.0,37.0,105.0,3.0,573.0,1497.0,45.0,313.0,15.0,64480.0,9271.0,Bulgaria,Europe,78.0,6954648.0,0.0,,,
15,2020-05-17,2211.0,36.0,108.0,3.0,598.0,1505.0,45.0,318.0,16.0,65574.0,9429.0,Bulgaria,Europe,78.0,6954506.0,0.0,,,
16,2020-05-18,2235.0,24.0,110.0,2.0,612.0,1513.0,43.0,321.0,16.0,65936.0,9481.0,Bulgaria,Europe,77.0,6954364.0,0.0,,,
17,2020-05-19,2259.0,24.0,112.0,2.0,646.0,1501.0,36.0,325.0,16.0,66810.0,9607.0,Bulgaria,Europe,77.0,6954222.0,0.0,,,
18,2020-05-20,2292.0,33.0,116.0,4.0,684.0,1492.0,33.0,330.0,17.0,68243.0,9813.0,Bulgaria,Europe,77.0,6954080.0,0.0,,,
19,2020-05-21,2331.0,39.0,120.0,4.0,727.0,1484.0,31.0,335.0,17.0,70155.0,10089.0,Bulgaria,Europe,78.0,6953938.0,0.0,,,
20,2020-05-22,2372.0,41.0,125.0,5.0,769.0,1478.0,29.0,341.0,18.0,71605.0,10297.0,Bulgaria,Europe,79.0,6953796.0,0.0,,,
21,2020-05-23,2408.0,36.0,126.0,1.0,808.0,1474.0,29.0,346.0,18.0,73210.0,10528.0,Bulgaria,Europe,78.0,6953654.0,0.0,,,
22,2020-05-24,2427.0,19.0,130.0,4.0,840.0,1457.0,29.0,349.0,19.0,74096.0,10656.0,Bulgaria,Europe,78.0,6953511.0,0.0,,,
23,2020-05-25,2433.0,6.0,130.0,-1.0,862.0,1441.0,20.0,350.0,19.0,74539.0,10720.0,Bulgaria,Europe,79.0,6953369.0,0.0,,,
24,2020-05-26,2443.0,10.0,130.0,-1.0,880.0,1433.0,20.0,351.0,19.0,74834.0,10762.0,Bulgaria,Europe,79.0,6953227.0,0.0,,,
25,2020-05-27,2460.0,-1.0,133.0,-1.0,912.0,1415.0,22.0,354.0,19.0,76391.0,10987.0,Bulgaria,Europe,81.0,6952943.0,0.0,,,
