,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,11.0,-1.0,1.0,-1.0,4.0,6.0,-1.0,0.9,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
1,2020-05-03,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
2,2020-05-04,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
3,2020-05-05,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
4,2020-05-06,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
5,2020-05-07,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
6,2020-05-08,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
7,2020-05-09,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
8,2020-05-10,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
9,2020-05-11,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
10,2020-05-12,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
11,2020-05-13,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
12,2020-05-14,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,,,0.0,,,
13,2020-05-15,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,196.0,11840584.0,0.0,,,
14,2020-05-16,15.0,-1.0,1.0,-1.0,7.0,7.0,-1.0,1.0,0.08,284.0,24.0,Burundi,Africa,196.0,11841556.0,0.0,,,
15,2020-05-17,23.0,8.0,1.0,-1.0,15.0,7.0,-1.0,2.0,0.08,284.0,24.0,Burundi,Africa,184.0,11842528.0,0.0,,,
16,2020-05-18,42.0,19.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,178.0,11843500.0,0.0,,,
17,2020-05-19,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,178.0,11844472.0,0.0,,,
18,2020-05-20,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,179.0,11845443.0,0.0,,,
19,2020-05-21,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,179.0,11846415.0,0.0,,,
20,2020-05-22,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,180.0,11847387.0,0.0,,,
21,2020-05-23,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,180.0,11848359.0,0.0,,,
22,2020-05-24,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,180.0,11849331.0,0.0,,,
23,2020-05-25,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,180.0,11850302.0,0.0,,,
24,2020-05-26,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,180.0,11851274.0,0.0,,,
25,2020-05-27,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,180.0,11853218.0,0.0,,,
26,2020-05-28,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,180.0,11853218.0,0.0,,,
27,2020-05-29,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,180.0,11854190.0,0.0,,,
28,2020-05-30,42.0,-1.0,1.0,-1.0,20.0,21.0,-1.0,4.0,0.08,284.0,24.0,Burundi,Africa,180.0,11855161.0,0.0,,,
29,2020-05-31,63.0,-1.0,1.0,-1.0,33.0,29.0,-1.0,5.0,0.08,284.0,24.0,Burundi,Africa,178.0,11856133.0,0.0,,,
30,2020-06-01,63.0,-1.0,1.0,-1.0,33.0,29.0,-1.0,5.0,0.08,284.0,24.0,Burundi,Africa,178.0,11857105.0,0.0,,,
31,2020-06-02,63.0,-1.0,1.0,-1.0,33.0,29.0,-1.0,5.0,0.08,284.0,24.0,Burundi,Africa,178.0,11858077.0,-1.0,188223.0,11858077.0,41.0
32,2020-06-03,63.0,-1.0,1.0,-1.0,33.0,29.0,-1.0,5.0,0.08,284.0,24.0,Burundi,Africa,178.0,11859049.0,-1.0,188239.0,11859049.0,41.0
33,2020-06-04,63.0,-1.0,1.0,-1.0,33.0,29.0,-1.0,5.0,0.08,284.0,24.0,Burundi,Africa,179.0,11860020.0,-1.0,188254.0,11860020.0,41.0
34,2020-06-05,63.0,-1.0,1.0,-1.0,33.0,29.0,-1.0,5.0,0.08,284.0,24.0,Burundi,Africa,179.0,11860992.0,-1.0,188270.0,11860992.0,41.0
35,2020-06-06,63.0,-1.0,1.0,-1.0,33.0,29.0,-1.0,5.0,0.08,284.0,24.0,Burundi,Africa,179.0,11861964.0,-1.0,188285.0,11861964.0,41.0
36,2020-06-07,83.0,-1.0,1.0,-1.0,45.0,37.0,-1.0,7.0,0.08,382.0,32.0,Burundi,Africa,177.0,11862936.0,-1.0,142927.0,11862936.0,31.0
37,2020-06-08,83.0,-1.0,1.0,-1.0,45.0,37.0,-1.0,7.0,0.08,382.0,32.0,Burundi,Africa,177.0,11863908.0,-1.0,142939.0,11863908.0,31.0
38,2020-06-09,83.0,-1.0,1.0,-1.0,45.0,37.0,-1.0,7.0,0.08,382.0,32.0,Burundi,Africa,177.0,11864879.0,-1.0,142950.0,11864879.0,31.0
39,2020-06-10,83.0,-1.0,1.0,-1.0,45.0,37.0,-1.0,7.0,0.08,382.0,32.0,Burundi,Africa,177.0,11865851.0,-1.0,142962.0,11865851.0,31.0
40,2020-06-11,85.0,2.0,1.0,-1.0,45.0,39.0,-1.0,7.0,0.08,382.0,32.0,Burundi,Africa,177.0,11866823.0,-1.0,139610.0,11866823.0,31.0
41,2020-06-12,85.0,-1.0,1.0,-1.0,45.0,39.0,-1.0,7.0,0.08,382.0,32.0,Burundi,Africa,177.0,11867795.0,-1.0,139621.0,11867795.0,31.0
42,2020-06-13,85.0,-1.0,1.0,-1.0,45.0,39.0,-1.0,7.0,0.08,382.0,32.0,Burundi,Africa,177.0,11868767.0,-1.0,139633.0,11868767.0,31.0
43,2020-06-14,85.0,-1.0,1.0,-1.0,45.0,39.0,-1.0,7.0,0.08,382.0,32.0,Burundi,Africa,178.0,11869738.0,-1.0,139644.0,11869738.0,31.0
44,2020-06-15,85.0,-1.0,1.0,-1.0,45.0,39.0,-1.0,7.0,0.08,382.0,32.0,Burundi,Africa,178.0,11870710.0,-1.0,139655.0,11870710.0,31.0
45,2020-06-16,104.0,19.0,1.0,-1.0,75.0,28.0,-1.0,9.0,0.08,382.0,32.0,Burundi,Africa,175.0,11871682.0,30.0,114151.0,11871682.0,31.0
46,2020-06-17,104.0,-1.0,1.0,-1.0,75.0,28.0,-1.0,9.0,0.08,382.0,32.0,Burundi,Africa,175.0,11872654.0,-1.0,114160.0,11872654.0,31.0
47,2020-06-18,104.0,-1.0,1.0,-1.0,75.0,28.0,-1.0,9.0,0.08,382.0,32.0,Burundi,Africa,175.0,11873626.0,-1.0,114169.0,11873626.0,31.0
48,2020-06-19,104.0,-1.0,1.0,-1.0,75.0,28.0,-1.0,9.0,0.08,382.0,32.0,Burundi,Africa,175.0,11874597.0,-1.0,114179.0,11874597.0,31.0
49,2020-06-20,104.0,-1.0,1.0,-1.0,75.0,28.0,-1.0,9.0,0.08,382.0,32.0,Burundi,Africa,175.0,11876541.0,-1.0,114198.0,11876541.0,31.0
50,2020-06-21,144.0,40.0,1.0,-1.0,93.0,50.0,-1.0,12.0,0.08,382.0,32.0,Burundi,Africa,170.0,11876541.0,18.0,82476.0,11876541.0,31.0
51,2020-06-22,144.0,-1.0,1.0,-1.0,93.0,50.0,-1.0,12.0,0.08,382.0,32.0,Burundi,Africa,170.0,11877513.0,-1.0,82483.0,11877513.0,31.0
52,2020-06-23,144.0,-1.0,1.0,-1.0,93.0,50.0,-1.0,12.0,0.08,382.0,32.0,Burundi,Africa,170.0,11878485.0,-1.0,82489.0,11878485.0,31.0
53,2020-06-24,144.0,-1.0,1.0,-1.0,93.0,50.0,-1.0,12.0,0.08,382.0,32.0,Burundi,Africa,170.0,11879456.0,-1.0,82496.0,11879456.0,31.0
54,2020-06-25,144.0,-1.0,1.0,-1.0,93.0,50.0,-1.0,12.0,0.08,382.0,32.0,Burundi,Africa,170.0,11880428.0,-1.0,82503.0,11880428.0,31.0
55,2020-06-26,144.0,-1.0,1.0,-1.0,93.0,50.0,-1.0,12.0,0.08,382.0,32.0,Burundi,Africa,170.0,11881400.0,-1.0,82510.0,11881400.0,31.0
