,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,72.0,-1.0,-1.0,-1.0,10.0,62.0,-1.0,15.0,-1.0,-1.0,-1.0,CAR,Africa,,,0.0,,,
1,2020-05-03,72.0,-1.0,-1.0,-1.0,10.0,62.0,-1.0,15.0,-1.0,-1.0,-1.0,CAR,Africa,,,0.0,,,
2,2020-05-04,85.0,13.0,-1.0,-1.0,10.0,75.0,-1.0,18.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
3,2020-05-05,85.0,-1.0,-1.0,-1.0,10.0,75.0,-1.0,18.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
4,2020-05-06,94.0,9.0,-1.0,-1.0,10.0,84.0,-1.0,19.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
5,2020-05-07,94.0,-1.0,-1.0,-1.0,10.0,84.0,-1.0,19.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
6,2020-05-08,143.0,-1.0,-1.0,-1.0,10.0,133.0,-1.0,30.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
7,2020-05-09,143.0,-1.0,-1.0,-1.0,10.0,133.0,-1.0,30.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
8,2020-05-10,143.0,-1.0,-1.0,-1.0,10.0,133.0,-1.0,30.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
9,2020-05-11,143.0,-1.0,-1.0,-1.0,10.0,133.0,-1.0,30.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
10,2020-05-12,143.0,-1.0,-1.0,-1.0,10.0,133.0,-1.0,30.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
11,2020-05-13,143.0,-1.0,-1.0,-1.0,10.0,133.0,-1.0,30.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
12,2020-05-14,143.0,-1.0,-1.0,-1.0,10.0,133.0,-1.0,30.0,-1.0,3498.0,724.0,CAR,Africa,,,0.0,,,
13,2020-05-15,143.0,-1.0,-1.0,-1.0,10.0,133.0,-1.0,30.0,-1.0,3498.0,726.0,CAR,Africa,154.0,4818458.0,0.0,,,
14,2020-05-16,301.0,-1.0,-1.0,-1.0,13.0,288.0,-1.0,62.0,-1.0,3498.0,726.0,CAR,Africa,139.0,4818688.0,0.0,,,
15,2020-05-17,327.0,-1.0,-1.0,-1.0,13.0,314.0,-1.0,68.0,-1.0,3498.0,726.0,CAR,Africa,136.0,4818917.0,0.0,,,
16,2020-05-18,327.0,-1.0,-1.0,-1.0,13.0,314.0,-1.0,68.0,-1.0,3498.0,726.0,CAR,Africa,138.0,4819147.0,0.0,,,
17,2020-05-19,366.0,39.0,-1.0,-1.0,18.0,348.0,-1.0,76.0,-1.0,3498.0,726.0,CAR,Africa,133.0,4819377.0,0.0,,,
18,2020-05-20,366.0,-1.0,-1.0,-1.0,18.0,348.0,-1.0,76.0,-1.0,3498.0,726.0,CAR,Africa,135.0,4819607.0,0.0,,,
19,2020-05-21,436.0,18.0,-1.0,-1.0,18.0,418.0,-1.0,90.0,-1.0,11294.0,2343.0,CAR,Africa,133.0,4819836.0,0.0,,,
20,2020-05-22,479.0,43.0,-1.0,-1.0,18.0,461.0,-1.0,99.0,-1.0,11570.0,2400.0,CAR,Africa,130.0,4820066.0,0.0,,,
21,2020-05-23,552.0,73.0,1.0,1.0,18.0,533.0,-1.0,115.0,0.2,11570.0,2400.0,CAR,Africa,128.0,4820296.0,0.0,,,
