,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,152.0,30.0,2.0,1.0,18.0,132.0,-1.0,273.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
1,2020-05-03,165.0,13.0,2.0,-1.0,33.0,130.0,-1.0,297.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
2,2020-05-04,175.0,10.0,2.0,-1.0,37.0,136.0,-1.0,315.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
3,2020-05-05,186.0,-1.0,2.0,-1.0,37.0,147.0,-1.0,335.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
4,2020-05-06,191.0,5.0,2.0,-1.0,38.0,151.0,-1.0,344.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
5,2020-05-07,218.0,27.0,2.0,-1.0,38.0,178.0,-1.0,392.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
6,2020-05-08,230.0,-1.0,2.0,-1.0,44.0,184.0,-1.0,414.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
7,2020-05-09,236.0,-1.0,2.0,-1.0,56.0,178.0,-1.0,424.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
8,2020-05-10,246.0,10.0,2.0,-1.0,56.0,188.0,-1.0,442.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
9,2020-05-11,246.0,-1.0,2.0,-1.0,56.0,188.0,-1.0,442.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
10,2020-05-12,267.0,7.0,2.0,-1.0,58.0,207.0,-1.0,480.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
11,2020-05-13,289.0,22.0,2.0,-1.0,61.0,226.0,-1.0,520.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
12,2020-05-14,315.0,26.0,2.0,-1.0,67.0,246.0,-1.0,567.0,4.0,791.0,1423.0,Cabo Verde,Africa,,,0.0,,,
13,2020-05-15,326.0,11.0,2.0,-1.0,67.0,257.0,-1.0,587.0,4.0,791.0,1425.0,Cabo Verde,Africa,134.0,555195.0,0.0,,,
14,2020-05-16,328.0,2.0,2.0,-1.0,67.0,259.0,-1.0,591.0,4.0,791.0,1425.0,Cabo Verde,Africa,134.0,555212.0,0.0,,,
15,2020-05-17,328.0,-1.0,3.0,-1.0,84.0,241.0,-1.0,591.0,5.0,892.0,1607.0,Cabo Verde,Africa,135.0,555228.0,0.0,,,
