,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,12222.0,731.0,Cambodia,Asia,,,0.0,,,
1,2020-05-03,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,12304.0,736.0,Cambodia,Asia,,,0.0,,,
2,2020-05-04,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,12378.0,740.0,Cambodia,Asia,,,0.0,,,
3,2020-05-05,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,12611.0,754.0,Cambodia,Asia,,,0.0,,,
4,2020-05-06,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,12611.0,754.0,Cambodia,Asia,,,0.0,,,
5,2020-05-07,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,12929.0,773.0,Cambodia,Asia,,,0.0,,,
6,2020-05-08,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,13173.0,788.0,Cambodia,Asia,,,0.0,,,
7,2020-05-09,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,13173.0,788.0,Cambodia,Asia,,,0.0,,,
8,2020-05-10,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,13448.0,804.0,Cambodia,Asia,,,0.0,,,
9,2020-05-11,122.0,-1.0,-1.0,-1.0,120.0,2.0,1.0,7.0,-1.0,14094.0,843.0,Cambodia,Asia,,,0.0,,,
10,2020-05-12,122.0,-1.0,-1.0,-1.0,121.0,1.0,1.0,7.0,-1.0,14156.0,847.0,Cambodia,Asia,,,0.0,,,
11,2020-05-13,122.0,-1.0,-1.0,-1.0,121.0,1.0,1.0,7.0,-1.0,14156.0,847.0,Cambodia,Asia,,,0.0,,,
12,2020-05-14,122.0,-1.0,-1.0,-1.0,121.0,1.0,1.0,7.0,-1.0,14461.0,865.0,Cambodia,Asia,,,0.0,,,
13,2020-05-15,122.0,-1.0,-1.0,-1.0,121.0,1.0,1.0,7.0,-1.0,14615.0,876.0,Cambodia,Asia,157.0,16688259.0,0.0,,,
14,2020-05-16,122.0,-1.0,-1.0,-1.0,122.0,0.0,-1.0,7.0,-1.0,14684.0,880.0,Cambodia,Asia,160.0,16688891.0,0.0,,,
15,2020-05-17,122.0,-1.0,-1.0,-1.0,122.0,0.0,1.0,7.0,-1.0,15152.0,908.0,Cambodia,Asia,160.0,16689523.0,0.0,,,
16,2020-05-18,122.0,-1.0,-1.0,-1.0,122.0,0.0,-1.0,7.0,-1.0,15242.0,913.0,Cambodia,Asia,160.0,16690156.0,0.0,,,
17,2020-05-19,122.0,-1.0,-1.0,-1.0,122.0,0.0,-1.0,7.0,-1.0,15447.0,925.0,Cambodia,Asia,161.0,16690788.0,0.0,,,
18,2020-05-20,122.0,-1.0,-1.0,-1.0,122.0,0.0,-1.0,7.0,-1.0,15572.0,933.0,Cambodia,Asia,163.0,16691420.0,0.0,,,
19,2020-05-21,123.0,1.0,-1.0,-1.0,122.0,1.0,-1.0,7.0,-1.0,15572.0,933.0,Cambodia,Asia,163.0,16692053.0,0.0,,,
20,2020-05-22,123.0,-1.0,-1.0,-1.0,122.0,1.0,-1.0,7.0,-1.0,15830.0,948.0,Cambodia,Asia,164.0,16692685.0,0.0,,,
21,2020-05-23,124.0,1.0,-1.0,-1.0,122.0,2.0,1.0,7.0,-1.0,16007.0,959.0,Cambodia,Asia,164.0,16693317.0,0.0,,,
