,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,56580.0,1519.0,3560.0,169.0,23316.0,29704.0,557.0,1499.0,94.0,832222.0,22050.0,Canada,North America,,,0.0,,,
1,2020-05-03,59474.0,2760.0,3682.0,116.0,24908.0,30884.0,557.0,1576.0,98.0,893490.0,23674.0,Canada,North America,,,0.0,,,
2,2020-05-04,60772.0,1298.0,3854.0,172.0,26017.0,30901.0,557.0,1610.0,102.0,919368.0,24359.0,Canada,North America,,,0.0,,,
3,2020-05-05,62046.0,-1.0,4043.0,-1.0,26993.0,31010.0,502.0,1644.0,107.0,940567.0,24921.0,Canada,North America,,,0.0,,,
4,2020-05-06,62465.0,419.0,4111.0,68.0,26993.0,31361.0,502.0,1655.0,109.0,940567.0,24921.0,Canada,North America,,,0.0,,,
5,2020-05-07,64922.0,1426.0,4408.0,176.0,28972.0,31542.0,502.0,1720.0,117.0,973558.0,25795.0,Canada,North America,,,0.0,,,
6,2020-05-08,66434.0,-1.0,4569.0,-1.0,30406.0,31459.0,502.0,1760.0,121.0,1032088.0,27346.0,Canada,North America,,,0.0,,,
7,2020-05-09,67702.0,-1.0,4693.0,-1.0,31249.0,31760.0,502.0,1794.0,124.0,1068000.0,28297.0,Canada,North America,,,0.0,,,
8,2020-05-10,68738.0,1036.0,4870.0,177.0,31902.0,31966.0,502.0,1821.0,129.0,1135984.0,30099.0,Canada,North America,,,0.0,,,
9,2020-05-11,69157.0,309.0,4907.0,37.0,32096.0,32154.0,502.0,1832.0,130.0,1135984.0,30099.0,Canada,North America,,,0.0,,,
10,2020-05-12,71100.0,1119.0,5167.0,174.0,33711.0,32222.0,502.0,1884.0,137.0,1135984.0,30099.0,Canada,North America,,,0.0,,,
11,2020-05-13,71486.0,329.0,5209.0,40.0,34496.0,31781.0,502.0,1894.0,138.0,1145683.0,30356.0,Canada,North America,,,0.0,,,
12,2020-05-14,73331.0,1053.0,5468.0,166.0,35922.0,31941.0,502.0,1943.0,145.0,1169380.0,30983.0,Canada,North America,,,0.0,,,
13,2020-05-15,74532.0,1131.0,5553.0,81.0,36747.0,32232.0,502.0,1977.0,147.0,1169380.0,31019.0,Canada,North America,13.0,37699156.0,0.0,,,
14,2020-05-16,75770.0,1157.0,5677.0,115.0,37707.0,32386.0,502.0,2010.0,151.0,1225049.0,32495.0,Canada,North America,13.0,37700059.0,0.0,,,
15,2020-05-17,76944.0,1080.0,5781.0,102.0,38463.0,32700.0,502.0,2041.0,153.0,1347287.0,35736.0,Canada,North America,13.0,37700962.0,0.0,,,
16,2020-05-18,78017.0,1015.0,5839.0,57.0,39127.0,33051.0,502.0,2069.0,155.0,1312613.0,34816.0,Canada,North America,13.0,37701865.0,0.0,,,
17,2020-05-19,79070.0,998.0,5909.0,67.0,39951.0,33210.0,502.0,2097.0,157.0,1331173.0,35307.0,Canada,North America,13.0,37702769.0,0.0,,,
18,2020-05-20,80102.0,990.0,6028.0,116.0,40697.0,33377.0,502.0,2125.0,160.0,1339971.0,35540.0,Canada,North America,13.0,37703672.0,0.0,,,
19,2020-05-21,81279.0,1137.0,6145.0,114.0,41623.0,33511.0,502.0,2156.0,163.0,1375126.0,36471.0,Canada,North America,13.0,37704575.0,0.0,,,
20,2020-05-22,82413.0,1089.0,6245.0,93.0,42467.0,33701.0,502.0,2186.0,166.0,1379731.0,36592.0,Canada,North America,13.0,37705478.0,0.0,,,
21,2020-05-23,83590.0,1110.0,6352.0,102.0,43207.0,34031.0,502.0,2217.0,168.0,1420505.0,37673.0,Canada,North America,13.0,37706381.0,0.0,,,
22,2020-05-24,84657.0,1036.0,6424.0,69.0,43930.0,34303.0,502.0,2245.0,170.0,1431911.0,37974.0,Canada,North America,13.0,37707284.0,0.0,,,
23,2020-05-25,85104.0,405.0,6453.0,29.0,44207.0,34444.0,502.0,2257.0,171.0,1479838.0,39244.0,Canada,North America,13.0,37708187.0,0.0,,,
24,2020-05-26,85998.0,287.0,6566.0,21.0,44898.0,34534.0,502.0,2281.0,174.0,1500557.0,39793.0,Canada,North America,13.0,37709091.0,0.0,,,
25,2020-05-27,87519.0,-1.0,6765.0,-1.0,46164.0,34590.0,502.0,2321.0,179.0,1530931.0,40597.0,Canada,North America,13.0,37710897.0,0.0,,,
26,2020-05-28,88475.0,956.0,6873.0,108.0,46777.0,34825.0,502.0,2346.0,182.0,1559280.0,41348.0,Canada,North America,13.0,37710897.0,0.0,,,
27,2020-05-29,89390.0,878.0,6979.0,102.0,47443.0,34968.0,1613.0,2370.0,185.0,1593377.0,42251.0,Canada,North America,14.0,37711800.0,0.0,,,
28,2020-05-30,90161.0,743.0,7073.0,94.0,48050.0,35038.0,1618.0,2391.0,188.0,1631250.0,43255.0,Canada,North America,14.0,37712703.0,0.0,,,
29,2020-05-31,90928.0,738.0,7294.0,221.0,48839.0,34795.0,1618.0,2411.0,193.0,1634277.0,43334.0,Canada,North America,14.0,37713606.0,0.0,,,
30,2020-06-01,91647.0,700.0,7325.0,30.0,49225.0,35097.0,1641.0,2430.0,194.0,1665831.0,44169.0,Canada,North America,14.0,37714510.0,0.0,,,
31,2020-06-02,92390.0,685.0,7395.0,69.0,50271.0,34724.0,1648.0,2450.0,196.0,1695918.0,44966.0,Canada,North America,15.0,37715413.0,545.0,408.0,5100.0,22.0
32,2020-06-03,93044.0,634.0,7495.0,100.0,50984.0,34565.0,1709.0,2467.0,199.0,1724250.0,45716.0,Canada,North America,15.0,37716316.0,627.0,405.0,5032.0,22.0
33,2020-06-04,93700.0,615.0,7636.0,138.0,51685.0,34379.0,1721.0,2484.0,202.0,1787446.0,47391.0,Canada,North America,15.0,37717219.0,637.0,403.0,4939.0,21.0
34,2020-06-05,94325.0,599.0,7702.0,65.0,52545.0,34078.0,1727.0,2501.0,204.0,1824857.0,48381.0,Canada,North America,16.0,37718122.0,806.0,400.0,4897.0,21.0
35,2020-06-06,95016.0,681.0,7773.0,70.0,53582.0,33661.0,1738.0,2519.0,206.0,1830498.0,48530.0,Canada,North America,16.0,37719025.0,1014.0,397.0,4853.0,21.0
36,2020-06-07,95698.0,641.0,7800.0,27.0,54221.0,33677.0,1738.0,2537.0,207.0,1868277.0,49530.0,Canada,North America,17.0,37719929.0,607.0,394.0,4836.0,20.0
37,2020-06-08,96140.0,441.0,7830.0,30.0,54473.0,33837.0,1816.0,2549.0,208.0,1896822.0,50286.0,Canada,North America,17.0,37720832.0,240.0,392.0,4817.0,20.0
38,2020-06-09,96616.0,372.0,7895.0,60.0,55537.0,33184.0,1828.0,2561.0,209.0,1930141.0,51168.0,Canada,North America,17.0,37721735.0,537.0,390.0,4778.0,20.0
39,2020-06-10,97060.0,407.0,7960.0,63.0,56602.0,32498.0,1864.0,2573.0,211.0,1955719.0,51845.0,Canada,North America,17.0,37722638.0,1030.0,389.0,4739.0,19.0
40,2020-06-11,97476.0,351.0,7996.0,36.0,57608.0,31872.0,1864.0,2584.0,212.0,1989255.0,52732.0,Canada,North America,17.0,37723541.0,969.0,387.0,4718.0,19.0
41,2020-06-12,97898.0,368.0,8048.0,54.0,58490.0,31360.0,1878.0,2595.0,213.0,2028496.0,53771.0,Canada,North America,17.0,37724444.0,832.0,385.0,4687.0,19.0
42,2020-06-13,98368.0,425.0,8105.0,56.0,59333.0,30930.0,1929.0,2607.0,215.0,2072096.0,54926.0,Canada,North America,17.0,37725348.0,810.0,384.0,4655.0,18.0
43,2020-06-14,98735.0,325.0,8146.0,39.0,60241.0,30348.0,1937.0,2617.0,216.0,2113924.0,56033.0,Canada,North America,17.0,37726251.0,887.0,382.0,4631.0,18.0
44,2020-06-15,99073.0,286.0,8174.0,28.0,60999.0,29900.0,1937.0,2626.0,217.0,2152700.0,57060.0,Canada,North America,17.0,37727154.0,727.0,381.0,4616.0,18.0
45,2020-06-16,99426.0,279.0,8213.0,38.0,61400.0,29813.0,1942.0,2635.0,218.0,2183476.0,57874.0,Canada,North America,17.0,37728057.0,358.0,379.0,4594.0,17.0
46,2020-06-17,99786.0,319.0,8254.0,41.0,62000.0,29532.0,1971.0,2645.0,219.0,2216730.0,58754.0,Canada,North America,17.0,37728960.0,557.0,378.0,4571.0,17.0
47,2020-06-18,100148.0,295.0,8299.0,45.0,62445.0,29404.0,1982.0,2654.0,220.0,2254481.0,59753.0,Canada,North America,18.0,37729863.0,428.0,377.0,4546.0,17.0
