,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,74.0,-1.0,1.0,-1.0,10.0,63.0,3.0,1126.0,15.0,1927.0,29320.0,Cayman Islands,North America,,,0.0,,,
1,2020-05-03,74.0,-1.0,1.0,-1.0,10.0,63.0,3.0,1126.0,15.0,1927.0,29320.0,Cayman Islands,North America,,,0.0,,,
2,2020-05-04,75.0,1.0,1.0,-1.0,14.0,60.0,3.0,1141.0,15.0,2528.0,38465.0,Cayman Islands,North America,,,0.0,,,
3,2020-05-05,75.0,-1.0,1.0,-1.0,14.0,60.0,3.0,1141.0,15.0,2528.0,38465.0,Cayman Islands,North America,,,0.0,,,
4,2020-05-06,78.0,3.0,1.0,-1.0,30.0,47.0,3.0,1187.0,15.0,2752.0,41873.0,Cayman Islands,North America,,,0.0,,,
5,2020-05-07,80.0,2.0,1.0,-1.0,35.0,44.0,3.0,1217.0,15.0,3126.0,47564.0,Cayman Islands,North America,,,0.0,,,
6,2020-05-08,81.0,-1.0,1.0,-1.0,41.0,39.0,3.0,1232.0,15.0,3423.0,52083.0,Cayman Islands,North America,,,0.0,,,
7,2020-05-09,81.0,-1.0,1.0,-1.0,41.0,39.0,3.0,1232.0,15.0,3423.0,52083.0,Cayman Islands,North America,,,0.0,,,
8,2020-05-10,81.0,-1.0,1.0,-1.0,41.0,39.0,3.0,1232.0,15.0,3423.0,52083.0,Cayman Islands,North America,,,0.0,,,
9,2020-05-11,81.0,-1.0,1.0,-1.0,41.0,39.0,3.0,1232.0,15.0,3423.0,52083.0,Cayman Islands,North America,,,0.0,,,
10,2020-05-12,84.0,-1.0,1.0,-1.0,47.0,36.0,3.0,1278.0,15.0,4187.0,63708.0,Cayman Islands,North America,,,0.0,,,
11,2020-05-13,85.0,-1.0,1.0,-1.0,50.0,34.0,3.0,1293.0,15.0,4564.0,69444.0,Cayman Islands,North America,,,0.0,,,
12,2020-05-14,86.0,-1.0,1.0,-1.0,54.0,31.0,3.0,1309.0,15.0,4893.0,74450.0,Cayman Islands,North America,,,0.0,,,
13,2020-05-15,93.0,-1.0,1.0,-1.0,54.0,38.0,3.0,1417.0,15.0,5342.0,81408.0,Cayman Islands,North America,166.0,65620.0,0.0,,,
