,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,538.0,-1.0,41.0,-1.0,406.0,91.0,-1.0,3094.0,236.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
1,2020-05-03,543.0,-1.0,41.0,-1.0,406.0,96.0,-1.0,3123.0,236.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
2,2020-05-04,544.0,-1.0,41.0,-1.0,406.0,97.0,-1.0,3129.0,236.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
3,2020-05-05,545.0,-1.0,40.0,-1.0,406.0,99.0,-1.0,3135.0,230.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
4,2020-05-06,545.0,-1.0,40.0,-1.0,406.0,99.0,-1.0,3135.0,230.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
5,2020-05-07,545.0,-1.0,40.0,-1.0,430.0,75.0,-1.0,3135.0,230.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
6,2020-05-08,545.0,-1.0,41.0,-1.0,447.0,57.0,-1.0,3135.0,236.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
7,2020-05-09,545.0,-1.0,41.0,-1.0,447.0,57.0,-1.0,3135.0,236.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
8,2020-05-10,545.0,-1.0,41.0,-1.0,447.0,57.0,-1.0,3135.0,236.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
9,2020-05-11,546.0,1.0,41.0,-1.0,452.0,53.0,-1.0,3140.0,236.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
10,2020-05-12,547.0,1.0,42.0,1.0,455.0,50.0,-1.0,3146.0,242.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
11,2020-05-13,547.0,-1.0,42.0,-1.0,455.0,50.0,-1.0,3146.0,242.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
12,2020-05-14,548.0,-1.0,43.0,-1.0,456.0,49.0,-1.0,3152.0,247.0,5342.0,30725.0,Channel Islands,Europe,,,0.0,,,
13,2020-05-15,549.0,-1.0,43.0,-1.0,456.0,50.0,-1.0,3161.0,248.0,5342.0,30762.0,Channel Islands,Europe,120.0,173654.0,0.0,,,
14,2020-05-16,549.0,-1.0,43.0,-1.0,457.0,49.0,-1.0,3161.0,248.0,5342.0,30761.0,Channel Islands,Europe,120.0,173659.0,0.0,,,
15,2020-05-17,554.0,-1.0,43.0,-1.0,458.0,53.0,-1.0,3190.0,248.0,5342.0,30761.0,Channel Islands,Europe,120.0,173663.0,0.0,,,
16,2020-05-18,554.0,-1.0,43.0,-1.0,458.0,53.0,-1.0,3190.0,248.0,5342.0,30760.0,Channel Islands,Europe,121.0,173668.0,0.0,,,
17,2020-05-19,555.0,-1.0,43.0,-1.0,475.0,37.0,-1.0,3196.0,248.0,5342.0,30759.0,Channel Islands,Europe,122.0,173672.0,0.0,,,
18,2020-05-20,555.0,-1.0,44.0,-1.0,479.0,32.0,-1.0,3196.0,253.0,5342.0,30758.0,Channel Islands,Europe,125.0,173676.0,0.0,,,
19,2020-05-21,558.0,-1.0,45.0,-1.0,508.0,5.0,-1.0,3213.0,259.0,5342.0,30758.0,Channel Islands,Europe,125.0,173681.0,0.0,,,
20,2020-05-22,558.0,-1.0,45.0,-1.0,508.0,5.0,-1.0,3213.0,259.0,5342.0,30757.0,Channel Islands,Europe,125.0,173685.0,0.0,,,
21,2020-05-23,558.0,-1.0,45.0,-1.0,508.0,5.0,-1.0,3213.0,259.0,5342.0,30756.0,Channel Islands,Europe,127.0,173689.0,0.0,,,
22,2020-05-24,558.0,-1.0,45.0,-1.0,517.0,-4.0,-1.0,3213.0,259.0,10255.0,59041.0,Channel Islands,Europe,129.0,173694.0,0.0,,,
23,2020-05-25,558.0,-1.0,45.0,-1.0,517.0,-4.0,-1.0,3212.0,259.0,10255.0,59039.0,Channel Islands,Europe,129.0,173698.0,0.0,,,
