,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,18435.0,1427.0,247.0,13.0,9572.0,8616.0,425.0,964.0,13.0,199400.0,10431.0,Chile,South America,,,0.0,,,
1,2020-05-03,19663.0,1228.0,260.0,13.0,10041.0,9362.0,408.0,1029.0,14.0,206218.0,10788.0,Chile,South America,,,0.0,,,
2,2020-05-04,20643.0,980.0,270.0,10.0,10415.0,9958.0,464.0,1080.0,14.0,214131.0,11202.0,Chile,South America,,,0.0,,,
3,2020-05-05,22016.0,-1.0,275.0,-1.0,10710.0,11031.0,470.0,1152.0,14.0,222095.0,11618.0,Chile,South America,,,0.0,,,
4,2020-05-06,23048.0,1032.0,281.0,6.0,11189.0,11578.0,470.0,1206.0,15.0,232108.0,12142.0,Chile,South America,,,0.0,,,
5,2020-05-07,24581.0,1533.0,285.0,4.0,11664.0,12632.0,493.0,1286.0,15.0,244226.0,12776.0,Chile,South America,,,0.0,,,
6,2020-05-08,25972.0,-1.0,294.0,-1.0,12160.0,13518.0,508.0,1359.0,15.0,255961.0,13390.0,Chile,South America,,,0.0,,,
7,2020-05-09,27219.0,-1.0,304.0,-1.0,12667.0,14248.0,544.0,1424.0,16.0,267904.0,14015.0,Chile,South America,,,0.0,,,
8,2020-05-10,28866.0,1647.0,312.0,8.0,13112.0,15442.0,544.0,1510.0,16.0,267904.0,14015.0,Chile,South America,,,0.0,,,
9,2020-05-11,30063.0,1197.0,323.0,11.0,13605.0,16135.0,574.0,1573.0,17.0,294057.0,15383.0,Chile,South America,,,0.0,,,
10,2020-05-12,31721.0,1658.0,335.0,12.0,14125.0,17261.0,494.0,1659.0,18.0,303340.0,15868.0,Chile,South America,,,0.0,,,
11,2020-05-13,34381.0,2660.0,346.0,11.0,14865.0,19170.0,494.0,1799.0,18.0,313750.0,16413.0,Chile,South America,,,0.0,,,
12,2020-05-14,37040.0,2659.0,368.0,22.0,15655.0,21017.0,663.0,1938.0,19.0,325417.0,17023.0,Chile,South America,,,0.0,,,
13,2020-05-15,39542.0,2502.0,394.0,26.0,16614.0,22534.0,584.0,2071.0,21.0,341347.0,17876.0,Chile,South America,18.0,19094896.0,0.0,,,
14,2020-05-16,41428.0,1886.0,421.0,27.0,18014.0,22993.0,751.0,2170.0,22.0,350325.0,18346.0,Chile,South America,18.0,19095344.0,0.0,,,
15,2020-05-17,43781.0,2353.0,450.0,29.0,19213.0,24118.0,769.0,2293.0,24.0,363496.0,19035.0,Chile,South America,18.0,19095791.0,0.0,,,
16,2020-05-18,46059.0,2278.0,478.0,28.0,20165.0,25416.0,807.0,2412.0,25.0,381011.0,19952.0,Chile,South America,17.0,19096239.0,0.0,,,
17,2020-05-19,49579.0,3520.0,509.0,31.0,21507.0,27563.0,876.0,2596.0,27.0,397200.0,20799.0,Chile,South America,17.0,19096687.0,0.0,,,
18,2020-05-20,53617.0,4038.0,544.0,35.0,22504.0,30569.0,904.0,2808.0,28.0,409669.0,21452.0,Chile,South America,17.0,19097135.0,0.0,,,
19,2020-05-21,57581.0,3964.0,589.0,45.0,23992.0,33000.0,943.0,3015.0,31.0,426003.0,22307.0,Chile,South America,15.0,19097583.0,0.0,,,
20,2020-05-22,61857.0,4276.0,630.0,41.0,25342.0,35885.0,986.0,3239.0,33.0,442093.0,23149.0,Chile,South America,15.0,19098031.0,0.0,,,
21,2020-05-23,65393.0,3536.0,673.0,43.0,26546.0,38174.0,1062.0,3424.0,35.0,457332.0,23946.0,Chile,South America,15.0,19098478.0,0.0,,,
22,2020-05-24,69102.0,3709.0,718.0,45.0,28148.0,40236.0,1090.0,3618.0,38.0,471758.0,24701.0,Chile,South America,15.0,19098926.0,0.0,,,
23,2020-05-25,73997.0,4895.0,761.0,43.0,29302.0,43934.0,1135.0,3874.0,40.0,488041.0,25553.0,Chile,South America,15.0,19099374.0,0.0,,,
24,2020-05-26,77961.0,3964.0,806.0,45.0,30915.0,46240.0,1202.0,4082.0,42.0,501125.0,26237.0,Chile,South America,14.0,19099822.0,0.0,,,
25,2020-05-27,82289.0,-1.0,841.0,-1.0,33540.0,47908.0,1251.0,4308.0,44.0,514523.0,26937.0,Chile,South America,14.0,19100718.0,0.0,,,
26,2020-05-28,86943.0,4654.0,890.0,49.0,36150.0,49903.0,1289.0,4552.0,47.0,530173.0,27757.0,Chile,South America,14.0,19100718.0,0.0,,,
27,2020-05-29,90638.0,3695.0,944.0,54.0,38598.0,51096.0,1350.0,4745.0,49.0,546506.0,28611.0,Chile,South America,13.0,19101165.0,0.0,,,
28,2020-05-30,94858.0,4220.0,997.0,53.0,40431.0,53430.0,1371.0,4966.0,52.0,563320.0,29491.0,Chile,South America,13.0,19101613.0,0.0,,,
29,2020-05-31,99688.0,4830.0,1054.0,57.0,42727.0,55907.0,1383.0,5219.0,55.0,582440.0,30491.0,Chile,South America,13.0,19102061.0,0.0,,,
30,2020-06-01,105159.0,5471.0,1113.0,59.0,44946.0,59100.0,1446.0,5505.0,58.0,599330.0,31374.0,Chile,South America,13.0,19102509.0,0.0,,,
31,2020-06-02,108686.0,3527.0,1188.0,75.0,44946.0,62552.0,1446.0,5689.0,62.0,612772.0,32077.0,Chile,South America,13.0,19102957.0,-1.0,176.0,16080.0,31.0
32,2020-06-03,113628.0,4942.0,1275.0,87.0,86173.0,26180.0,1446.0,5948.0,67.0,628318.0,32890.0,Chile,South America,13.0,19103405.0,41227.0,168.0,14983.0,30.0
33,2020-06-04,118292.0,4664.0,1356.0,81.0,90748.0,26188.0,1496.0,6192.0,71.0,646458.0,33839.0,Chile,South America,13.0,19103852.0,4575.0,161.0,14088.0,30.0
34,2020-06-05,122499.0,4207.0,1448.0,92.0,95631.0,25420.0,1521.0,6412.0,76.0,668556.0,34995.0,Chile,South America,13.0,19104300.0,4883.0,156.0,13194.0,29.0
35,2020-06-06,127745.0,5246.0,1541.0,93.0,95631.0,30573.0,1524.0,6687.0,81.0,687510.0,35986.0,Chile,South America,13.0,19104748.0,-1.0,150.0,12398.0,28.0
36,2020-06-07,134150.0,6405.0,2190.0,649.0,95631.0,36329.0,1558.0,7022.0,115.0,708773.0,37098.0,Chile,South America,13.0,19105196.0,-1.0,142.0,8724.0,27.0
37,2020-06-08,138846.0,4696.0,2264.0,74.0,95631.0,40951.0,1558.0,7267.0,118.0,728815.0,38147.0,Chile,South America,13.0,19105644.0,-1.0,138.0,8439.0,26.0
38,2020-06-09,142759.0,3913.0,2283.0,19.0,95631.0,44845.0,1689.0,7472.0,119.0,746592.0,39076.0,Chile,South America,13.0,19106092.0,-1.0,134.0,8369.0,26.0
39,2020-06-10,148496.0,5737.0,2475.0,192.0,95631.0,50390.0,1689.0,7772.0,130.0,761090.0,39834.0,Chile,South America,13.0,19106539.0,-1.0,129.0,7720.0,25.0
40,2020-06-11,154092.0,5596.0,2648.0,173.0,126444.0,25000.0,1689.0,8065.0,139.0,781043.0,40877.0,Chile,South America,13.0,19106987.0,30813.0,124.0,7216.0,24.0
41,2020-06-12,160846.0,6754.0,2870.0,222.0,131358.0,26618.0,1689.0,8418.0,150.0,799776.0,41857.0,Chile,South America,12.0,19107435.0,4914.0,119.0,6658.0,24.0
42,2020-06-13,167355.0,6509.0,3101.0,231.0,137296.0,26958.0,1656.0,8758.0,162.0,819999.0,42914.0,Chile,South America,12.0,19107883.0,5938.0,114.0,6162.0,23.0
43,2020-06-14,174293.0,6938.0,3323.0,222.0,143704.0,27266.0,1715.0,9121.0,174.0,840150.0,43968.0,Chile,South America,12.0,19108331.0,6408.0,110.0,5750.0,23.0
44,2020-06-15,179436.0,5143.0,3362.0,39.0,148792.0,27282.0,1723.0,9390.0,176.0,858958.0,44951.0,Chile,South America,12.0,19108779.0,5088.0,106.0,5684.0,22.0
45,2020-06-16,184449.0,5013.0,3383.0,21.0,156232.0,24834.0,1727.0,9652.0,177.0,873533.0,45713.0,Chile,South America,11.0,19109226.0,7440.0,104.0,5649.0,22.0
46,2020-06-17,184449.0,-1.0,3615.0,232.0,156232.0,24602.0,1794.0,9652.0,189.0,886169.0,46373.0,Chile,South America,11.0,19109674.0,-1.0,104.0,5286.0,22.0
47,2020-06-18,225103.0,4475.0,3841.0,226.0,186441.0,34821.0,1845.0,11779.0,201.0,903166.0,47261.0,Chile,South America,9.0,19110122.0,30209.0,85.0,4975.0,21.0
48,2020-06-19,231393.0,6290.0,4093.0,252.0,191491.0,35809.0,1911.0,12108.0,214.0,923513.0,48325.0,Chile,South America,9.0,19110570.0,5050.0,83.0,4669.0,21.0
49,2020-06-20,236748.0,5355.0,4295.0,202.0,196609.0,35844.0,1951.0,12388.0,225.0,943593.0,49373.0,Chile,South America,9.0,19111466.0,5118.0,81.0,4450.0,20.0
50,2020-06-21,242355.0,5607.0,4479.0,184.0,200569.0,37307.0,1996.0,12681.0,234.0,963708.0,50426.0,Chile,South America,8.0,19111466.0,3960.0,79.0,4267.0,20.0
51,2020-06-22,246963.0,4608.0,4502.0,23.0,205397.0,37064.0,2014.0,12922.0,236.0,982353.0,51400.0,Chile,South America,8.0,19111913.0,4828.0,77.0,4245.0,19.0
52,2020-06-23,250767.0,3804.0,4505.0,3.0,210570.0,35692.0,2009.0,13121.0,236.0,995060.0,52064.0,Chile,South America,8.0,19112361.0,5173.0,76.0,4242.0,19.0
53,2020-06-24,254416.0,3649.0,4731.0,226.0,215093.0,34592.0,2046.0,13311.0,248.0,1007635.0,52720.0,Chile,South America,8.0,19112809.0,4523.0,75.0,4040.0,19.0
54,2020-06-25,259064.0,4648.0,4903.0,172.0,219327.0,34834.0,2078.0,13554.0,257.0,1025081.0,53632.0,Chile,South America,8.0,19113257.0,4234.0,74.0,3898.0,19.0
55,2020-06-26,263360.0,4296.0,5068.0,165.0,223431.0,34861.0,2086.0,13779.0,265.0,1043330.0,54585.0,Chile,South America,8.0,19113705.0,4104.0,73.0,3771.0,18.0
56,2020-06-27,267766.0,4406.0,5347.0,279.0,228055.0,34364.0,2090.0,14009.0,280.0,1061274.0,55523.0,Chile,South America,8.0,19114153.0,4624.0,71.0,3575.0,18.0
57,2020-06-28,271982.0,4216.0,5509.0,162.0,232210.0,34263.0,2090.0,14229.0,288.0,1079644.0,56483.0,Chile,South America,8.0,19114600.0,4155.0,70.0,3470.0,18.0
58,2020-06-29,275999.0,4017.0,5575.0,66.0,236154.0,34270.0,2090.0,14439.0,292.0,1096443.0,57360.0,Chile,South America,8.0,19115048.0,3944.0,69.0,3429.0,17.0
59,2020-06-30,279393.0,3394.0,5688.0,113.0,241229.0,32476.0,2106.0,14616.0,298.0,1109792.0,58057.0,Chile,South America,8.0,19115496.0,5075.0,68.0,3361.0,17.0
60,2020-07-01,282043.0,2650.0,5753.0,65.0,245443.0,30847.0,2106.0,14754.0,301.0,1109792.0,58056.0,Chile,South America,8.0,19115944.0,4214.0,68.0,3323.0,17.0
61,2020-07-02,284541.0,2498.0,5920.0,167.0,249247.0,29374.0,2099.0,14885.0,310.0,1131008.0,59164.0,Chile,South America,8.0,19116392.0,3804.0,67.0,3229.0,17.0
