,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,7006.0,-1.0,314.0,-1.0,1551.0,5141.0,118.0,138.0,6.0,108950.0,2141.0,Colombia,South America,,,0.0,,,
1,2020-05-03,7668.0,383.0,340.0,16.0,1722.0,5606.0,118.0,151.0,7.0,114602.0,2252.0,Colombia,South America,,,0.0,,,
2,2020-05-04,7973.0,305.0,358.0,18.0,1807.0,5808.0,122.0,157.0,7.0,118801.0,2335.0,Colombia,South America,,,0.0,,,
3,2020-05-05,8613.0,-1.0,378.0,-1.0,2013.0,6222.0,128.0,169.0,7.0,127105.0,2498.0,Colombia,South America,,,0.0,,,
4,2020-05-06,8613.0,-1.0,378.0,-1.0,2013.0,6222.0,128.0,169.0,7.0,127105.0,2498.0,Colombia,South America,,,0.0,,,
5,2020-05-07,9456.0,497.0,407.0,10.0,2300.0,6749.0,123.0,186.0,8.0,131110.0,2577.0,Colombia,South America,,,0.0,,,
6,2020-05-08,10051.0,-1.0,428.0,-1.0,2424.0,7199.0,130.0,198.0,8.0,139739.0,2746.0,Colombia,South America,,,0.0,,,
7,2020-05-09,10495.0,-1.0,445.0,-1.0,2569.0,7481.0,130.0,206.0,9.0,139739.0,2746.0,Colombia,South America,,,0.0,,,
8,2020-05-10,10495.0,-1.0,445.0,-1.0,2569.0,7481.0,130.0,206.0,9.0,144912.0,2848.0,Colombia,South America,,,0.0,,,
9,2020-05-11,11063.0,-1.0,463.0,-1.0,2705.0,7895.0,130.0,217.0,9.0,151396.0,2975.0,Colombia,South America,,,0.0,,,
10,2020-05-12,11613.0,-1.0,479.0,-1.0,2825.0,8309.0,130.0,228.0,9.0,151396.0,2975.0,Colombia,South America,,,0.0,,,
11,2020-05-13,12272.0,-1.0,493.0,-1.0,2971.0,8808.0,130.0,241.0,10.0,165738.0,3257.0,Colombia,South America,,,0.0,,,
12,2020-05-14,12930.0,-1.0,509.0,-1.0,3133.0,9288.0,130.0,254.0,10.0,165738.0,3257.0,Colombia,South America,,,0.0,,,
13,2020-05-15,13610.0,-1.0,525.0,-1.0,3358.0,9727.0,137.0,268.0,10.0,177050.0,3484.0,Colombia,South America,37.0,50811863.0,0.0,,,
14,2020-05-16,14216.0,-1.0,546.0,-1.0,3460.0,10210.0,137.0,280.0,11.0,177050.0,3484.0,Colombia,South America,38.0,50813344.0,0.0,,,
15,2020-05-17,14939.0,-1.0,562.0,-1.0,3587.0,10790.0,136.0,294.0,11.0,190114.0,3741.0,Colombia,South America,37.0,50814825.0,0.0,,,
16,2020-05-18,15574.0,-1.0,574.0,-1.0,3751.0,11249.0,136.0,306.0,11.0,190114.0,3741.0,Colombia,South America,38.0,50816306.0,0.0,,,
17,2020-05-19,16295.0,-1.0,592.0,-1.0,3903.0,11800.0,136.0,321.0,12.0,201808.0,3971.0,Colombia,South America,39.0,50817787.0,0.0,,,
18,2020-05-20,16935.0,-1.0,613.0,-1.0,4050.0,12272.0,136.0,333.0,12.0,201808.0,3971.0,Colombia,South America,36.0,50819268.0,0.0,,,
19,2020-05-21,18330.0,643.0,652.0,22.0,4431.0,13247.0,136.0,361.0,13.0,214536.0,4221.0,Colombia,South America,35.0,50820749.0,0.0,,,
20,2020-05-22,18330.0,-1.0,652.0,-1.0,4431.0,13247.0,136.0,361.0,13.0,214536.0,4221.0,Colombia,South America,35.0,50822230.0,0.0,,,
