,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,725.0,-1.0,6.0,-1.0,355.0,364.0,7.0,142.0,1.0,13529.0,2656.0,Costa Rica,North America,,,0.0,,,
1,2020-05-03,739.0,6.0,6.0,-1.0,386.0,347.0,6.0,145.0,1.0,13851.0,2719.0,Costa Rica,North America,,,0.0,,,
2,2020-05-04,742.0,3.0,6.0,-1.0,399.0,337.0,5.0,146.0,1.0,13988.0,2746.0,Costa Rica,North America,,,0.0,,,
3,2020-05-05,755.0,-1.0,6.0,-1.0,413.0,336.0,5.0,148.0,1.0,14121.0,2772.0,Costa Rica,North America,,,0.0,,,
4,2020-05-06,755.0,-1.0,6.0,-1.0,413.0,336.0,5.0,148.0,1.0,14121.0,2772.0,Costa Rica,North America,,,0.0,,,
5,2020-05-07,765.0,4.0,6.0,-1.0,445.0,314.0,6.0,150.0,1.0,15140.0,2972.0,Costa Rica,North America,,,0.0,,,
6,2020-05-08,773.0,-1.0,6.0,-1.0,461.0,306.0,6.0,152.0,1.0,15810.0,3104.0,Costa Rica,North America,,,0.0,,,
7,2020-05-09,780.0,-1.0,6.0,-1.0,480.0,294.0,6.0,153.0,1.0,16517.0,3242.0,Costa Rica,North America,,,0.0,,,
8,2020-05-10,780.0,-1.0,6.0,-1.0,480.0,294.0,6.0,153.0,1.0,16517.0,3242.0,Costa Rica,North America,,,0.0,,,
9,2020-05-11,792.0,-1.0,7.0,1.0,501.0,284.0,6.0,155.0,1.0,17170.0,3371.0,Costa Rica,North America,,,0.0,,,
10,2020-05-12,804.0,3.0,7.0,-1.0,520.0,277.0,6.0,158.0,1.0,17470.0,3429.0,Costa Rica,North America,,,0.0,,,
11,2020-05-13,804.0,-1.0,7.0,-1.0,520.0,277.0,6.0,158.0,1.0,17470.0,3429.0,Costa Rica,North America,,,0.0,,,
12,2020-05-14,815.0,-1.0,8.0,1.0,527.0,280.0,6.0,160.0,2.0,18040.0,3541.0,Costa Rica,North America,,,0.0,,,
13,2020-05-15,830.0,-1.0,8.0,-1.0,535.0,287.0,4.0,163.0,2.0,18388.0,3614.0,Costa Rica,North America,107.0,5088065.0,0.0,,,
