,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2088.0,3.0,77.0,2.0,1463.0,548.0,17.0,509.0,19.0,37557.0,9148.0,Croatia,Europe,,,0.0,,,
1,2020-05-03,2096.0,8.0,79.0,2.0,1489.0,528.0,15.0,511.0,19.0,38084.0,9277.0,Croatia,Europe,,,0.0,,,
2,2020-05-04,2101.0,5.0,80.0,1.0,1522.0,499.0,15.0,512.0,19.0,39040.0,9510.0,Croatia,Europe,,,0.0,,,
3,2020-05-05,2112.0,-1.0,83.0,-1.0,1560.0,469.0,14.0,514.0,20.0,39973.0,9737.0,Croatia,Europe,,,0.0,,,
4,2020-05-06,2119.0,7.0,85.0,2.0,1601.0,433.0,14.0,516.0,21.0,41053.0,10000.0,Croatia,Europe,,,0.0,,,
5,2020-05-07,2125.0,6.0,86.0,1.0,1641.0,398.0,14.0,518.0,21.0,41938.0,10216.0,Croatia,Europe,,,0.0,,,
6,2020-05-08,2161.0,-1.0,86.0,-1.0,1689.0,386.0,13.0,526.0,21.0,43378.0,10566.0,Croatia,Europe,,,0.0,,,
7,2020-05-09,2176.0,-1.0,87.0,-1.0,1726.0,363.0,13.0,530.0,21.0,44218.0,10771.0,Croatia,Europe,,,0.0,,,
8,2020-05-10,2187.0,11.0,90.0,3.0,1764.0,333.0,13.0,533.0,22.0,44886.0,10934.0,Croatia,Europe,,,0.0,,,
9,2020-05-11,2196.0,9.0,91.0,1.0,1784.0,321.0,13.0,535.0,22.0,44886.0,10934.0,Croatia,Europe,,,0.0,,,
10,2020-05-12,2207.0,11.0,91.0,-1.0,1808.0,308.0,11.0,538.0,22.0,47480.0,11566.0,Croatia,Europe,,,0.0,,,
11,2020-05-13,2213.0,6.0,94.0,3.0,1834.0,285.0,9.0,539.0,23.0,48737.0,11872.0,Croatia,Europe,,,0.0,,,
12,2020-05-14,2221.0,8.0,94.0,-1.0,1850.0,277.0,7.0,541.0,23.0,50340.0,12262.0,Croatia,Europe,,,0.0,,,
13,2020-05-15,2222.0,1.0,95.0,1.0,1869.0,258.0,8.0,541.0,23.0,51568.0,12552.0,Croatia,Europe,76.0,4108356.0,0.0,,,
14,2020-05-16,2224.0,2.0,95.0,-1.0,1913.0,216.0,9.0,541.0,23.0,52425.0,12761.0,Croatia,Europe,77.0,4108287.0,0.0,,,
15,2020-05-17,2226.0,2.0,95.0,-1.0,1936.0,195.0,10.0,542.0,23.0,53877.0,13114.0,Croatia,Europe,77.0,4108218.0,0.0,,,
16,2020-05-18,2228.0,2.0,95.0,-1.0,1946.0,187.0,10.0,542.0,23.0,54820.0,13344.0,Croatia,Europe,78.0,4108150.0,0.0,,,
17,2020-05-19,2232.0,4.0,96.0,1.0,1967.0,169.0,10.0,543.0,23.0,55800.0,13583.0,Croatia,Europe,78.0,4108081.0,0.0,,,
18,2020-05-20,2234.0,2.0,96.0,-1.0,1978.0,160.0,8.0,544.0,23.0,57021.0,13880.0,Croatia,Europe,78.0,4108012.0,0.0,,,
19,2020-05-21,2237.0,3.0,97.0,1.0,1978.0,162.0,9.0,545.0,24.0,58091.0,14141.0,Croatia,Europe,81.0,4107943.0,0.0,,,
20,2020-05-22,2243.0,6.0,99.0,2.0,2011.0,133.0,5.0,546.0,24.0,59911.0,14584.0,Croatia,Europe,82.0,4107874.0,0.0,,,
21,2020-05-23,2243.0,-1.0,99.0,-1.0,2023.0,121.0,6.0,546.0,24.0,60864.0,14817.0,Croatia,Europe,82.0,4107806.0,0.0,,,
22,2020-05-24,2244.0,1.0,99.0,-1.0,2027.0,118.0,6.0,546.0,24.0,61482.0,14967.0,Croatia,Europe,82.0,4107737.0,0.0,,,
23,2020-05-25,2244.0,-1.0,100.0,1.0,2035.0,109.0,6.0,546.0,24.0,62422.0,15196.0,Croatia,Europe,83.0,4107668.0,0.0,,,
24,2020-05-26,2244.0,-1.0,101.0,1.0,2046.0,97.0,5.0,546.0,25.0,63682.0,15503.0,Croatia,Europe,83.0,4107599.0,0.0,,,
25,2020-05-27,2244.0,-1.0,101.0,-1.0,2047.0,96.0,6.0,546.0,25.0,64266.0,15646.0,Croatia,Europe,84.0,4107462.0,0.0,,,
26,2020-05-28,2245.0,1.0,102.0,1.0,2051.0,92.0,5.0,547.0,25.0,65094.0,15848.0,Croatia,Europe,84.0,4107462.0,0.0,,,
27,2020-05-29,2245.0,-1.0,103.0,1.0,2059.0,83.0,4.0,547.0,25.0,65509.0,15949.0,Croatia,Europe,85.0,4107393.0,0.0,,,
28,2020-05-30,2246.0,1.0,103.0,-1.0,2063.0,80.0,4.0,547.0,25.0,66144.0,16104.0,Croatia,Europe,85.0,4107324.0,0.0,,,
29,2020-05-31,2246.0,-1.0,103.0,-1.0,2072.0,71.0,4.0,547.0,25.0,66405.0,16168.0,Croatia,Europe,85.0,4107255.0,0.0,,,
30,2020-06-01,2246.0,-1.0,103.0,-1.0,2077.0,66.0,4.0,547.0,25.0,66695.0,16239.0,Croatia,Europe,86.0,4107186.0,0.0,,,
31,2020-06-02,2246.0,-1.0,103.0,-1.0,2088.0,55.0,4.0,547.0,25.0,67297.0,16385.0,Croatia,Europe,86.0,4107117.0,11.0,1829.0,39875.0,61.0
32,2020-06-03,2246.0,-1.0,103.0,-1.0,2095.0,48.0,4.0,547.0,25.0,67814.0,16512.0,Croatia,Europe,88.0,4107049.0,7.0,1829.0,39874.0,61.0
33,2020-06-04,2247.0,1.0,103.0,-1.0,2105.0,39.0,3.0,547.0,25.0,67997.0,16556.0,Croatia,Europe,89.0,4106980.0,10.0,1828.0,39874.0,60.0
