,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1537.0,-1.0,64.0,-1.0,714.0,759.0,10.0,136.0,6.0,49409.0,4362.0,Cuba,North America,,,0.0,,,
1,2020-05-03,1649.0,38.0,67.0,1.0,827.0,755.0,13.0,146.0,6.0,53545.0,4727.0,Cuba,North America,,,0.0,,,
2,2020-05-04,1668.0,19.0,69.0,2.0,876.0,723.0,9.0,147.0,6.0,55542.0,4904.0,Cuba,North America,,,0.0,,,
3,2020-05-05,1685.0,-1.0,69.0,-1.0,954.0,662.0,8.0,149.0,6.0,57711.0,5095.0,Cuba,North America,,,0.0,,,
4,2020-05-06,1703.0,18.0,69.0,-1.0,1001.0,633.0,8.0,150.0,6.0,57711.0,5095.0,Cuba,North America,,,0.0,,,
5,2020-05-07,1729.0,26.0,73.0,4.0,1031.0,625.0,8.0,153.0,6.0,61613.0,5440.0,Cuba,North America,,,0.0,,,
6,2020-05-08,1741.0,-1.0,74.0,-1.0,1078.0,589.0,8.0,154.0,7.0,63560.0,5612.0,Cuba,North America,,,0.0,,,
7,2020-05-09,1754.0,-1.0,74.0,-1.0,1140.0,540.0,8.0,155.0,7.0,63560.0,5612.0,Cuba,North America,,,0.0,,,
8,2020-05-10,1754.0,-1.0,74.0,-1.0,1140.0,540.0,8.0,155.0,7.0,63560.0,5612.0,Cuba,North America,,,0.0,,,
9,2020-05-11,1783.0,17.0,77.0,-1.0,1229.0,477.0,7.0,157.0,7.0,69182.0,6108.0,Cuba,North America,,,0.0,,,
10,2020-05-12,1804.0,21.0,78.0,1.0,1277.0,449.0,4.0,159.0,7.0,71157.0,6282.0,Cuba,North America,,,0.0,,,
11,2020-05-13,1810.0,6.0,79.0,1.0,1326.0,405.0,7.0,160.0,7.0,73129.0,6456.0,Cuba,North America,,,0.0,,,
12,2020-05-14,1830.0,20.0,79.0,-1.0,1383.0,368.0,9.0,162.0,7.0,75142.0,6634.0,Cuba,North America,,,0.0,,,
13,2020-05-15,1840.0,10.0,79.0,-1.0,1425.0,336.0,9.0,162.0,7.0,77374.0,6831.0,Cuba,North America,80.0,11327480.0,0.0,,,
14,2020-05-16,1862.0,22.0,79.0,-1.0,1460.0,323.0,7.0,164.0,7.0,79834.0,7048.0,Cuba,North America,80.0,11327461.0,0.0,,,
15,2020-05-17,1872.0,10.0,79.0,-1.0,1495.0,298.0,10.0,165.0,7.0,81917.0,7232.0,Cuba,North America,80.0,11327442.0,0.0,,,
16,2020-05-18,1881.0,9.0,79.0,-1.0,1505.0,297.0,9.0,166.0,7.0,83868.0,7404.0,Cuba,North America,81.0,11327423.0,0.0,,,
17,2020-05-19,1887.0,6.0,79.0,-1.0,1538.0,270.0,8.0,167.0,7.0,85556.0,7553.0,Cuba,North America,82.0,11327404.0,0.0,,,
18,2020-05-20,1900.0,13.0,79.0,-1.0,1573.0,248.0,8.0,168.0,7.0,87288.0,7706.0,Cuba,North America,82.0,11327386.0,0.0,,,
19,2020-05-21,1908.0,8.0,80.0,1.0,1603.0,225.0,5.0,168.0,7.0,89031.0,7860.0,Cuba,North America,83.0,11327367.0,0.0,,,
20,2020-05-22,1916.0,8.0,81.0,1.0,1631.0,204.0,4.0,169.0,7.0,90911.0,8026.0,Cuba,North America,85.0,11327348.0,0.0,,,
21,2020-05-23,1931.0,15.0,81.0,-1.0,1671.0,179.0,4.0,170.0,7.0,92629.0,8177.0,Cuba,North America,85.0,11327329.0,0.0,,,
22,2020-05-24,1941.0,10.0,82.0,1.0,1689.0,170.0,3.0,171.0,7.0,94060.0,8304.0,Cuba,North America,85.0,11327310.0,0.0,,,
23,2020-05-25,1947.0,6.0,82.0,-1.0,1704.0,161.0,3.0,172.0,7.0,94060.0,8304.0,Cuba,North America,86.0,11327291.0,0.0,,,
24,2020-05-26,1963.0,16.0,82.0,-1.0,1709.0,172.0,4.0,173.0,7.0,97003.0,8564.0,Cuba,North America,87.0,11327273.0,0.0,,,
25,2020-05-27,1974.0,-1.0,82.0,-1.0,1724.0,168.0,4.0,174.0,7.0,97003.0,8564.0,Cuba,North America,87.0,11327235.0,0.0,,,
26,2020-05-28,1983.0,9.0,82.0,-1.0,1734.0,167.0,2.0,175.0,7.0,99745.0,8806.0,Cuba,North America,87.0,11327235.0,0.0,,,
27,2020-05-29,2005.0,22.0,82.0,-1.0,1760.0,163.0,3.0,177.0,7.0,101108.0,8926.0,Cuba,North America,87.0,11327216.0,0.0,,,
28,2020-05-30,2025.0,20.0,83.0,1.0,1795.0,147.0,3.0,179.0,7.0,103123.0,9104.0,Cuba,North America,87.0,11327197.0,0.0,,,
29,2020-05-31,2045.0,20.0,83.0,-1.0,1809.0,153.0,3.0,181.0,7.0,103123.0,9104.0,Cuba,North America,87.0,11327179.0,0.0,,,
30,2020-06-01,2083.0,38.0,83.0,-1.0,1826.0,174.0,3.0,184.0,7.0,107037.0,9450.0,Cuba,North America,88.0,11327160.0,0.0,,,
31,2020-06-02,2092.0,9.0,83.0,-1.0,1827.0,182.0,4.0,185.0,7.0,108389.0,9569.0,Cuba,North America,90.0,11327141.0,1.0,5415.0,136472.0,105.0
32,2020-06-03,2107.0,15.0,83.0,-1.0,1830.0,194.0,4.0,186.0,7.0,110349.0,9742.0,Cuba,North America,91.0,11327122.0,3.0,5376.0,136471.0,103.0
33,2020-06-04,2119.0,12.0,83.0,-1.0,1839.0,197.0,4.0,187.0,7.0,112449.0,9927.0,Cuba,North America,91.0,11327103.0,9.0,5345.0,136471.0,101.0
34,2020-06-05,2133.0,14.0,83.0,-1.0,1848.0,202.0,3.0,188.0,7.0,114464.0,10105.0,Cuba,North America,91.0,11327084.0,9.0,5310.0,136471.0,99.0
35,2020-06-06,2173.0,40.0,83.0,-1.0,1855.0,235.0,3.0,192.0,7.0,116468.0,10282.0,Cuba,North America,91.0,11327066.0,7.0,5213.0,136471.0,97.0
36,2020-06-07,2191.0,18.0,83.0,-1.0,1862.0,246.0,3.0,193.0,7.0,118488.0,10461.0,Cuba,North America,92.0,11327047.0,7.0,5170.0,136470.0,96.0
37,2020-06-08,2200.0,9.0,83.0,-1.0,1868.0,249.0,3.0,194.0,7.0,120536.0,10641.0,Cuba,North America,92.0,11327028.0,6.0,5149.0,136470.0,94.0
38,2020-06-09,2205.0,5.0,83.0,-1.0,1880.0,242.0,1.0,195.0,7.0,122603.0,10824.0,Cuba,North America,93.0,11327009.0,12.0,5137.0,136470.0,92.0
39,2020-06-10,2211.0,6.0,83.0,-1.0,1886.0,242.0,1.0,195.0,7.0,124947.0,11031.0,Cuba,North America,94.0,11326990.0,6.0,5123.0,136470.0,91.0
40,2020-06-11,2219.0,8.0,84.0,1.0,1893.0,242.0,1.0,196.0,7.0,127042.0,11216.0,Cuba,North America,94.0,11326971.0,7.0,5105.0,134845.0,89.0
