,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,16.0,-1.0,1.0,-1.0,13.0,2.0,-1.0,98.0,6.0,351.0,2139.0,Curaçao,North America,,,0.0,,,
1,2020-05-03,16.0,-1.0,1.0,-1.0,13.0,2.0,-1.0,98.0,6.0,351.0,2139.0,Curaçao,North America,,,0.0,,,
2,2020-05-04,16.0,-1.0,1.0,-1.0,13.0,2.0,-1.0,98.0,6.0,351.0,2139.0,Curaçao,North America,,,0.0,,,
3,2020-05-05,16.0,-1.0,1.0,-1.0,13.0,2.0,-1.0,98.0,6.0,374.0,2279.0,Curaçao,North America,,,0.0,,,
4,2020-05-06,16.0,-1.0,1.0,-1.0,13.0,2.0,-1.0,98.0,6.0,374.0,2279.0,Curaçao,North America,,,0.0,,,
5,2020-05-07,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2371.0,Curaçao,North America,,,0.0,,,
6,2020-05-08,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2371.0,Curaçao,North America,,,0.0,,,
7,2020-05-09,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2371.0,Curaçao,North America,,,0.0,,,
8,2020-05-10,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2371.0,Curaçao,North America,,,0.0,,,
9,2020-05-11,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2371.0,Curaçao,North America,,,0.0,,,
10,2020-05-12,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2371.0,Curaçao,North America,,,0.0,,,
11,2020-05-13,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2371.0,Curaçao,North America,,,0.0,,,
12,2020-05-14,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2371.0,Curaçao,North America,,,0.0,,,
13,2020-05-15,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2372.0,Curaçao,North America,193.0,164007.0,0.0,,,
14,2020-05-16,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2372.0,Curaçao,North America,193.0,164009.0,0.0,,,
15,2020-05-17,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2372.0,Curaçao,North America,194.0,164011.0,0.0,,,
16,2020-05-18,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2372.0,Curaçao,North America,194.0,164013.0,0.0,,,
17,2020-05-19,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,389.0,2372.0,Curaçao,North America,194.0,164015.0,0.0,,,
18,2020-05-20,16.0,-1.0,1.0,-1.0,14.0,1.0,-1.0,98.0,6.0,485.0,2957.0,Curaçao,North America,195.0,164017.0,0.0,,,
