,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,864.0,7.0,15.0,-1.0,296.0,553.0,15.0,716.0,12.0,62267.0,51573.0,Cyprus,Asia,,,0.0,,,
1,2020-05-03,872.0,8.0,15.0,-1.0,296.0,561.0,15.0,722.0,12.0,62267.0,51573.0,Cyprus,Asia,,,0.0,,,
2,2020-05-04,874.0,2.0,15.0,-1.0,296.0,563.0,15.0,724.0,12.0,65725.0,54437.0,Cyprus,Asia,,,0.0,,,
3,2020-05-05,878.0,-1.0,15.0,-1.0,296.0,567.0,15.0,727.0,12.0,66975.0,55472.0,Cyprus,Asia,,,0.0,,,
4,2020-05-06,883.0,5.0,15.0,-1.0,296.0,572.0,15.0,731.0,12.0,66975.0,55472.0,Cyprus,Asia,,,0.0,,,
5,2020-05-07,889.0,6.0,15.0,-1.0,400.0,474.0,15.0,736.0,12.0,70811.0,58649.0,Cyprus,Asia,,,0.0,,,
6,2020-05-08,891.0,-1.0,15.0,-1.0,400.0,476.0,10.0,738.0,12.0,72768.0,60270.0,Cyprus,Asia,,,0.0,,,
7,2020-05-09,892.0,-1.0,15.0,-1.0,401.0,476.0,10.0,739.0,12.0,74746.0,61909.0,Cyprus,Asia,,,0.0,,,
8,2020-05-10,898.0,6.0,16.0,1.0,401.0,481.0,10.0,744.0,13.0,76139.0,63062.0,Cyprus,Asia,,,0.0,,,
9,2020-05-11,901.0,3.0,16.0,-1.0,401.0,484.0,10.0,746.0,13.0,76139.0,63062.0,Cyprus,Asia,,,0.0,,,
10,2020-05-12,903.0,2.0,16.0,-1.0,449.0,438.0,10.0,748.0,13.0,78338.0,64884.0,Cyprus,Asia,,,0.0,,,
11,2020-05-13,905.0,2.0,16.0,-1.0,449.0,440.0,10.0,750.0,13.0,78338.0,64884.0,Cyprus,Asia,,,0.0,,,
12,2020-05-14,907.0,2.0,17.0,-1.0,481.0,409.0,10.0,751.0,14.0,81942.0,67869.0,Cyprus,Asia,,,0.0,,,
13,2020-05-15,910.0,3.0,17.0,-1.0,481.0,412.0,10.0,754.0,14.0,81942.0,67933.0,Cyprus,Asia,104.0,1206224.0,0.0,,,
14,2020-05-16,914.0,4.0,17.0,-1.0,515.0,382.0,10.0,758.0,14.0,85301.0,70716.0,Cyprus,Asia,103.0,1206248.0,0.0,,,
15,2020-05-17,916.0,2.0,17.0,-1.0,515.0,384.0,10.0,759.0,14.0,87549.0,72578.0,Cyprus,Asia,104.0,1206272.0,0.0,,,
16,2020-05-18,917.0,1.0,17.0,-1.0,515.0,385.0,10.0,760.0,14.0,87549.0,72577.0,Cyprus,Asia,105.0,1206296.0,0.0,,,
17,2020-05-19,918.0,1.0,17.0,-1.0,515.0,386.0,10.0,761.0,14.0,87549.0,72575.0,Cyprus,Asia,106.0,1206320.0,0.0,,,
18,2020-05-20,922.0,4.0,17.0,-1.0,516.0,389.0,10.0,764.0,14.0,90718.0,75201.0,Cyprus,Asia,107.0,1206344.0,0.0,,,
19,2020-05-21,923.0,1.0,17.0,-1.0,561.0,345.0,10.0,765.0,14.0,95349.0,79038.0,Cyprus,Asia,108.0,1206368.0,0.0,,,
20,2020-05-22,927.0,4.0,17.0,-1.0,561.0,349.0,10.0,768.0,14.0,95349.0,79036.0,Cyprus,Asia,108.0,1206392.0,0.0,,,
21,2020-05-23,927.0,-1.0,17.0,-1.0,594.0,316.0,10.0,768.0,14.0,99733.0,82669.0,Cyprus,Asia,110.0,1206416.0,0.0,,,
22,2020-05-24,935.0,8.0,17.0,-1.0,594.0,324.0,10.0,775.0,14.0,99733.0,82667.0,Cyprus,Asia,110.0,1206440.0,0.0,,,
23,2020-05-25,937.0,2.0,17.0,-1.0,594.0,326.0,10.0,777.0,14.0,99733.0,82666.0,Cyprus,Asia,112.0,1206464.0,0.0,,,
24,2020-05-26,939.0,2.0,17.0,-1.0,594.0,328.0,10.0,778.0,14.0,103814.0,86046.0,Cyprus,Asia,112.0,1206488.0,0.0,,,
25,2020-05-27,939.0,-1.0,17.0,-1.0,594.0,328.0,4.0,778.0,14.0,106028.0,87878.0,Cyprus,Asia,114.0,1206536.0,0.0,,,
26,2020-05-28,941.0,2.0,17.0,-1.0,784.0,140.0,4.0,780.0,14.0,111270.0,92223.0,Cyprus,Asia,115.0,1206536.0,0.0,,,
27,2020-05-29,942.0,1.0,17.0,-1.0,784.0,141.0,4.0,781.0,14.0,111270.0,92221.0,Cyprus,Asia,116.0,1206560.0,0.0,,,
28,2020-05-30,944.0,2.0,17.0,-1.0,790.0,137.0,4.0,782.0,14.0,115694.0,95886.0,Cyprus,Asia,118.0,1206584.0,0.0,,,
29,2020-05-31,944.0,1.0,17.0,-1.0,790.0,137.0,4.0,782.0,14.0,117411.0,97307.0,Cyprus,Asia,118.0,1206608.0,0.0,,,
30,2020-06-01,949.0,5.0,17.0,-1.0,790.0,142.0,4.0,786.0,14.0,117411.0,97305.0,Cyprus,Asia,118.0,1206632.0,0.0,,,
31,2020-06-02,952.0,3.0,17.0,-1.0,790.0,145.0,4.0,789.0,14.0,117411.0,97303.0,Cyprus,Asia,119.0,1206656.0,-1.0,1267.0,70980.0,10.0
32,2020-06-03,958.0,6.0,17.0,-1.0,790.0,151.0,4.0,794.0,14.0,117411.0,97301.0,Cyprus,Asia,119.0,1206680.0,-1.0,1260.0,70981.0,10.0
33,2020-06-04,958.0,-1.0,17.0,-1.0,790.0,151.0,4.0,794.0,14.0,123316.0,102192.0,Cyprus,Asia,119.0,1206704.0,-1.0,1260.0,70983.0,10.0
34,2020-06-05,960.0,2.0,17.0,-1.0,807.0,136.0,4.0,796.0,14.0,125312.0,103844.0,Cyprus,Asia,120.0,1206728.0,17.0,1257.0,70984.0,10.0
35,2020-06-06,960.0,-1.0,18.0,1.0,807.0,135.0,4.0,796.0,15.0,125312.0,103842.0,Cyprus,Asia,120.0,1206752.0,-1.0,1257.0,67042.0,10.0
36,2020-06-07,964.0,4.0,18.0,-1.0,807.0,139.0,4.0,799.0,15.0,125312.0,103840.0,Cyprus,Asia,122.0,1206776.0,-1.0,1252.0,67043.0,10.0
37,2020-06-08,970.0,6.0,18.0,-1.0,807.0,145.0,4.0,804.0,15.0,125312.0,103838.0,Cyprus,Asia,122.0,1206800.0,-1.0,1244.0,67044.0,10.0
38,2020-06-09,972.0,2.0,18.0,-1.0,807.0,147.0,4.0,805.0,15.0,125312.0,103836.0,Cyprus,Asia,122.0,1206824.0,-1.0,1242.0,67046.0,10.0
39,2020-06-10,972.0,-1.0,18.0,-1.0,807.0,147.0,4.0,805.0,15.0,133337.0,110484.0,Cyprus,Asia,122.0,1206847.0,-1.0,1242.0,67047.0,9.0
40,2020-06-11,975.0,1.0,18.0,-1.0,807.0,150.0,4.0,808.0,15.0,134706.0,111616.0,Cyprus,Asia,121.0,1206871.0,-1.0,1238.0,67048.0,9.0
41,2020-06-12,980.0,5.0,18.0,-1.0,807.0,155.0,4.0,812.0,15.0,134706.0,111614.0,Cyprus,Asia,122.0,1206895.0,-1.0,1232.0,67050.0,9.0
42,2020-06-13,980.0,-1.0,18.0,-1.0,807.0,155.0,4.0,812.0,15.0,134706.0,111611.0,Cyprus,Asia,122.0,1206919.0,-1.0,1232.0,67051.0,9.0
43,2020-06-14,980.0,-1.0,18.0,-1.0,807.0,155.0,4.0,812.0,15.0,140126.0,116100.0,Cyprus,Asia,123.0,1206943.0,-1.0,1232.0,67052.0,9.0
