,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,7750.0,13.0,245.0,5.0,3446.0,4059.0,67.0,724.0,23.0,253826.0,23702.0,Czechia,Europe,,,0.0,,,
1,2020-05-03,7781.0,26.0,248.0,3.0,3587.0,3946.0,62.0,727.0,23.0,257678.0,24062.0,Czechia,Europe,,,0.0,,,
2,2020-05-04,7819.0,38.0,252.0,4.0,3807.0,3760.0,58.0,730.0,24.0,261548.0,24423.0,Czechia,Europe,,,0.0,,,
3,2020-05-05,7896.0,-1.0,257.0,-1.0,4006.0,3633.0,59.0,737.0,24.0,269093.0,25128.0,Czechia,Europe,,,0.0,,,
4,2020-05-06,7933.0,37.0,262.0,5.0,4202.0,3469.0,59.0,741.0,24.0,278519.0,26008.0,Czechia,Europe,,,0.0,,,
5,2020-05-07,8031.0,57.0,270.0,8.0,4371.0,3390.0,52.0,750.0,25.0,286821.0,26783.0,Czechia,Europe,,,0.0,,,
6,2020-05-08,8077.0,-1.0,273.0,-1.0,4413.0,3391.0,258.0,754.0,25.0,293992.0,27453.0,Czechia,Europe,,,0.0,,,
7,2020-05-09,8095.0,-1.0,276.0,-1.0,4447.0,3372.0,47.0,756.0,26.0,298649.0,27888.0,Czechia,Europe,,,0.0,,,
8,2020-05-10,8106.0,11.0,279.0,3.0,4466.0,3361.0,40.0,757.0,26.0,302493.0,28247.0,Czechia,Europe,,,0.0,,,
9,2020-05-11,8157.0,34.0,281.0,1.0,4695.0,3181.0,40.0,762.0,26.0,306409.0,28612.0,Czechia,Europe,,,0.0,,,
10,2020-05-12,8198.0,22.0,283.0,1.0,4865.0,3050.0,42.0,766.0,26.0,314138.0,29334.0,Czechia,Europe,,,0.0,,,
11,2020-05-13,8240.0,42.0,288.0,5.0,5043.0,2909.0,43.0,769.0,27.0,326954.0,30531.0,Czechia,Europe,,,0.0,,,
12,2020-05-14,8330.0,61.0,292.0,2.0,5227.0,2811.0,42.0,778.0,27.0,334714.0,31255.0,Czechia,Europe,,,0.0,,,
13,2020-05-15,8374.0,23.0,295.0,2.0,5379.0,2700.0,37.0,782.0,28.0,342131.0,31956.0,Czechia,Europe,47.0,10706473.0,0.0,,,
14,2020-05-16,8436.0,30.0,296.0,1.0,5422.0,2718.0,39.0,788.0,28.0,348849.0,32583.0,Czechia,Europe,47.0,10706527.0,0.0,,,
15,2020-05-17,8460.0,5.0,298.0,2.0,5435.0,2727.0,39.0,790.0,28.0,353186.0,32988.0,Czechia,Europe,47.0,10706582.0,0.0,,,
16,2020-05-18,8527.0,52.0,298.0,-1.0,5633.0,2596.0,36.0,796.0,28.0,356515.0,33299.0,Czechia,Europe,47.0,10706636.0,0.0,,,
17,2020-05-19,8630.0,44.0,302.0,5.0,5725.0,2603.0,33.0,806.0,28.0,363963.0,33994.0,Czechia,Europe,47.0,10706690.0,0.0,,,
18,2020-05-20,8698.0,51.0,304.0,2.0,5818.0,2576.0,36.0,812.0,28.0,372341.0,34776.0,Czechia,Europe,48.0,10706744.0,0.0,,,
19,2020-05-21,8743.0,22.0,306.0,2.0,5922.0,2515.0,36.0,817.0,29.0,379750.0,35468.0,Czechia,Europe,48.0,10706798.0,0.0,,,
20,2020-05-22,8770.0,16.0,312.0,6.0,6019.0,2439.0,29.0,819.0,29.0,387127.0,36157.0,Czechia,Europe,49.0,10706852.0,0.0,,,
21,2020-05-23,8853.0,40.0,314.0,2.0,6038.0,2501.0,29.0,827.0,29.0,394499.0,36845.0,Czechia,Europe,49.0,10706906.0,0.0,,,
22,2020-05-24,8932.0,42.0,315.0,1.0,6063.0,2554.0,29.0,834.0,29.0,399896.0,37349.0,Czechia,Europe,50.0,10706960.0,0.0,,,
23,2020-05-25,8972.0,17.0,317.0,2.0,6180.0,2475.0,24.0,838.0,30.0,403358.0,37672.0,Czechia,Europe,50.0,10707014.0,0.0,,,
24,2020-05-26,9034.0,32.0,317.0,-1.0,6263.0,2454.0,24.0,844.0,30.0,403358.0,37672.0,Czechia,Europe,50.0,10707069.0,0.0,,,
25,2020-05-27,9086.0,-1.0,317.0,-1.0,6370.0,2399.0,18.0,849.0,30.0,417422.0,38985.0,Czechia,Europe,51.0,10707177.0,0.0,,,
26,2020-05-28,9134.0,48.0,318.0,1.0,6457.0,2359.0,21.0,853.0,30.0,424423.0,39639.0,Czechia,Europe,51.0,10707177.0,0.0,,,
27,2020-05-29,9180.0,40.0,319.0,-1.0,6498.0,2363.0,19.0,857.0,30.0,430564.0,40212.0,Czechia,Europe,52.0,10707231.0,0.0,,,
28,2020-05-30,9226.0,30.0,319.0,-1.0,6532.0,2375.0,19.0,862.0,30.0,436372.0,40755.0,Czechia,Europe,54.0,10707285.0,0.0,,,
29,2020-05-31,9257.0,27.0,320.0,1.0,6551.0,2386.0,15.0,865.0,30.0,439744.0,41069.0,Czechia,Europe,56.0,10707339.0,0.0,,,
30,2020-06-01,9286.0,18.0,321.0,1.0,6642.0,2323.0,15.0,867.0,30.0,442866.0,41361.0,Czechia,Europe,56.0,10707393.0,0.0,,,
31,2020-06-02,9334.0,32.0,323.0,2.0,6681.0,2330.0,17.0,872.0,30.0,447957.0,41836.0,Czechia,Europe,56.0,10707447.0,39.0,1147.0,33150.0,24.0
32,2020-06-03,9414.0,50.0,325.0,2.0,6748.0,2341.0,12.0,879.0,30.0,454397.0,42437.0,Czechia,Europe,56.0,10707502.0,62.0,1137.0,32946.0,24.0
33,2020-06-04,9478.0,40.0,325.0,1.0,6808.0,2345.0,12.0,885.0,30.0,459448.0,42909.0,Czechia,Europe,56.0,10707556.0,59.0,1130.0,32946.0,23.0
34,2020-06-05,9520.0,26.0,327.0,1.0,6880.0,2313.0,12.0,889.0,31.0,459448.0,42909.0,Czechia,Europe,57.0,10707610.0,71.0,1125.0,32745.0,23.0
35,2020-06-06,9546.0,17.0,327.0,-1.0,6884.0,2335.0,12.0,892.0,31.0,468375.0,43742.0,Czechia,Europe,57.0,10707664.0,3.0,1122.0,32745.0,23.0
36,2020-06-07,9609.0,42.0,327.0,-1.0,6890.0,2392.0,12.0,897.0,31.0,471521.0,44036.0,Czechia,Europe,59.0,10707718.0,5.0,1114.0,32745.0,23.0
37,2020-06-08,9670.0,42.0,328.0,1.0,6979.0,2363.0,9.0,903.0,31.0,473747.0,44243.0,Czechia,Europe,59.0,10707772.0,88.0,1107.0,32646.0,23.0
38,2020-06-09,9728.0,31.0,328.0,-1.0,7052.0,2348.0,11.0,908.0,31.0,478825.0,44717.0,Czechia,Europe,59.0,10707826.0,58.0,1101.0,32646.0,22.0
39,2020-06-10,9787.0,36.0,330.0,2.0,7111.0,2346.0,11.0,914.0,31.0,478825.0,44717.0,Czechia,Europe,59.0,10707880.0,58.0,1094.0,32448.0,22.0
40,2020-06-11,9855.0,31.0,328.0,-1.0,7166.0,2361.0,10.0,920.0,31.0,487334.0,45511.0,Czechia,Europe,59.0,10707935.0,55.0,1087.0,32646.0,22.0
41,2020-06-12,9887.0,32.0,329.0,1.0,7170.0,2388.0,14.0,923.0,31.0,491193.0,45872.0,Czechia,Europe,59.0,10707989.0,4.0,1083.0,32547.0,22.0
42,2020-06-13,9960.0,22.0,329.0,-1.0,7219.0,2412.0,14.0,930.0,31.0,494805.0,46209.0,Czechia,Europe,59.0,10708043.0,4.0,1075.0,32547.0,22.0
43,2020-06-14,9999.0,8.0,329.0,1.0,7219.0,2451.0,14.0,934.0,31.0,496417.0,46359.0,Czechia,Europe,59.0,10708097.0,-1.0,1071.0,32547.0,22.0
44,2020-06-15,10044.0,20.0,330.0,1.0,7295.0,2419.0,12.0,938.0,31.0,497990.0,46506.0,Czechia,Europe,60.0,10708151.0,69.0,1066.0,32449.0,22.0
45,2020-06-16,10095.0,31.0,331.0,1.0,7358.0,2406.0,12.0,943.0,31.0,501765.0,46858.0,Czechia,Europe,61.0,10708205.0,62.0,1061.0,32351.0,21.0
46,2020-06-17,10154.0,43.0,333.0,2.0,7399.0,2422.0,12.0,948.0,31.0,505272.0,47185.0,Czechia,Europe,61.0,10708259.0,41.0,1055.0,32157.0,21.0
47,2020-06-18,10230.0,68.0,334.0,1.0,7436.0,2460.0,12.0,955.0,31.0,509314.0,47562.0,Czechia,Europe,62.0,10708313.0,37.0,1047.0,32061.0,21.0
48,2020-06-19,10361.0,81.0,335.0,1.0,7472.0,2554.0,9.0,968.0,31.0,513979.0,47998.0,Czechia,Europe,63.0,10708367.0,32.0,1034.0,31965.0,21.0
49,2020-06-20,10448.0,42.0,336.0,1.0,7477.0,2635.0,9.0,976.0,31.0,517283.0,48306.0,Czechia,Europe,63.0,10708476.0,4.0,1025.0,31870.0,21.0
