,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,9407.0,96.0,475.0,15.0,6889.0,2043.0,60.0,1624.0,82.0,221912.0,38312.0,Denmark,Europe,,,0.0,,,
1,2020-05-03,9523.0,116.0,484.0,9.0,6987.0,2052.0,62.0,1644.0,84.0,233799.0,40364.0,Denmark,Europe,,,0.0,,,
2,2020-05-04,9670.0,147.0,493.0,9.0,7088.0,2089.0,57.0,1669.0,85.0,244791.0,42262.0,Denmark,Europe,,,0.0,,,
3,2020-05-05,9821.0,-1.0,503.0,-1.0,7296.0,2022.0,49.0,1696.0,87.0,257738.0,44497.0,Denmark,Europe,,,0.0,,,
4,2020-05-06,9938.0,117.0,506.0,3.0,7493.0,1939.0,46.0,1716.0,87.0,270680.0,46732.0,Denmark,Europe,,,0.0,,,
5,2020-05-07,10083.0,145.0,514.0,8.0,7711.0,1858.0,43.0,1741.0,89.0,284480.0,49114.0,Denmark,Europe,,,0.0,,,
6,2020-05-08,10218.0,-1.0,522.0,-1.0,7927.0,1769.0,43.0,1764.0,90.0,298488.0,51533.0,Denmark,Europe,,,0.0,,,
7,2020-05-09,10319.0,-1.0,526.0,-1.0,8093.0,1700.0,39.0,1782.0,91.0,308984.0,53345.0,Denmark,Europe,,,0.0,,,
8,2020-05-10,10429.0,110.0,529.0,3.0,8217.0,1683.0,40.0,1801.0,91.0,317834.0,54873.0,Denmark,Europe,,,0.0,,,
9,2020-05-11,10513.0,84.0,533.0,4.0,8328.0,1652.0,43.0,1815.0,92.0,326560.0,56379.0,Denmark,Europe,,,0.0,,,
10,2020-05-12,10591.0,78.0,527.0,-1.0,8580.0,1484.0,43.0,1828.0,91.0,334260.0,57709.0,Denmark,Europe,,,0.0,,,
11,2020-05-13,10667.0,76.0,533.0,6.0,8663.0,1471.0,37.0,1842.0,92.0,345712.0,59686.0,Denmark,Europe,,,0.0,,,
12,2020-05-14,10713.0,46.0,537.0,4.0,8805.0,1371.0,35.0,1850.0,93.0,357986.0,61805.0,Denmark,Europe,,,0.0,,,
13,2020-05-15,10791.0,78.0,537.0,-1.0,8959.0,1295.0,32.0,1864.0,93.0,368889.0,63716.0,Denmark,Europe,44.0,5789609.0,0.0,,,
14,2020-05-16,10858.0,67.0,543.0,6.0,9107.0,1208.0,28.0,1875.0,94.0,444562.0,76785.0,Denmark,Europe,44.0,5789665.0,0.0,,,
15,2020-05-17,10927.0,69.0,547.0,4.0,9227.0,1153.0,27.0,1887.0,94.0,455613.0,78693.0,Denmark,Europe,44.0,5789720.0,0.0,,,
16,2020-05-18,10968.0,41.0,548.0,1.0,9301.0,1119.0,26.0,1894.0,95.0,463016.0,79971.0,Denmark,Europe,44.0,5789776.0,0.0,,,
17,2020-05-19,11044.0,76.0,551.0,3.0,9416.0,1077.0,25.0,1907.0,95.0,475096.0,82057.0,Denmark,Europe,44.0,5789832.0,0.0,,,
18,2020-05-20,11117.0,73.0,554.0,3.0,9536.0,1027.0,25.0,1920.0,96.0,490782.0,84765.0,Denmark,Europe,43.0,5789887.0,0.0,,,
