,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1112.0,15.0,2.0,-1.0,686.0,424.0,-1.0,1126.0,2.0,13856.0,14024.0,Djibouti,Africa,,,0.0,,,
1,2020-05-03,1112.0,-1.0,2.0,-1.0,686.0,424.0,-1.0,1126.0,2.0,13856.0,14024.0,Djibouti,Africa,,,0.0,,,
2,2020-05-04,1116.0,4.0,2.0,-1.0,713.0,401.0,-1.0,1130.0,2.0,14222.0,14395.0,Djibouti,Africa,,,0.0,,,
3,2020-05-05,1120.0,-1.0,2.0,-1.0,745.0,373.0,-1.0,1134.0,2.0,14378.0,14553.0,Djibouti,Africa,,,0.0,,,
4,2020-05-06,1120.0,-1.0,2.0,-1.0,745.0,373.0,-1.0,1134.0,2.0,14378.0,14553.0,Djibouti,Africa,,,0.0,,,
5,2020-05-07,1133.0,9.0,3.0,-1.0,799.0,331.0,-1.0,1147.0,3.0,14751.0,14930.0,Djibouti,Africa,,,0.0,,,
6,2020-05-08,1135.0,-1.0,3.0,-1.0,824.0,308.0,-1.0,1149.0,3.0,14857.0,15037.0,Djibouti,Africa,,,0.0,,,
7,2020-05-09,1189.0,-1.0,3.0,-1.0,834.0,352.0,-1.0,1203.0,3.0,15056.0,15239.0,Djibouti,Africa,,,0.0,,,
8,2020-05-10,1189.0,-1.0,3.0,-1.0,834.0,352.0,-1.0,1203.0,3.0,15056.0,15239.0,Djibouti,Africa,,,0.0,,,
9,2020-05-11,1210.0,-1.0,3.0,-1.0,847.0,360.0,-1.0,1225.0,3.0,15304.0,15490.0,Djibouti,Africa,,,0.0,,,
10,2020-05-12,1227.0,-1.0,3.0,-1.0,872.0,352.0,-1.0,1242.0,3.0,15790.0,15982.0,Djibouti,Africa,,,0.0,,,
11,2020-05-13,1268.0,12.0,3.0,-1.0,900.0,365.0,-1.0,1283.0,3.0,16424.0,16623.0,Djibouti,Africa,,,0.0,,,
12,2020-05-14,1284.0,16.0,3.0,-1.0,905.0,376.0,-1.0,1300.0,3.0,16647.0,16849.0,Djibouti,Africa,,,0.0,,,
13,2020-05-15,1309.0,25.0,4.0,1.0,935.0,370.0,-1.0,1327.0,4.0,16878.0,17116.0,Djibouti,Africa,89.0,986088.0,0.0,,,
14,2020-05-16,1331.0,22.0,4.0,-1.0,950.0,377.0,-1.0,1350.0,4.0,17106.0,17347.0,Djibouti,Africa,91.0,986127.0,0.0,,,
