,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,16.0,-1.0,-1.0,-1.0,13.0,3.0,-1.0,222.0,-1.0,383.0,5320.0,Dominica,North America,,,0.0,,,
1,2020-05-03,16.0,-1.0,-1.0,-1.0,13.0,3.0,-1.0,222.0,-1.0,383.0,5320.0,Dominica,North America,,,0.0,,,
2,2020-05-04,16.0,-1.0,-1.0,-1.0,13.0,3.0,-1.0,222.0,-1.0,383.0,5320.0,Dominica,North America,,,0.0,,,
3,2020-05-05,16.0,-1.0,-1.0,-1.0,14.0,2.0,-1.0,222.0,-1.0,416.0,5779.0,Dominica,North America,,,0.0,,,
4,2020-05-06,16.0,-1.0,-1.0,-1.0,14.0,2.0,-1.0,222.0,-1.0,416.0,5779.0,Dominica,North America,,,0.0,,,
5,2020-05-07,16.0,-1.0,-1.0,-1.0,14.0,2.0,-1.0,222.0,-1.0,416.0,5779.0,Dominica,North America,,,0.0,,,
6,2020-05-08,16.0,-1.0,-1.0,-1.0,14.0,2.0,-1.0,222.0,-1.0,416.0,5779.0,Dominica,North America,,,0.0,,,
7,2020-05-09,16.0,-1.0,-1.0,-1.0,14.0,2.0,-1.0,222.0,-1.0,416.0,5779.0,Dominica,North America,,,0.0,,,
8,2020-05-10,16.0,-1.0,-1.0,-1.0,14.0,2.0,-1.0,222.0,-1.0,416.0,5779.0,Dominica,North America,,,0.0,,,
9,2020-05-11,16.0,-1.0,-1.0,-1.0,15.0,1.0,-1.0,222.0,-1.0,420.0,5834.0,Dominica,North America,,,0.0,,,
10,2020-05-12,16.0,-1.0,-1.0,-1.0,15.0,1.0,-1.0,222.0,-1.0,420.0,5834.0,Dominica,North America,,,0.0,,,
11,2020-05-13,16.0,-1.0,-1.0,-1.0,15.0,1.0,-1.0,222.0,-1.0,420.0,5834.0,Dominica,North America,,,0.0,,,
12,2020-05-14,16.0,-1.0,-1.0,-1.0,15.0,1.0,-1.0,222.0,-1.0,420.0,5834.0,Dominica,North America,,,0.0,,,
13,2020-05-15,16.0,-1.0,-1.0,-1.0,15.0,1.0,-1.0,222.0,-1.0,420.0,5836.0,Dominica,North America,194.0,71963.0,0.0,,,
14,2020-05-16,16.0,-1.0,-1.0,-1.0,15.0,1.0,-1.0,222.0,-1.0,420.0,5836.0,Dominica,North America,194.0,71964.0,0.0,,,
15,2020-05-17,16.0,-1.0,-1.0,-1.0,15.0,1.0,-1.0,222.0,-1.0,420.0,5836.0,Dominica,North America,195.0,71964.0,0.0,,,
16,2020-05-18,16.0,-1.0,-1.0,-1.0,16.0,0.0,-1.0,222.0,-1.0,433.0,6017.0,Dominica,North America,195.0,71965.0,0.0,,,
17,2020-05-19,16.0,-1.0,-1.0,-1.0,16.0,0.0,-1.0,222.0,-1.0,433.0,6017.0,Dominica,North America,195.0,71965.0,0.0,,,
18,2020-05-20,16.0,-1.0,-1.0,-1.0,16.0,0.0,-1.0,222.0,-1.0,433.0,6017.0,Dominica,North America,196.0,71966.0,0.0,,,
19,2020-05-21,16.0,-1.0,-1.0,-1.0,16.0,0.0,-1.0,222.0,-1.0,433.0,6017.0,Dominica,North America,197.0,71966.0,0.0,,,
