,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,7578.0,290.0,326.0,13.0,1481.0,5771.0,144.0,699.0,30.0,30102.0,2775.0,Dominican Republic,North America,,,0.0,,,
1,2020-05-03,7954.0,376.0,333.0,7.0,1606.0,6015.0,144.0,733.0,31.0,30102.0,2775.0,Dominican Republic,North America,,,0.0,,,
2,2020-05-04,8235.0,281.0,346.0,13.0,1771.0,6118.0,144.0,759.0,32.0,33377.0,3077.0,Dominican Republic,North America,,,0.0,,,
3,2020-05-05,8480.0,-1.0,354.0,-1.0,1905.0,6221.0,144.0,782.0,33.0,33377.0,3077.0,Dominican Republic,North America,,,0.0,,,
4,2020-05-06,8807.0,327.0,362.0,8.0,1905.0,6540.0,144.0,812.0,33.0,33377.0,3077.0,Dominican Republic,North America,,,0.0,,,
5,2020-05-07,9095.0,288.0,373.0,11.0,2064.0,6658.0,133.0,838.0,34.0,36959.0,3407.0,Dominican Republic,North America,,,0.0,,,
6,2020-05-08,9376.0,-1.0,380.0,-1.0,2286.0,6710.0,134.0,864.0,35.0,38543.0,3553.0,Dominican Republic,North America,,,0.0,,,
7,2020-05-09,9882.0,-1.0,385.0,-1.0,2584.0,6913.0,134.0,911.0,35.0,40591.0,3742.0,Dominican Republic,North America,,,0.0,,,
8,2020-05-10,10347.0,465.0,388.0,3.0,2763.0,7196.0,134.0,954.0,36.0,40591.0,3742.0,Dominican Republic,North America,,,0.0,,,
9,2020-05-11,10634.0,287.0,393.0,5.0,2870.0,7371.0,134.0,980.0,36.0,42615.0,3928.0,Dominican Republic,North America,,,0.0,,,
10,2020-05-12,10900.0,266.0,402.0,9.0,3221.0,7277.0,131.0,1005.0,37.0,42615.0,3928.0,Dominican Republic,North America,,,0.0,,,
11,2020-05-13,11196.0,296.0,409.0,7.0,3221.0,7566.0,131.0,1032.0,38.0,42615.0,3928.0,Dominican Republic,North America,,,0.0,,,
12,2020-05-14,11320.0,124.0,422.0,13.0,3351.0,7547.0,131.0,1044.0,39.0,47774.0,4404.0,Dominican Republic,North America,,,0.0,,,
13,2020-05-15,11739.0,419.0,424.0,2.0,3557.0,7758.0,127.0,1084.0,39.0,50108.0,4625.0,Dominican Republic,North America,41.0,10833701.0,0.0,,,
14,2020-05-16,12110.0,371.0,428.0,4.0,3726.0,7956.0,127.0,1118.0,40.0,50108.0,4625.0,Dominican Republic,North America,41.0,10833998.0,0.0,,,
15,2020-05-17,12314.0,204.0,428.0,-1.0,5847.0,6039.0,127.0,1137.0,40.0,50108.0,4625.0,Dominican Republic,North America,41.0,10834295.0,0.0,,,
16,2020-05-18,12725.0,411.0,434.0,6.0,6613.0,5678.0,127.0,1174.0,40.0,50108.0,4625.0,Dominican Republic,North America,41.0,10834592.0,0.0,,,
17,2020-05-19,13223.0,498.0,441.0,7.0,6613.0,6169.0,136.0,1220.0,41.0,50108.0,4625.0,Dominican Republic,North America,41.0,10834889.0,0.0,,,
18,2020-05-20,13477.0,254.0,446.0,5.0,7142.0,5889.0,126.0,1244.0,41.0,59976.0,5535.0,Dominican Republic,North America,41.0,10835186.0,0.0,,,
