,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,27464.0,1128.0,1371.0,308.0,2132.0,23961.0,149.0,1557.0,78.0,73929.0,4190.0,Ecuador,South America,,,0.0,,,
1,2020-05-03,29538.0,2074.0,1564.0,193.0,3300.0,24674.0,149.0,1674.0,89.0,78659.0,4458.0,Ecuador,South America,,,0.0,,,
2,2020-05-04,31881.0,2343.0,1569.0,5.0,3433.0,26879.0,159.0,1807.0,89.0,80171.0,4544.0,Ecuador,South America,,,0.0,,,
3,2020-05-05,31881.0,-1.0,1569.0,-1.0,3433.0,26879.0,159.0,1807.0,89.0,80171.0,4544.0,Ecuador,South America,,,0.0,,,
4,2020-05-06,31881.0,-1.0,1569.0,-1.0,3433.0,26879.0,159.0,1807.0,89.0,80171.0,4544.0,Ecuador,South America,,,0.0,,,
5,2020-05-07,30298.0,878.0,1654.0,36.0,3433.0,25211.0,156.0,1717.0,94.0,83218.0,4717.0,Ecuador,South America,,,0.0,,,
6,2020-05-08,28818.0,-1.0,1704.0,-1.0,3433.0,23681.0,156.0,1633.0,97.0,82312.0,4665.0,Ecuador,South America,,,0.0,,,
7,2020-05-09,29071.0,-1.0,1717.0,-1.0,3433.0,23921.0,181.0,1648.0,97.0,83657.0,4742.0,Ecuador,South America,,,0.0,,,
8,2020-05-10,29559.0,488.0,2127.0,410.0,3433.0,23999.0,181.0,1675.0,121.0,84287.0,4777.0,Ecuador,South America,,,0.0,,,
9,2020-05-11,29559.0,-1.0,2127.0,-1.0,3433.0,23999.0,181.0,1675.0,121.0,84287.0,4777.0,Ecuador,South America,,,0.0,,,
10,2020-05-12,30419.0,910.0,2327.0,182.0,3433.0,24659.0,181.0,1724.0,132.0,85223.0,4830.0,Ecuador,South America,,,0.0,,,
11,2020-05-13,30419.0,-1.0,2327.0,-1.0,3433.0,24659.0,181.0,1724.0,132.0,85223.0,4830.0,Ecuador,South America,,,0.0,,,
12,2020-05-14,30486.0,-1.0,2334.0,-1.0,3433.0,24719.0,190.0,1728.0,132.0,87036.0,4933.0,Ecuador,South America,,,0.0,,,
13,2020-05-15,30502.0,-1.0,2338.0,-1.0,3433.0,24731.0,196.0,1732.0,133.0,88923.0,5050.0,Ecuador,South America,21.0,17607301.0,0.0,,,
