,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,6193.0,298.0,415.0,9.0,1522.0,4256.0,-1.0,61.0,4.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
1,2020-05-03,6465.0,272.0,429.0,14.0,1562.0,4474.0,-1.0,63.0,4.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
2,2020-05-04,6813.0,348.0,436.0,7.0,1632.0,4745.0,-1.0,67.0,4.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
3,2020-05-05,7201.0,-1.0,452.0,-1.0,1730.0,5019.0,-1.0,70.0,4.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
4,2020-05-06,7588.0,387.0,469.0,17.0,1815.0,5304.0,-1.0,74.0,5.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
5,2020-05-07,7981.0,393.0,482.0,13.0,1887.0,5612.0,41.0,78.0,5.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
6,2020-05-08,8476.0,-1.0,503.0,-1.0,1945.0,6028.0,41.0,83.0,5.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
7,2020-05-09,8964.0,-1.0,514.0,-1.0,2002.0,6448.0,41.0,88.0,5.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
8,2020-05-10,9400.0,436.0,525.0,11.0,2075.0,6800.0,41.0,92.0,5.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
9,2020-05-11,9746.0,346.0,533.0,8.0,2172.0,7041.0,41.0,95.0,5.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
10,2020-05-12,10093.0,347.0,544.0,11.0,2326.0,7223.0,41.0,99.0,5.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
11,2020-05-13,10431.0,338.0,556.0,12.0,2486.0,7389.0,41.0,102.0,5.0,90000.0,879.0,Egypt,Africa,,,0.0,,,
12,2020-05-14,10829.0,398.0,571.0,15.0,2626.0,7632.0,41.0,106.0,6.0,105000.0,1026.0,Egypt,Africa,,,0.0,,,
13,2020-05-15,11228.0,399.0,592.0,21.0,2799.0,7837.0,41.0,110.0,6.0,135000.0,1323.0,Egypt,Africa,42.0,102072877.0,0.0,,,
14,2020-05-16,11719.0,491.0,612.0,20.0,2950.0,8157.0,41.0,115.0,6.0,135000.0,1323.0,Egypt,Africa,42.0,102078159.0,0.0,,,
15,2020-05-17,12229.0,510.0,630.0,18.0,3172.0,8427.0,41.0,120.0,6.0,135000.0,1322.0,Egypt,Africa,42.0,102083440.0,0.0,,,
16,2020-05-18,12764.0,535.0,645.0,15.0,3440.0,8679.0,41.0,125.0,6.0,135000.0,1322.0,Egypt,Africa,40.0,102088722.0,0.0,,,
17,2020-05-19,13484.0,720.0,659.0,14.0,3742.0,9083.0,41.0,132.0,6.0,135000.0,1322.0,Egypt,Africa,40.0,102094004.0,0.0,,,
