,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,446.0,22.0,10.0,-1.0,138.0,298.0,2.0,69.0,2.0,26961.0,4157.0,El Salvador,North America,,,0.0,,,
1,2020-05-03,490.0,44.0,11.0,-1.0,154.0,325.0,3.0,76.0,2.0,28596.0,4409.0,El Salvador,North America,,,0.0,,,
2,2020-05-04,555.0,65.0,13.0,2.0,180.0,362.0,3.0,86.0,2.0,30387.0,4685.0,El Salvador,North America,,,0.0,,,
3,2020-05-05,587.0,-1.0,14.0,1.0,205.0,368.0,3.0,90.0,2.0,32030.0,4938.0,El Salvador,North America,,,0.0,,,
4,2020-05-06,633.0,46.0,14.0,1.0,219.0,400.0,4.0,98.0,2.0,33628.0,5185.0,El Salvador,North America,,,0.0,,,
5,2020-05-07,695.0,62.0,15.0,-1.0,245.0,435.0,4.0,107.0,2.0,35411.0,5459.0,El Salvador,North America,,,0.0,,,
6,2020-05-08,742.0,-1.0,16.0,-1.0,257.0,469.0,4.0,114.0,2.0,37306.0,5752.0,El Salvador,North America,,,0.0,,,
7,2020-05-09,784.0,-1.0,17.0,-1.0,276.0,491.0,4.0,121.0,3.0,39079.0,6025.0,El Salvador,North America,,,0.0,,,
8,2020-05-10,889.0,105.0,17.0,-1.0,293.0,579.0,4.0,137.0,3.0,41090.0,6335.0,El Salvador,North America,,,0.0,,,
9,2020-05-11,958.0,69.0,18.0,1.0,325.0,615.0,4.0,148.0,3.0,43043.0,6636.0,El Salvador,North America,,,0.0,,,
10,2020-05-12,998.0,40.0,18.0,-1.0,349.0,631.0,15.0,154.0,3.0,44926.0,6926.0,El Salvador,North America,,,0.0,,,
11,2020-05-13,1037.0,39.0,20.0,-1.0,374.0,643.0,15.0,160.0,3.0,46831.0,7220.0,El Salvador,North America,,,0.0,,,
12,2020-05-14,1112.0,75.0,20.0,-1.0,405.0,687.0,19.0,171.0,3.0,48913.0,7541.0,El Salvador,North America,,,0.0,,,
13,2020-05-15,1210.0,98.0,23.0,-1.0,416.0,771.0,19.0,187.0,4.0,51142.0,7890.0,El Salvador,North America,92.0,6482018.0,0.0,,,
14,2020-05-16,1265.0,55.0,26.0,3.0,441.0,798.0,18.0,195.0,4.0,53412.0,8240.0,El Salvador,North America,94.0,6482107.0,0.0,,,
15,2020-05-17,1338.0,73.0,27.0,1.0,462.0,849.0,23.0,206.0,4.0,55694.0,8592.0,El Salvador,North America,93.0,6482197.0,0.0,,,
16,2020-05-18,1413.0,75.0,30.0,3.0,474.0,909.0,21.0,218.0,5.0,57883.0,8929.0,El Salvador,North America,93.0,6482286.0,0.0,,,
