,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,315.0,-1.0,1.0,-1.0,9.0,305.0,-1.0,225.0,0.7,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
1,2020-05-03,315.0,-1.0,1.0,-1.0,9.0,305.0,-1.0,225.0,0.7,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
2,2020-05-04,315.0,-1.0,3.0,2.0,13.0,299.0,-1.0,225.0,2.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
3,2020-05-05,315.0,-1.0,3.0,-1.0,13.0,299.0,-1.0,225.0,2.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
4,2020-05-06,439.0,124.0,4.0,1.0,13.0,422.0,-1.0,313.0,3.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
5,2020-05-07,439.0,-1.0,4.0,-1.0,13.0,422.0,-1.0,313.0,3.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
6,2020-05-08,439.0,-1.0,4.0,-1.0,13.0,422.0,-1.0,313.0,3.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
7,2020-05-09,439.0,-1.0,4.0,-1.0,13.0,422.0,-1.0,313.0,3.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
8,2020-05-10,439.0,-1.0,4.0,-1.0,13.0,422.0,-1.0,313.0,3.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
9,2020-05-11,439.0,-1.0,4.0,-1.0,13.0,422.0,-1.0,313.0,3.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
10,2020-05-12,439.0,-1.0,4.0,-1.0,13.0,422.0,-1.0,313.0,3.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
11,2020-05-13,522.0,83.0,6.0,2.0,13.0,503.0,-1.0,372.0,4.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
12,2020-05-14,522.0,-1.0,6.0,-1.0,13.0,503.0,-1.0,372.0,4.0,854.0,609.0,Equatorial Guinea,Africa,,,0.0,,,
13,2020-05-15,583.0,-1.0,7.0,-1.0,13.0,563.0,-1.0,418.0,5.0,854.0,612.0,Equatorial Guinea,Africa,119.0,1396368.0,0.0,,,
14,2020-05-16,594.0,-1.0,7.0,-1.0,22.0,565.0,-1.0,425.0,5.0,854.0,612.0,Equatorial Guinea,Africa,119.0,1396494.0,0.0,,,
15,2020-05-17,594.0,-1.0,7.0,-1.0,22.0,565.0,-1.0,425.0,5.0,854.0,611.0,Equatorial Guinea,Africa,119.0,1396621.0,0.0,,,
16,2020-05-18,719.0,125.0,7.0,-1.0,22.0,690.0,-1.0,515.0,5.0,854.0,611.0,Equatorial Guinea,Africa,115.0,1396748.0,0.0,,,
