,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1699.0,5.0,53.0,1.0,256.0,1390.0,7.0,1281.0,40.0,54464.0,41057.0,Estonia,Europe,,,0.0,,,
1,2020-05-03,1700.0,1.0,55.0,2.0,259.0,1386.0,7.0,1282.0,41.0,55206.0,41617.0,Estonia,Europe,,,0.0,,,
2,2020-05-04,1703.0,3.0,55.0,-1.0,259.0,1389.0,6.0,1284.0,41.0,55784.0,42052.0,Estonia,Europe,,,0.0,,,
3,2020-05-05,1711.0,-1.0,55.0,-1.0,261.0,1395.0,6.0,1290.0,41.0,57423.0,43288.0,Estonia,Europe,,,0.0,,,
4,2020-05-06,1713.0,2.0,55.0,-1.0,264.0,1394.0,4.0,1291.0,41.0,58955.0,44443.0,Estonia,Europe,,,0.0,,,
5,2020-05-07,1720.0,7.0,56.0,1.0,273.0,1391.0,4.0,1297.0,42.0,60530.0,45630.0,Estonia,Europe,,,0.0,,,
6,2020-05-08,1725.0,-1.0,56.0,-1.0,704.0,965.0,4.0,1300.0,42.0,61767.0,46563.0,Estonia,Europe,,,0.0,,,
7,2020-05-09,1733.0,-1.0,60.0,-1.0,747.0,926.0,5.0,1306.0,45.0,62720.0,47281.0,Estonia,Europe,,,0.0,,,
8,2020-05-10,1739.0,6.0,60.0,-1.0,750.0,929.0,5.0,1311.0,45.0,63372.0,47773.0,Estonia,Europe,,,0.0,,,
9,2020-05-11,1741.0,2.0,61.0,1.0,751.0,929.0,5.0,1312.0,46.0,63964.0,48219.0,Estonia,Europe,,,0.0,,,
10,2020-05-12,1746.0,5.0,61.0,-1.0,777.0,908.0,5.0,1316.0,46.0,64975.0,48981.0,Estonia,Europe,,,0.0,,,
11,2020-05-13,1751.0,5.0,61.0,-1.0,777.0,913.0,5.0,1320.0,46.0,66102.0,49831.0,Estonia,Europe,,,0.0,,,
12,2020-05-14,1758.0,7.0,62.0,1.0,909.0,787.0,5.0,1325.0,47.0,67130.0,50606.0,Estonia,Europe,,,0.0,,,
13,2020-05-15,1766.0,8.0,63.0,1.0,923.0,780.0,5.0,1331.0,47.0,68097.0,51339.0,Estonia,Europe,82.0,1326423.0,0.0,,,
14,2020-05-16,1770.0,4.0,63.0,-1.0,934.0,773.0,5.0,1334.0,47.0,68840.0,51899.0,Estonia,Europe,82.0,1326425.0,0.0,,,
15,2020-05-17,1774.0,4.0,63.0,-1.0,938.0,773.0,4.0,1337.0,47.0,69520.0,52411.0,Estonia,Europe,83.0,1326428.0,0.0,,,
16,2020-05-18,1784.0,10.0,64.0,1.0,938.0,782.0,4.0,1345.0,48.0,70188.0,52915.0,Estonia,Europe,84.0,1326430.0,0.0,,,
17,2020-05-19,1791.0,7.0,64.0,-1.0,938.0,789.0,4.0,1350.0,48.0,70188.0,52915.0,Estonia,Europe,85.0,1326433.0,0.0,,,
18,2020-05-20,1794.0,3.0,64.0,-1.0,956.0,774.0,2.0,1352.0,48.0,72464.0,54631.0,Estonia,Europe,86.0,1326435.0,0.0,,,
19,2020-05-21,1800.0,6.0,64.0,-1.0,963.0,773.0,2.0,1357.0,48.0,73731.0,55586.0,Estonia,Europe,87.0,1326438.0,0.0,,,
20,2020-05-22,1807.0,7.0,64.0,-1.0,1508.0,235.0,2.0,1362.0,48.0,74604.0,56244.0,Estonia,Europe,86.0,1326440.0,0.0,,,
21,2020-05-23,1821.0,14.0,64.0,-1.0,1526.0,231.0,2.0,1373.0,48.0,75249.0,56730.0,Estonia,Europe,86.0,1326442.0,0.0,,,
22,2020-05-24,1823.0,2.0,64.0,-1.0,1532.0,227.0,1.0,1374.0,48.0,75779.0,57129.0,Estonia,Europe,88.0,1326445.0,0.0,,,
23,2020-05-25,1824.0,1.0,65.0,1.0,1538.0,221.0,1.0,1375.0,49.0,75779.0,57129.0,Estonia,Europe,88.0,1326447.0,0.0,,,
24,2020-05-26,1834.0,10.0,65.0,-1.0,1552.0,217.0,1.0,1383.0,49.0,78085.0,58868.0,Estonia,Europe,88.0,1326450.0,0.0,,,
25,2020-05-27,1840.0,-1.0,66.0,-1.0,1561.0,213.0,-1.0,1387.0,50.0,79605.0,60013.0,Estonia,Europe,88.0,1326455.0,0.0,,,
26,2020-05-28,1851.0,11.0,66.0,-1.0,1574.0,211.0,-1.0,1395.0,50.0,80724.0,60857.0,Estonia,Europe,88.0,1326455.0,0.0,,,
27,2020-05-29,1859.0,8.0,67.0,1.0,1610.0,182.0,-1.0,1401.0,51.0,81719.0,61607.0,Estonia,Europe,88.0,1326457.0,0.0,,,
28,2020-05-30,1865.0,6.0,67.0,-1.0,1622.0,176.0,-1.0,1406.0,51.0,82747.0,62382.0,Estonia,Europe,90.0,1326459.0,0.0,,,
29,2020-05-31,1869.0,4.0,68.0,1.0,1624.0,177.0,-1.0,1409.0,51.0,83440.0,62904.0,Estonia,Europe,90.0,1326462.0,0.0,,,
30,2020-06-01,1870.0,1.0,68.0,-1.0,1625.0,177.0,-1.0,1410.0,51.0,84156.0,63444.0,Estonia,Europe,91.0,1326464.0,0.0,,,
31,2020-06-02,1870.0,-1.0,68.0,-1.0,1632.0,170.0,-1.0,1410.0,51.0,85175.0,64212.0,Estonia,Europe,93.0,1326467.0,7.0,709.0,19507.0,16.0
32,2020-06-03,1880.0,10.0,69.0,1.0,1650.0,161.0,-1.0,1417.0,52.0,86000.0,64834.0,Estonia,Europe,93.0,1326469.0,18.0,706.0,19224.0,15.0
33,2020-06-04,1890.0,10.0,69.0,-1.0,1663.0,158.0,-1.0,1425.0,52.0,87456.0,65931.0,Estonia,Europe,95.0,1326472.0,13.0,702.0,19224.0,15.0
34,2020-06-05,1910.0,20.0,69.0,-1.0,1667.0,174.0,-1.0,1440.0,52.0,88000.0,66341.0,Estonia,Europe,95.0,1326474.0,4.0,694.0,19224.0,15.0
35,2020-06-06,1931.0,21.0,69.0,-1.0,1675.0,187.0,-1.0,1456.0,52.0,89000.0,67095.0,Estonia,Europe,96.0,1326476.0,8.0,687.0,19224.0,15.0
36,2020-06-07,1939.0,8.0,69.0,-1.0,1681.0,189.0,-1.0,1462.0,52.0,90000.0,67849.0,Estonia,Europe,96.0,1326479.0,6.0,684.0,19224.0,15.0
37,2020-06-08,1940.0,1.0,69.0,-1.0,1683.0,188.0,-1.0,1463.0,52.0,90620.0,68316.0,Estonia,Europe,96.0,1326481.0,2.0,684.0,19224.0,15.0
38,2020-06-09,1947.0,7.0,69.0,-1.0,1684.0,194.0,-1.0,1468.0,52.0,91000.0,68602.0,Estonia,Europe,96.0,1326484.0,1.0,681.0,19224.0,15.0
39,2020-06-10,1958.0,11.0,69.0,-1.0,1690.0,199.0,-1.0,1476.0,52.0,92000.0,69356.0,Estonia,Europe,97.0,1326486.0,6.0,677.0,19224.0,14.0
40,2020-06-11,1965.0,7.0,69.0,-1.0,1697.0,199.0,-1.0,1481.0,52.0,93837.0,70741.0,Estonia,Europe,97.0,1326489.0,7.0,675.0,19224.0,14.0
41,2020-06-12,1970.0,5.0,69.0,-1.0,1703.0,198.0,-1.0,1485.0,52.0,94715.0,71403.0,Estonia,Europe,98.0,1326491.0,6.0,673.0,19225.0,14.0
42,2020-06-13,1973.0,3.0,69.0,-1.0,1705.0,199.0,-1.0,1487.0,52.0,95000.0,71617.0,Estonia,Europe,98.0,1326493.0,2.0,672.0,19225.0,14.0
43,2020-06-14,1973.0,-1.0,69.0,-1.0,1705.0,199.0,-1.0,1487.0,52.0,95997.0,72369.0,Estonia,Europe,98.0,1326496.0,-1.0,672.0,19225.0,14.0
44,2020-06-15,1974.0,1.0,69.0,-1.0,1717.0,188.0,-1.0,1488.0,52.0,96638.0,72852.0,Estonia,Europe,98.0,1326498.0,12.0,672.0,19225.0,14.0
45,2020-06-16,1975.0,1.0,69.0,-1.0,1728.0,178.0,-1.0,1489.0,52.0,97701.0,73653.0,Estonia,Europe,99.0,1326501.0,11.0,672.0,19225.0,14.0
46,2020-06-17,1977.0,2.0,69.0,-1.0,1743.0,165.0,-1.0,1490.0,52.0,99000.0,74632.0,Estonia,Europe,99.0,1326503.0,15.0,671.0,19225.0,13.0
47,2020-06-18,1977.0,-1.0,69.0,-1.0,1748.0,160.0,-1.0,1490.0,52.0,100395.0,75684.0,Estonia,Europe,99.0,1326506.0,5.0,671.0,19225.0,13.0
48,2020-06-19,1979.0,2.0,69.0,-1.0,1755.0,155.0,1.0,1492.0,52.0,101748.0,76704.0,Estonia,Europe,100.0,1326508.0,7.0,670.0,19225.0,13.0
49,2020-06-20,1981.0,2.0,69.0,-1.0,1758.0,154.0,1.0,1493.0,52.0,102486.0,77260.0,Estonia,Europe,101.0,1326513.0,3.0,670.0,19225.0,13.0
50,2020-06-21,1981.0,-1.0,69.0,-1.0,1764.0,148.0,1.0,1493.0,52.0,102925.0,77591.0,Estonia,Europe,101.0,1326513.0,6.0,670.0,19225.0,13.0
51,2020-06-22,1981.0,-1.0,69.0,-1.0,1765.0,147.0,1.0,1493.0,52.0,103210.0,77805.0,Estonia,Europe,102.0,1326515.0,1.0,670.0,19225.0,13.0
52,2020-06-23,1982.0,1.0,69.0,-1.0,1771.0,142.0,1.0,1494.0,52.0,103210.0,77805.0,Estonia,Europe,104.0,1326518.0,6.0,669.0,19225.0,13.0
53,2020-06-24,1983.0,1.0,69.0,-1.0,1783.0,131.0,1.0,1495.0,52.0,103950.0,78363.0,Estonia,Europe,105.0,1326520.0,12.0,669.0,19225.0,13.0
54,2020-06-25,1984.0,1.0,69.0,-1.0,1790.0,125.0,1.0,1496.0,52.0,104299.0,78626.0,Estonia,Europe,105.0,1326523.0,7.0,669.0,19225.0,13.0
