,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,108.0,2.0,1.0,-1.0,12.0,95.0,-1.0,93.0,0.9,714.0,615.0,Eswatini,Africa,,,0.0,,,
1,2020-05-03,112.0,4.0,1.0,-1.0,12.0,99.0,-1.0,97.0,0.9,714.0,615.0,Eswatini,Africa,,,0.0,,,
2,2020-05-04,116.0,4.0,1.0,-1.0,12.0,103.0,-1.0,100.0,0.9,714.0,615.0,Eswatini,Africa,,,0.0,,,
3,2020-05-05,119.0,-1.0,1.0,-1.0,12.0,106.0,-1.0,103.0,0.9,714.0,615.0,Eswatini,Africa,,,0.0,,,
4,2020-05-06,123.0,4.0,2.0,1.0,12.0,109.0,-1.0,106.0,2.0,714.0,615.0,Eswatini,Africa,,,0.0,,,
5,2020-05-07,153.0,30.0,2.0,-1.0,12.0,139.0,-1.0,132.0,2.0,714.0,615.0,Eswatini,Africa,,,0.0,,,
6,2020-05-08,159.0,-1.0,2.0,-1.0,12.0,145.0,-1.0,137.0,2.0,714.0,615.0,Eswatini,Africa,,,0.0,,,
7,2020-05-09,163.0,-1.0,2.0,-1.0,14.0,147.0,-1.0,140.0,2.0,714.0,615.0,Eswatini,Africa,,,0.0,,,
8,2020-05-10,163.0,-1.0,2.0,-1.0,14.0,147.0,-1.0,140.0,2.0,714.0,615.0,Eswatini,Africa,,,0.0,,,
9,2020-05-11,175.0,3.0,2.0,-1.0,28.0,145.0,-1.0,151.0,2.0,714.0,615.0,Eswatini,Africa,,,0.0,,,
10,2020-05-12,184.0,9.0,2.0,-1.0,28.0,154.0,-1.0,159.0,2.0,714.0,615.0,Eswatini,Africa,,,0.0,,,
11,2020-05-13,187.0,3.0,2.0,-1.0,48.0,137.0,-1.0,161.0,2.0,2262.0,1950.0,Eswatini,Africa,,,0.0,,,
12,2020-05-14,187.0,-1.0,2.0,-1.0,51.0,134.0,-1.0,161.0,2.0,2262.0,1950.0,Eswatini,Africa,,,0.0,,,
13,2020-05-15,190.0,3.0,2.0,-1.0,66.0,122.0,-1.0,164.0,2.0,4160.0,3591.0,Eswatini,Africa,146.0,1158593.0,0.0,,,
14,2020-05-16,202.0,12.0,2.0,-1.0,72.0,128.0,-1.0,174.0,2.0,4160.0,3590.0,Eswatini,Africa,148.0,1158626.0,0.0,,,
15,2020-05-17,203.0,1.0,2.0,-1.0,73.0,128.0,-1.0,175.0,2.0,4160.0,3590.0,Eswatini,Africa,148.0,1158658.0,0.0,,,
16,2020-05-18,205.0,2.0,2.0,-1.0,78.0,125.0,-1.0,177.0,2.0,4160.0,3590.0,Eswatini,Africa,148.0,1158691.0,0.0,,,
17,2020-05-19,208.0,3.0,2.0,-1.0,87.0,119.0,-1.0,180.0,2.0,4160.0,3590.0,Eswatini,Africa,149.0,1158724.0,0.0,,,
18,2020-05-20,208.0,-1.0,2.0,-1.0,87.0,119.0,-1.0,180.0,2.0,4160.0,3590.0,Eswatini,Africa,149.0,1158757.0,0.0,,,
19,2020-05-21,220.0,3.0,2.0,-1.0,112.0,106.0,-1.0,190.0,2.0,4994.0,4310.0,Eswatini,Africa,148.0,1158790.0,0.0,,,
20,2020-05-22,225.0,5.0,2.0,-1.0,119.0,104.0,-1.0,194.0,2.0,4994.0,4310.0,Eswatini,Africa,148.0,1158822.0,0.0,,,
21,2020-05-23,238.0,13.0,2.0,-1.0,119.0,117.0,-1.0,205.0,2.0,4994.0,4309.0,Eswatini,Africa,148.0,1158855.0,0.0,,,
22,2020-05-24,250.0,12.0,2.0,-1.0,156.0,92.0,-1.0,216.0,2.0,4994.0,4309.0,Eswatini,Africa,148.0,1158888.0,0.0,,,
23,2020-05-25,256.0,6.0,2.0,-1.0,158.0,96.0,-1.0,221.0,2.0,4994.0,4309.0,Eswatini,Africa,149.0,1158921.0,0.0,,,
24,2020-05-26,261.0,5.0,2.0,-1.0,164.0,95.0,-1.0,225.0,2.0,4994.0,4309.0,Eswatini,Africa,149.0,1158954.0,0.0,,,
25,2020-05-27,272.0,-1.0,2.0,-1.0,168.0,102.0,-1.0,235.0,2.0,4994.0,4309.0,Eswatini,Africa,149.0,1159019.0,0.0,,,
26,2020-05-28,279.0,7.0,2.0,-1.0,168.0,109.0,-1.0,241.0,2.0,4994.0,4309.0,Eswatini,Africa,149.0,1159019.0,0.0,,,
27,2020-05-29,279.0,-1.0,2.0,-1.0,168.0,109.0,-1.0,241.0,2.0,4994.0,4309.0,Eswatini,Africa,150.0,1159052.0,0.0,,,
28,2020-05-30,283.0,4.0,2.0,-1.0,168.0,113.0,-1.0,244.0,2.0,4994.0,4309.0,Eswatini,Africa,150.0,1159085.0,0.0,,,
29,2020-05-31,285.0,2.0,2.0,-1.0,189.0,94.0,-1.0,246.0,2.0,4994.0,4308.0,Eswatini,Africa,151.0,1159118.0,0.0,,,
30,2020-06-01,293.0,8.0,3.0,1.0,194.0,96.0,-1.0,253.0,3.0,4994.0,4308.0,Eswatini,Africa,152.0,1159150.0,0.0,,,
31,2020-06-02,294.0,1.0,3.0,-1.0,198.0,93.0,-1.0,254.0,3.0,4994.0,4308.0,Eswatini,Africa,153.0,1159183.0,4.0,3943.0,386394.0,232.0
32,2020-06-03,295.0,1.0,3.0,-1.0,201.0,91.0,2.0,254.0,3.0,6551.0,5651.0,Eswatini,Africa,153.0,1159216.0,3.0,3930.0,386405.0,177.0
33,2020-06-04,300.0,5.0,3.0,-1.0,201.0,96.0,5.0,259.0,3.0,6551.0,5651.0,Eswatini,Africa,153.0,1159249.0,-1.0,3864.0,386416.0,177.0
34,2020-06-05,305.0,5.0,3.0,-1.0,221.0,81.0,5.0,263.0,3.0,6551.0,5651.0,Eswatini,Africa,153.0,1159282.0,20.0,3801.0,386427.0,177.0
35,2020-06-06,322.0,17.0,3.0,-1.0,224.0,95.0,5.0,278.0,3.0,6551.0,5651.0,Eswatini,Africa,153.0,1159314.0,3.0,3600.0,386438.0,177.0
36,2020-06-07,333.0,11.0,3.0,-1.0,225.0,105.0,5.0,287.0,3.0,6551.0,5651.0,Eswatini,Africa,151.0,1159347.0,1.0,3482.0,386449.0,177.0
37,2020-06-08,340.0,7.0,3.0,-1.0,229.0,108.0,5.0,293.0,3.0,6551.0,5650.0,Eswatini,Africa,149.0,1159380.0,4.0,3410.0,386460.0,177.0
38,2020-06-09,371.0,31.0,3.0,-1.0,232.0,136.0,5.0,320.0,3.0,6551.0,5650.0,Eswatini,Africa,149.0,1159413.0,3.0,3125.0,386471.0,177.0
39,2020-06-10,398.0,27.0,3.0,-1.0,236.0,159.0,5.0,343.0,3.0,6551.0,5650.0,Eswatini,Africa,148.0,1159446.0,4.0,2913.0,386482.0,177.0
40,2020-06-11,449.0,51.0,3.0,-1.0,238.0,208.0,5.0,387.0,3.0,6551.0,5650.0,Eswatini,Africa,147.0,1159478.0,2.0,2582.0,386493.0,177.0
41,2020-06-12,472.0,23.0,3.0,-1.0,246.0,223.0,5.0,407.0,3.0,6551.0,5650.0,Eswatini,Africa,147.0,1159511.0,8.0,2457.0,386504.0,177.0
42,2020-06-13,486.0,14.0,3.0,-1.0,247.0,236.0,5.0,419.0,3.0,6551.0,5650.0,Eswatini,Africa,147.0,1159544.0,1.0,2386.0,386515.0,177.0
43,2020-06-14,490.0,4.0,4.0,1.0,249.0,237.0,5.0,423.0,3.0,6551.0,5649.0,Eswatini,Africa,147.0,1159577.0,2.0,2366.0,289894.0,177.0
44,2020-06-15,506.0,16.0,4.0,-1.0,249.0,253.0,5.0,436.0,3.0,6551.0,5649.0,Eswatini,Africa,145.0,1159610.0,-1.0,2292.0,289903.0,177.0
45,2020-06-16,520.0,14.0,4.0,-1.0,259.0,257.0,5.0,448.0,3.0,6551.0,5649.0,Eswatini,Africa,145.0,1159642.0,10.0,2230.0,289911.0,177.0
46,2020-06-17,563.0,43.0,4.0,-1.0,262.0,297.0,5.0,485.0,3.0,6551.0,5649.0,Eswatini,Africa,144.0,1159675.0,3.0,2060.0,289919.0,177.0
47,2020-06-18,586.0,23.0,4.0,-1.0,267.0,315.0,5.0,505.0,3.0,6551.0,5649.0,Eswatini,Africa,144.0,1159708.0,5.0,1979.0,289927.0,177.0
48,2020-06-19,623.0,37.0,4.0,-1.0,276.0,343.0,5.0,537.0,3.0,6551.0,5649.0,Eswatini,Africa,143.0,1159741.0,9.0,1862.0,289935.0,177.0
49,2020-06-20,627.0,4.0,5.0,1.0,285.0,337.0,5.0,541.0,4.0,6551.0,5648.0,Eswatini,Africa,143.0,1159806.0,9.0,1850.0,231961.0,177.0
