,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,133.0,-1.0,3.0,-1.0,69.0,61.0,-1.0,1.0,0.03,20770.0,181.0,Ethiopia,Africa,,,0.0,,,
1,2020-05-03,135.0,2.0,3.0,-1.0,75.0,57.0,-1.0,1.0,0.03,22330.0,194.0,Ethiopia,Africa,,,0.0,,,
2,2020-05-04,140.0,5.0,3.0,-1.0,75.0,62.0,-1.0,1.0,0.03,24088.0,210.0,Ethiopia,Africa,,,0.0,,,
3,2020-05-05,145.0,-1.0,4.0,-1.0,91.0,50.0,-1.0,1.0,0.03,25135.0,219.0,Ethiopia,Africa,,,0.0,,,
4,2020-05-06,162.0,17.0,4.0,-1.0,93.0,65.0,-1.0,1.0,0.03,26517.0,231.0,Ethiopia,Africa,,,0.0,,,
5,2020-05-07,191.0,29.0,4.0,-1.0,93.0,94.0,1.0,2.0,0.03,28445.0,247.0,Ethiopia,Africa,,,0.0,,,
6,2020-05-08,194.0,-1.0,4.0,-1.0,95.0,95.0,1.0,2.0,0.03,30306.0,264.0,Ethiopia,Africa,,,0.0,,,
7,2020-05-09,210.0,-1.0,5.0,-1.0,97.0,108.0,1.0,2.0,0.04,32689.0,284.0,Ethiopia,Africa,,,0.0,,,
8,2020-05-10,241.0,31.0,5.0,-1.0,99.0,137.0,1.0,2.0,0.04,34860.0,303.0,Ethiopia,Africa,,,0.0,,,
9,2020-05-11,250.0,11.0,5.0,-1.0,105.0,140.0,1.0,2.0,0.04,36624.0,319.0,Ethiopia,Africa,,,0.0,,,
10,2020-05-12,261.0,11.0,5.0,-1.0,106.0,150.0,-1.0,2.0,0.04,39048.0,340.0,Ethiopia,Africa,,,0.0,,,
11,2020-05-13,263.0,2.0,5.0,-1.0,108.0,150.0,-1.0,2.0,0.04,41689.0,363.0,Ethiopia,Africa,,,0.0,,,
12,2020-05-14,272.0,9.0,5.0,-1.0,108.0,159.0,-1.0,2.0,0.04,45278.0,394.0,Ethiopia,Africa,,,0.0,,,
13,2020-05-15,287.0,15.0,5.0,-1.0,112.0,170.0,-1.0,3.0,0.04,48985.0,428.0,Ethiopia,Africa,137.0,114568201.0,0.0,,,
14,2020-05-16,306.0,19.0,5.0,-1.0,113.0,188.0,-1.0,3.0,0.04,53029.0,463.0,Ethiopia,Africa,138.0,114576005.0,0.0,,,
15,2020-05-17,317.0,11.0,5.0,-1.0,113.0,199.0,-1.0,3.0,0.04,57254.0,500.0,Ethiopia,Africa,139.0,114583809.0,0.0,,,
16,2020-05-18,352.0,35.0,5.0,-1.0,116.0,231.0,-1.0,3.0,0.04,59029.0,515.0,Ethiopia,Africa,133.0,114591613.0,0.0,,,
17,2020-05-19,365.0,13.0,5.0,-1.0,120.0,240.0,-1.0,3.0,0.04,62300.0,544.0,Ethiopia,Africa,134.0,114599417.0,0.0,,,
18,2020-05-20,389.0,24.0,5.0,-1.0,122.0,262.0,-1.0,3.0,0.04,65760.0,574.0,Ethiopia,Africa,133.0,114607221.0,0.0,,,
19,2020-05-21,399.0,10.0,5.0,-1.0,123.0,271.0,-1.0,3.0,0.04,69519.0,607.0,Ethiopia,Africa,136.0,114615025.0,0.0,,,
20,2020-05-22,433.0,34.0,5.0,-1.0,128.0,300.0,-1.0,4.0,0.04,73205.0,639.0,Ethiopia,Africa,135.0,114622829.0,0.0,,,
21,2020-05-23,494.0,61.0,5.0,-1.0,151.0,338.0,-1.0,4.0,0.04,76962.0,671.0,Ethiopia,Africa,131.0,114630633.0,0.0,,,
22,2020-05-24,582.0,88.0,5.0,-1.0,152.0,425.0,-1.0,5.0,0.04,81010.0,707.0,Ethiopia,Africa,128.0,114638437.0,0.0,,,
23,2020-05-25,655.0,73.0,5.0,-1.0,159.0,491.0,-1.0,6.0,0.04,83854.0,731.0,Ethiopia,Africa,126.0,114646241.0,0.0,,,
24,2020-05-26,701.0,46.0,6.0,1.0,167.0,528.0,-1.0,6.0,0.05,87264.0,761.0,Ethiopia,Africa,124.0,114654045.0,0.0,,,
25,2020-05-27,731.0,-1.0,6.0,-1.0,181.0,544.0,1.0,6.0,0.05,91616.0,799.0,Ethiopia,Africa,123.0,114669653.0,0.0,,,
26,2020-05-28,831.0,100.0,7.0,1.0,191.0,633.0,1.0,7.0,0.06,96566.0,842.0,Ethiopia,Africa,118.0,114669653.0,0.0,,,
27,2020-05-29,968.0,137.0,8.0,1.0,197.0,763.0,4.0,8.0,0.07,101581.0,886.0,Ethiopia,Africa,114.0,114677457.0,0.0,,,
28,2020-05-30,1063.0,95.0,8.0,-1.0,208.0,847.0,5.0,9.0,0.07,106615.0,930.0,Ethiopia,Africa,111.0,114685261.0,0.0,,,
29,2020-05-31,1172.0,109.0,11.0,3.0,209.0,952.0,4.0,10.0,0.1,109451.0,954.0,Ethiopia,Africa,107.0,114693065.0,0.0,,,
30,2020-06-01,1257.0,85.0,12.0,1.0,217.0,1028.0,4.0,11.0,0.1,112377.0,980.0,Ethiopia,Africa,105.0,114700869.0,0.0,,,
31,2020-06-02,1344.0,87.0,14.0,2.0,231.0,1099.0,8.0,12.0,0.1,116309.0,1014.0,Ethiopia,Africa,104.0,114708673.0,14.0,85349.0,8193477.0,986.0
32,2020-06-03,1486.0,142.0,17.0,3.0,246.0,1223.0,6.0,13.0,0.1,120429.0,1050.0,Ethiopia,Africa,102.0,114716477.0,15.0,77198.0,6748028.0,953.0
33,2020-06-04,1636.0,150.0,18.0,1.0,250.0,1368.0,16.0,14.0,0.2,125570.0,1095.0,Ethiopia,Africa,100.0,114724281.0,4.0,70125.0,6373571.0,914.0
34,2020-06-05,1805.0,169.0,19.0,1.0,262.0,1524.0,18.0,16.0,0.2,131368.0,1145.0,Ethiopia,Africa,98.0,114732085.0,12.0,63563.0,6038531.0,873.0
35,2020-06-06,1934.0,129.0,20.0,1.0,281.0,1633.0,27.0,17.0,0.2,136868.0,1193.0,Ethiopia,Africa,95.0,114739889.0,19.0,59328.0,5736994.0,838.0
36,2020-06-07,2020.0,86.0,27.0,7.0,344.0,1649.0,32.0,18.0,0.2,142960.0,1246.0,Ethiopia,Africa,94.0,114747693.0,63.0,56806.0,4249915.0,803.0
37,2020-06-08,2156.0,136.0,27.0,-1.0,361.0,1768.0,32.0,19.0,0.2,147735.0,1287.0,Ethiopia,Africa,93.0,114755497.0,17.0,53226.0,4250204.0,777.0
38,2020-06-09,2336.0,180.0,32.0,5.0,379.0,1925.0,32.0,20.0,0.3,152334.0,1327.0,Ethiopia,Africa,91.0,114763301.0,18.0,49128.0,3586353.0,753.0
39,2020-06-10,2506.0,170.0,35.0,3.0,401.0,2070.0,32.0,22.0,0.3,158521.0,1381.0,Ethiopia,Africa,90.0,114771105.0,22.0,45799.0,3279174.0,724.0
40,2020-06-11,2670.0,164.0,40.0,5.0,434.0,2196.0,32.0,23.0,0.3,165151.0,1439.0,Ethiopia,Africa,90.0,114778909.0,33.0,42988.0,2869473.0,695.0
41,2020-06-12,2915.0,245.0,47.0,7.0,451.0,2417.0,38.0,25.0,0.4,170860.0,1488.0,Ethiopia,Africa,88.0,114786713.0,17.0,39378.0,2442270.0,672.0
42,2020-06-13,3166.0,251.0,55.0,8.0,495.0,2616.0,39.0,28.0,0.5,176504.0,1538.0,Ethiopia,Africa,86.0,114794517.0,44.0,36259.0,2087173.0,650.0
43,2020-06-14,3345.0,179.0,57.0,2.0,545.0,2743.0,30.0,29.0,0.5,181349.0,1580.0,Ethiopia,Africa,85.0,114802321.0,50.0,34321.0,2014076.0,633.0
44,2020-06-15,3521.0,176.0,60.0,3.0,620.0,2841.0,29.0,31.0,0.5,186985.0,1629.0,Ethiopia,Africa,84.0,114810125.0,75.0,32607.0,1913502.0,614.0
45,2020-06-16,3630.0,109.0,61.0,1.0,738.0,2831.0,32.0,32.0,0.5,192087.0,1673.0,Ethiopia,Africa,85.0,114817929.0,118.0,31630.0,1882261.0,598.0
46,2020-06-17,3759.0,129.0,63.0,2.0,849.0,2847.0,30.0,33.0,0.5,197361.0,1719.0,Ethiopia,Africa,85.0,114825733.0,111.0,30547.0,1822631.0,582.0
47,2020-06-18,3954.0,195.0,65.0,2.0,934.0,2955.0,30.0,34.0,0.6,202214.0,1761.0,Ethiopia,Africa,85.0,114833537.0,85.0,29042.0,1766670.0,568.0
48,2020-06-19,4070.0,116.0,72.0,7.0,1027.0,2971.0,32.0,35.0,0.6,207023.0,1803.0,Ethiopia,Africa,85.0,114841341.0,93.0,28217.0,1595019.0,555.0
49,2020-06-20,4469.0,399.0,72.0,-1.0,1122.0,3275.0,30.0,39.0,0.6,211871.0,1845.0,Ethiopia,Africa,82.0,114856949.0,93.0,25701.0,1595235.0,542.0
50,2020-06-21,4532.0,63.0,74.0,2.0,1213.0,3245.0,32.0,39.0,0.6,216328.0,1883.0,Ethiopia,Africa,82.0,114856949.0,91.0,25344.0,1552121.0,531.0
51,2020-06-22,4663.0,131.0,75.0,1.0,1297.0,3291.0,38.0,41.0,0.7,219566.0,1912.0,Ethiopia,Africa,81.0,114864753.0,84.0,24633.0,1531530.0,523.0
52,2020-06-23,4848.0,185.0,75.0,-1.0,1412.0,3361.0,38.0,42.0,0.7,223341.0,1944.0,Ethiopia,Africa,82.0,114872557.0,115.0,23695.0,1531634.0,514.0
53,2020-06-24,5034.0,186.0,78.0,3.0,1486.0,3470.0,38.0,44.0,0.7,227375.0,1979.0,Ethiopia,Africa,81.0,114880361.0,74.0,22821.0,1472825.0,505.0
54,2020-06-25,5175.0,141.0,81.0,3.0,1544.0,3550.0,30.0,45.0,0.7,232050.0,2020.0,Ethiopia,Africa,80.0,114888165.0,58.0,22201.0,1418372.0,495.0
55,2020-06-26,5425.0,250.0,89.0,8.0,1688.0,3648.0,27.0,47.0,0.8,237464.0,2067.0,Ethiopia,Africa,80.0,114895969.0,144.0,21179.0,1290966.0,484.0
56,2020-06-27,5570.0,145.0,94.0,5.0,2015.0,3461.0,34.0,48.0,0.8,243016.0,2115.0,Ethiopia,Africa,80.0,114903773.0,327.0,20629.0,1222381.0,473.0
57,2020-06-28,5689.0,119.0,98.0,4.0,2132.0,3459.0,33.0,50.0,0.9,246911.0,2149.0,Ethiopia,Africa,80.0,114911577.0,117.0,20199.0,1172567.0,465.0
58,2020-06-29,5846.0,157.0,103.0,5.0,2430.0,3313.0,35.0,51.0,0.9,250604.0,2181.0,Ethiopia,Africa,80.0,114919381.0,298.0,19658.0,1115722.0,459.0
59,2020-06-30,5846.0,-1.0,103.0,-1.0,2430.0,3313.0,35.0,51.0,0.9,250604.0,2181.0,Ethiopia,Africa,80.0,114927185.0,-1.0,19659.0,1115798.0,459.0
60,2020-07-01,5846.0,-1.0,103.0,-1.0,2430.0,3313.0,35.0,51.0,0.9,250604.0,2180.0,Ethiopia,Africa,80.0,114934989.0,-1.0,19660.0,1115874.0,459.0
61,2020-07-02,5846.0,-1.0,103.0,-1.0,2430.0,3313.0,35.0,51.0,0.9,250604.0,2180.0,Ethiopia,Africa,82.0,114942793.0,-1.0,19662.0,1115949.0,459.0
62,2020-07-03,5846.0,-1.0,103.0,-1.0,2430.0,3313.0,35.0,51.0,0.9,250604.0,2180.0,Ethiopia,Africa,82.0,114950597.0,-1.0,19663.0,1116025.0,459.0
63,2020-07-04,5846.0,-1.0,103.0,-1.0,2430.0,3313.0,35.0,51.0,0.9,250604.0,2180.0,Ethiopia,Africa,82.0,114958401.0,-1.0,19664.0,1116101.0,459.0
64,2020-07-05,5846.0,-1.0,103.0,-1.0,2430.0,3313.0,35.0,51.0,0.9,250604.0,2180.0,Ethiopia,Africa,82.0,114966205.0,-1.0,19666.0,1116177.0,459.0
65,2020-07-06,5846.0,-1.0,103.0,-1.0,2430.0,3313.0,35.0,51.0,0.9,250604.0,2180.0,Ethiopia,Africa,83.0,114974009.0,-1.0,19667.0,1116253.0,459.0
66,2020-07-07,5846.0,-1.0,103.0,-1.0,2430.0,3313.0,35.0,51.0,0.9,250604.0,2180.0,Ethiopia,Africa,83.0,114981813.0,-1.0,19668.0,1116328.0,459.0
67,2020-07-08,6774.0,928.0,120.0,17.0,2430.0,4224.0,35.0,59.0,1.0,250604.0,2179.0,Ethiopia,Africa,80.0,114989617.0,-1.0,16975.0,958247.0,459.0
68,2020-07-09,6973.0,199.0,120.0,-1.0,2430.0,4423.0,35.0,61.0,1.0,250604.0,2179.0,Ethiopia,Africa,80.0,114997421.0,-1.0,16492.0,958312.0,459.0
69,2020-07-10,7120.0,147.0,124.0,4.0,2430.0,4566.0,35.0,62.0,1.0,250604.0,2179.0,Ethiopia,Africa,80.0,115005225.0,-1.0,16152.0,927461.0,459.0
70,2020-07-11,7402.0,282.0,124.0,-1.0,2430.0,4848.0,35.0,64.0,1.0,250604.0,2179.0,Ethiopia,Africa,79.0,115013029.0,-1.0,15538.0,927524.0,459.0
71,2020-07-12,7560.0,158.0,127.0,3.0,2430.0,5003.0,35.0,66.0,1.0,250604.0,2179.0,Ethiopia,Africa,80.0,115028637.0,-1.0,15215.0,905737.0,459.0
72,2020-07-13,7766.0,206.0,128.0,1.0,2430.0,5208.0,35.0,68.0,1.0,250604.0,2179.0,Ethiopia,Africa,80.0,115028637.0,-1.0,14812.0,898661.0,459.0
73,2020-07-14,7969.0,203.0,139.0,11.0,2430.0,5400.0,35.0,69.0,1.0,250604.0,2178.0,Ethiopia,Africa,80.0,115036441.0,-1.0,14435.0,827600.0,459.0
74,2020-07-15,7969.0,-1.0,139.0,-1.0,2430.0,5400.0,35.0,69.0,1.0,250604.0,2178.0,Ethiopia,Africa,80.0,115044244.0,-1.0,14436.0,827656.0,459.0
75,2020-07-16,8181.0,-1.0,146.0,-1.0,2430.0,5605.0,35.0,71.0,1.0,250604.0,2178.0,Ethiopia,Africa,80.0,115052048.0,-1.0,14063.0,788028.0,459.0
76,2020-07-17,8803.0,328.0,150.0,2.0,2430.0,6223.0,35.0,77.0,1.0,250604.0,2178.0,Ethiopia,Africa,76.0,115059852.0,-1.0,13071.0,767066.0,459.0
77,2020-07-18,9147.0,344.0,163.0,13.0,2430.0,6554.0,35.0,79.0,1.0,250604.0,2178.0,Ethiopia,Africa,75.0,115067656.0,-1.0,12580.0,705937.0,459.0
78,2020-07-19,9503.0,356.0,167.0,4.0,2430.0,6906.0,35.0,83.0,1.0,250604.0,2178.0,Ethiopia,Africa,75.0,115075460.0,-1.0,12109.0,689075.0,459.0
79,2020-07-20,9503.0,-1.0,167.0,-1.0,2430.0,6906.0,35.0,83.0,1.0,250604.0,2178.0,Ethiopia,Africa,75.0,115083264.0,-1.0,12110.0,689121.0,459.0
80,2020-07-21,11072.0,865.0,180.0,10.0,5448.0,5444.0,35.0,96.0,2.0,342866.0,2979.0,Ethiopia,Africa,74.0,115091068.0,3018.0,10395.0,639395.0,336.0
81,2020-07-22,11524.0,452.0,188.0,8.0,5506.0,5830.0,35.0,100.0,2.0,350160.0,3042.0,Ethiopia,Africa,74.0,115098872.0,58.0,9988.0,612228.0,329.0
82,2020-07-23,11933.0,409.0,197.0,9.0,5645.0,6091.0,35.0,104.0,2.0,357058.0,3102.0,Ethiopia,Africa,74.0,115114480.0,139.0,9647.0,584337.0,322.0
83,2020-07-24,12693.0,760.0,200.0,3.0,5785.0,6708.0,68.0,110.0,2.0,364322.0,3165.0,Ethiopia,Africa,74.0,115114480.0,140.0,9069.0,575572.0,316.0
84,2020-07-25,13248.0,555.0,209.0,9.0,5966.0,7073.0,66.0,115.0,2.0,372812.0,3238.0,Ethiopia,Africa,74.0,115122284.0,181.0,8690.0,550824.0,309.0
85,2020-07-26,13968.0,720.0,223.0,14.0,6216.0,7529.0,66.0,121.0,2.0,382339.0,3321.0,Ethiopia,Africa,73.0,115130088.0,250.0,8242.0,516278.0,301.0
86,2020-07-27,14547.0,579.0,228.0,5.0,6386.0,7933.0,66.0,126.0,2.0,389348.0,3382.0,Ethiopia,Africa,72.0,115137892.0,170.0,7915.0,504991.0,296.0
87,2020-07-28,15200.0,653.0,239.0,11.0,6526.0,8435.0,66.0,132.0,2.0,395851.0,3438.0,Ethiopia,Africa,72.0,115153500.0,140.0,7576.0,481814.0,291.0
88,2020-07-29,15810.0,610.0,253.0,14.0,6685.0,8872.0,66.0,137.0,2.0,403611.0,3505.0,Ethiopia,Africa,71.0,115153500.0,159.0,7284.0,455152.0,285.0
89,2020-07-30,16615.0,805.0,263.0,10.0,6763.0,9589.0,134.0,144.0,2.0,413397.0,3590.0,Ethiopia,Africa,68.0,115161304.0,78.0,6931.0,437876.0,279.0
90,2020-07-31,17530.0,915.0,274.0,11.0,6950.0,10306.0,138.0,152.0,2.0,422354.0,3667.0,Ethiopia,Africa,67.0,115169108.0,187.0,6570.0,420325.0,273.0
91,2020-08-01,17999.0,469.0,284.0,10.0,7195.0,10520.0,138.0,156.0,2.0,429712.0,3731.0,Ethiopia,Africa,67.0,115176912.0,245.0,6399.0,405553.0,268.0
92,2020-08-02,18706.0,707.0,310.0,26.0,7601.0,10795.0,153.0,162.0,3.0,437319.0,3797.0,Ethiopia,Africa,67.0,115184716.0,406.0,6158.0,371564.0,263.0
