,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,187.0,-1.0,-1.0,-1.0,184.0,3.0,-1.0,3827.0,-1.0,8021.0,164153.0,Faeroe Islands,Europe,,,0.0,,,
1,2020-05-03,187.0,-1.0,-1.0,-1.0,185.0,2.0,-1.0,3827.0,-1.0,8066.0,165074.0,Faeroe Islands,Europe,,,0.0,,,
2,2020-05-04,187.0,-1.0,-1.0,-1.0,185.0,2.0,-1.0,3827.0,-1.0,8066.0,165074.0,Faeroe Islands,Europe,,,0.0,,,
3,2020-05-05,187.0,-1.0,-1.0,-1.0,185.0,2.0,-1.0,3827.0,-1.0,8157.0,166936.0,Faeroe Islands,Europe,,,0.0,,,
4,2020-05-06,187.0,-1.0,-1.0,-1.0,185.0,2.0,-1.0,3827.0,-1.0,8241.0,168655.0,Faeroe Islands,Europe,,,0.0,,,
5,2020-05-07,187.0,-1.0,-1.0,-1.0,185.0,2.0,-1.0,3827.0,-1.0,8317.0,170211.0,Faeroe Islands,Europe,,,0.0,,,
6,2020-05-08,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3827.0,-1.0,8403.0,171971.0,Faeroe Islands,Europe,,,0.0,,,
7,2020-05-09,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3827.0,-1.0,8403.0,171971.0,Faeroe Islands,Europe,,,0.0,,,
8,2020-05-10,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3827.0,-1.0,8450.0,172932.0,Faeroe Islands,Europe,,,0.0,,,
9,2020-05-11,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3827.0,-1.0,8450.0,172932.0,Faeroe Islands,Europe,,,0.0,,,
10,2020-05-12,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3827.0,-1.0,8554.0,175061.0,Faeroe Islands,Europe,,,0.0,,,
11,2020-05-13,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3827.0,-1.0,8554.0,175061.0,Faeroe Islands,Europe,,,0.0,,,
12,2020-05-14,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3827.0,-1.0,8638.0,176780.0,Faeroe Islands,Europe,,,0.0,,,
13,2020-05-15,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,8779.0,179754.0,Faeroe Islands,Europe,148.0,48839.0,0.0,,,
14,2020-05-16,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,8779.0,179750.0,Faeroe Islands,Europe,151.0,48840.0,0.0,,,
15,2020-05-17,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,8863.0,181470.0,Faeroe Islands,Europe,151.0,48840.0,0.0,,,
16,2020-05-18,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,8863.0,181466.0,Faeroe Islands,Europe,152.0,48841.0,0.0,,,
17,2020-05-19,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,8931.0,182859.0,Faeroe Islands,Europe,152.0,48841.0,0.0,,,
18,2020-05-20,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,8986.0,183981.0,Faeroe Islands,Europe,152.0,48842.0,0.0,,,
19,2020-05-21,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,8986.0,183981.0,Faeroe Islands,Europe,152.0,48842.0,0.0,,,
20,2020-05-22,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,9084.0,185984.0,Faeroe Islands,Europe,153.0,48843.0,0.0,,,
21,2020-05-23,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,9084.0,185984.0,Faeroe Islands,Europe,153.0,48843.0,0.0,,,
22,2020-05-24,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,9153.0,187393.0,Faeroe Islands,Europe,156.0,48844.0,0.0,,,
23,2020-05-25,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3829.0,-1.0,9178.0,187904.0,Faeroe Islands,Europe,156.0,48844.0,0.0,,,
24,2020-05-26,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9178.0,187901.0,Faeroe Islands,Europe,156.0,48845.0,0.0,,,
25,2020-05-27,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9386.0,192155.0,Faeroe Islands,Europe,156.0,48846.0,0.0,,,
26,2020-05-28,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9386.0,192155.0,Faeroe Islands,Europe,157.0,48846.0,0.0,,,
27,2020-05-29,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9568.0,195881.0,Faeroe Islands,Europe,157.0,48846.0,0.0,,,
28,2020-05-30,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9568.0,195877.0,Faeroe Islands,Europe,157.0,48847.0,0.0,,,
29,2020-05-31,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9677.0,198108.0,Faeroe Islands,Europe,157.0,48847.0,0.0,,,
30,2020-06-01,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9677.0,198104.0,Faeroe Islands,Europe,157.0,48848.0,0.0,,,
31,2020-06-02,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9677.0,198104.0,Faeroe Islands,Europe,158.0,48848.0,-1.0,261.0,-1.0,5.0
32,2020-06-03,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9677.0,198100.0,Faeroe Islands,Europe,158.0,48849.0,-1.0,261.0,-1.0,5.0
33,2020-06-04,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,9857.0,201785.0,Faeroe Islands,Europe,159.0,48849.0,-1.0,261.0,-1.0,5.0
34,2020-06-05,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,10134.0,207451.0,Faeroe Islands,Europe,160.0,48850.0,-1.0,261.0,-1.0,5.0
35,2020-06-06,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,10134.0,207447.0,Faeroe Islands,Europe,160.0,48851.0,-1.0,261.0,-1.0,5.0
36,2020-06-07,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,10257.0,209965.0,Faeroe Islands,Europe,160.0,48851.0,-1.0,261.0,-1.0,5.0
37,2020-06-08,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,10298.0,210800.0,Faeroe Islands,Europe,160.0,48852.0,-1.0,261.0,-1.0,5.0
38,2020-06-09,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,10298.0,210800.0,Faeroe Islands,Europe,160.0,48852.0,-1.0,261.0,-1.0,5.0
39,2020-06-10,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,10459.0,214091.0,Faeroe Islands,Europe,160.0,48853.0,-1.0,261.0,-1.0,5.0
40,2020-06-11,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,10607.0,217121.0,Faeroe Islands,Europe,160.0,48853.0,-1.0,261.0,-1.0,5.0
41,2020-06-12,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,10708.0,219184.0,Faeroe Islands,Europe,161.0,48854.0,-1.0,261.0,-1.0,5.0
42,2020-06-13,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,10863.0,222356.0,Faeroe Islands,Europe,162.0,48854.0,-1.0,261.0,-1.0,4.0
43,2020-06-14,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,11002.0,225197.0,Faeroe Islands,Europe,162.0,48855.0,-1.0,261.0,-1.0,4.0
44,2020-06-15,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,11002.0,225197.0,Faeroe Islands,Europe,162.0,48855.0,-1.0,261.0,-1.0,4.0
45,2020-06-16,187.0,-1.0,-1.0,-1.0,187.0,0.0,-1.0,3828.0,-1.0,11002.0,225192.0,Faeroe Islands,Europe,163.0,48856.0,-1.0,261.0,-1.0,4.0
