,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,372.0,106897.0,Falkland Islands,South America,,,0.0,,,
1,2020-05-03,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,388.0,111494.0,Falkland Islands,South America,,,0.0,,,
2,2020-05-04,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,388.0,111494.0,Falkland Islands,South America,,,0.0,,,
3,2020-05-05,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,388.0,111494.0,Falkland Islands,South America,,,0.0,,,
4,2020-05-06,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,388.0,111494.0,Falkland Islands,South America,,,0.0,,,
5,2020-05-07,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,395.0,113506.0,Falkland Islands,South America,,,0.0,,,
6,2020-05-08,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,395.0,113506.0,Falkland Islands,South America,,,0.0,,,
7,2020-05-09,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,402.0,115517.0,Falkland Islands,South America,,,0.0,,,
8,2020-05-10,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,402.0,115517.0,Falkland Islands,South America,,,0.0,,,
9,2020-05-11,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,402.0,115517.0,Falkland Islands,South America,,,0.0,,,
10,2020-05-12,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,402.0,115517.0,Falkland Islands,South America,,,0.0,,,
11,2020-05-13,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,402.0,115517.0,Falkland Islands,South America,,,0.0,,,
12,2020-05-14,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3736.0,-1.0,402.0,115517.0,Falkland Islands,South America,,,0.0,,,
13,2020-05-15,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3751.0,-1.0,402.0,115984.0,Falkland Islands,South America,198.0,3466.0,0.0,,,
14,2020-05-16,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3751.0,-1.0,402.0,115984.0,Falkland Islands,South America,198.0,3466.0,0.0,,,
15,2020-05-17,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3751.0,-1.0,402.0,115984.0,Falkland Islands,South America,198.0,3466.0,0.0,,,
16,2020-05-18,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3750.0,-1.0,402.0,115950.0,Falkland Islands,South America,198.0,3467.0,0.0,,,
17,2020-05-19,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3750.0,-1.0,426.0,122873.0,Falkland Islands,South America,198.0,3467.0,0.0,,,
18,2020-05-20,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3750.0,-1.0,426.0,122873.0,Falkland Islands,South America,199.0,3467.0,0.0,,,
19,2020-05-21,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3750.0,-1.0,426.0,122873.0,Falkland Islands,South America,199.0,3467.0,0.0,,,
20,2020-05-22,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3749.0,-1.0,426.0,122837.0,Falkland Islands,South America,199.0,3468.0,0.0,,,
21,2020-05-23,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3749.0,-1.0,445.0,128316.0,Falkland Islands,South America,199.0,3468.0,0.0,,,
22,2020-05-24,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3749.0,-1.0,445.0,128316.0,Falkland Islands,South America,199.0,3468.0,0.0,,,
23,2020-05-25,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3749.0,-1.0,445.0,128316.0,Falkland Islands,South America,199.0,3468.0,0.0,,,
24,2020-05-26,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3747.0,-1.0,445.0,128279.0,Falkland Islands,South America,199.0,3469.0,0.0,,,
25,2020-05-27,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3747.0,-1.0,466.0,134333.0,Falkland Islands,South America,199.0,3469.0,0.0,,,
26,2020-05-28,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3747.0,-1.0,503.0,144999.0,Falkland Islands,South America,199.0,3469.0,0.0,,,
27,2020-05-29,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3746.0,-1.0,503.0,144957.0,Falkland Islands,South America,199.0,3470.0,0.0,,,
28,2020-05-30,13.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,3746.0,-1.0,503.0,144957.0,Falkland Islands,South America,199.0,3470.0,0.0,,,
