,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1007.0,1123.0,Fiji,Australia/Oceania,,,0.0,,,
1,2020-05-03,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1007.0,1123.0,Fiji,Australia/Oceania,,,0.0,,,
2,2020-05-04,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1007.0,1123.0,Fiji,Australia/Oceania,,,0.0,,,
3,2020-05-05,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1007.0,1123.0,Fiji,Australia/Oceania,,,0.0,,,
4,2020-05-06,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1300.0,1450.0,Fiji,Australia/Oceania,,,0.0,,,
5,2020-05-07,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1300.0,1450.0,Fiji,Australia/Oceania,,,0.0,,,
6,2020-05-08,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1300.0,1450.0,Fiji,Australia/Oceania,,,0.0,,,
7,2020-05-09,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1300.0,1450.0,Fiji,Australia/Oceania,,,0.0,,,
8,2020-05-10,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1300.0,1450.0,Fiji,Australia/Oceania,,,0.0,,,
9,2020-05-11,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1300.0,1450.0,Fiji,Australia/Oceania,,,0.0,,,
10,2020-05-12,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1300.0,1450.0,Fiji,Australia/Oceania,,,0.0,,,
11,2020-05-13,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1300.0,1450.0,Fiji,Australia/Oceania,,,0.0,,,
12,2020-05-14,18.0,-1.0,-1.0,-1.0,14.0,4.0,-1.0,20.0,-1.0,1300.0,1450.0,Fiji,Australia/Oceania,,,0.0,,,
13,2020-05-15,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1452.0,Fiji,Australia/Oceania,189.0,895606.0,0.0,,,
14,2020-05-16,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1452.0,Fiji,Australia/Oceania,189.0,895624.0,0.0,,,
15,2020-05-17,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1451.0,Fiji,Australia/Oceania,190.0,895642.0,0.0,,,
16,2020-05-18,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1451.0,Fiji,Australia/Oceania,190.0,895659.0,0.0,,,
17,2020-05-19,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1451.0,Fiji,Australia/Oceania,190.0,895677.0,0.0,,,
18,2020-05-20,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1451.0,Fiji,Australia/Oceania,191.0,895695.0,0.0,,,
19,2020-05-21,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1451.0,Fiji,Australia/Oceania,191.0,895713.0,0.0,,,
20,2020-05-22,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1451.0,Fiji,Australia/Oceania,192.0,895730.0,0.0,,,
21,2020-05-23,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1451.0,Fiji,Australia/Oceania,192.0,895748.0,0.0,,,
22,2020-05-24,18.0,-1.0,-1.0,-1.0,15.0,3.0,-1.0,20.0,-1.0,1300.0,1451.0,Fiji,Australia/Oceania,192.0,895766.0,0.0,,,
