,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,5176.0,125.0,220.0,2.0,3000.0,1956.0,52.0,934.0,40.0,101800.0,18373.0,Finland,Europe,,,0.0,,,
1,2020-05-03,5254.0,78.0,230.0,10.0,3000.0,2024.0,49.0,948.0,42.0,102300.0,18463.0,Finland,Europe,,,0.0,,,
2,2020-05-04,5327.0,73.0,240.0,10.0,3500.0,1587.0,49.0,961.0,43.0,103500.0,18680.0,Finland,Europe,,,0.0,,,
3,2020-05-05,5412.0,-1.0,246.0,-1.0,3500.0,1666.0,48.0,977.0,44.0,106300.0,19185.0,Finland,Europe,,,0.0,,,
4,2020-05-06,5573.0,161.0,252.0,6.0,3500.0,1821.0,44.0,1006.0,45.0,108200.0,19528.0,Finland,Europe,,,0.0,,,
5,2020-05-07,5673.0,100.0,255.0,3.0,3500.0,1918.0,44.0,1024.0,46.0,112100.0,20232.0,Finland,Europe,,,0.0,,,
6,2020-05-08,5738.0,-1.0,260.0,-1.0,4000.0,1478.0,45.0,1036.0,47.0,116500.0,21026.0,Finland,Europe,,,0.0,,,
7,2020-05-09,5880.0,-1.0,265.0,-1.0,4000.0,1615.0,45.0,1061.0,48.0,119100.0,21495.0,Finland,Europe,,,0.0,,,
8,2020-05-10,5962.0,82.0,267.0,2.0,4000.0,1695.0,45.0,1076.0,48.0,121500.0,21929.0,Finland,Europe,,,0.0,,,
9,2020-05-11,5984.0,22.0,271.0,4.0,4000.0,1713.0,44.0,1080.0,49.0,123300.0,22253.0,Finland,Europe,,,0.0,,,
10,2020-05-12,6003.0,19.0,275.0,4.0,4300.0,1428.0,34.0,1083.0,50.0,126500.0,22831.0,Finland,Europe,,,0.0,,,
11,2020-05-13,6054.0,51.0,284.0,9.0,4300.0,1470.0,35.0,1093.0,51.0,133200.0,24040.0,Finland,Europe,,,0.0,,,
12,2020-05-14,6145.0,91.0,287.0,3.0,4300.0,1558.0,33.0,1109.0,52.0,137000.0,24726.0,Finland,Europe,,,0.0,,,
13,2020-05-15,6228.0,83.0,293.0,6.0,5000.0,935.0,32.0,1124.0,53.0,140600.0,25381.0,Finland,Europe,55.0,5539635.0,0.0,,,
14,2020-05-16,6286.0,58.0,297.0,4.0,5000.0,989.0,30.0,1135.0,54.0,143900.0,25976.0,Finland,Europe,56.0,5539658.0,0.0,,,
15,2020-05-17,6347.0,61.0,298.0,1.0,5000.0,1049.0,30.0,1146.0,54.0,146800.0,26500.0,Finland,Europe,56.0,5539682.0,0.0,,,
16,2020-05-18,6380.0,33.0,300.0,2.0,5000.0,1080.0,34.0,1152.0,54.0,149700.0,27023.0,Finland,Europe,57.0,5539705.0,0.0,,,
