,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,167346.0,-1.0,24594.0,-1.0,50212.0,92540.0,3878.0,2564.0,377.0,1100228.0,16856.0,France,Europe,,,0.0,,,
1,2020-05-03,168693.0,297.0,24895.0,135.0,50784.0,93014.0,3819.0,2584.0,381.0,1100228.0,16856.0,France,Europe,,,0.0,,,
2,2020-05-04,169462.0,769.0,25201.0,306.0,51371.0,92890.0,3696.0,2596.0,386.0,1100228.0,16856.0,France,Europe,,,0.0,,,
3,2020-05-05,170551.0,-1.0,25531.0,-1.0,52736.0,92284.0,3430.0,2613.0,391.0,1100228.0,16856.0,France,Europe,,,0.0,,,
4,2020-05-06,170551.0,-1.0,25531.0,-1.0,52736.0,92284.0,3430.0,2613.0,391.0,1100228.0,16856.0,France,Europe,,,0.0,,,
5,2020-05-07,174791.0,600.0,25987.0,178.0,55027.0,93777.0,2961.0,2678.0,398.0,1384633.0,21213.0,France,Europe,,,0.0,,,
6,2020-05-08,176079.0,-1.0,26230.0,-1.0,55782.0,94067.0,2868.0,2698.0,402.0,1384633.0,21213.0,France,Europe,,,0.0,,,
7,2020-05-09,176658.0,-1.0,26310.0,-1.0,56038.0,94310.0,2812.0,2706.0,403.0,1384633.0,21213.0,France,Europe,,,0.0,,,
8,2020-05-10,176658.0,-1.0,26380.0,70.0,56217.0,94061.0,2812.0,2706.0,404.0,1384633.0,21213.0,France,Europe,,,0.0,,,
9,2020-05-11,177423.0,453.0,26643.0,263.0,56724.0,94056.0,2712.0,2718.0,408.0,1384633.0,21213.0,France,Europe,,,0.0,,,
10,2020-05-12,178225.0,802.0,26991.0,348.0,57785.0,93449.0,2542.0,2730.0,414.0,1384633.0,21213.0,France,Europe,,,0.0,,,
11,2020-05-13,178225.0,-1.0,27074.0,83.0,58673.0,92478.0,2428.0,2730.0,415.0,1384633.0,21213.0,France,Europe,,,0.0,,,
12,2020-05-14,178060.0,-1.0,27425.0,351.0,59605.0,91030.0,2299.0,2728.0,420.0,1384633.0,21213.0,France,Europe,,,0.0,,,
13,2020-05-15,178870.0,-1.0,27529.0,104.0,60448.0,90893.0,2203.0,2741.0,422.0,1384633.0,21219.0,France,Europe,7.0,65255252.0,0.0,,,
14,2020-05-16,179506.0,-1.0,27625.0,96.0,61066.0,90815.0,2132.0,2751.0,423.0,1384633.0,21219.0,France,Europe,7.0,65255646.0,0.0,,,
15,2020-05-17,179569.0,204.0,28108.0,483.0,61213.0,90248.0,2087.0,2752.0,431.0,1384633.0,21218.0,France,Europe,7.0,65256039.0,0.0,,,
16,2020-05-18,179569.0,-1.0,28239.0,131.0,61728.0,89602.0,1998.0,2752.0,433.0,1384633.0,21218.0,France,Europe,7.0,65256433.0,0.0,,,
17,2020-05-19,180809.0,882.0,28239.0,-1.0,62563.0,90007.0,1894.0,2771.0,433.0,1384633.0,21218.0,France,Europe,7.0,65256826.0,0.0,,,
18,2020-05-20,181575.0,766.0,28132.0,110.0,63354.0,90089.0,1794.0,2782.0,431.0,1384633.0,21218.0,France,Europe,7.0,65257220.0,0.0,,,
19,2020-05-21,181826.0,251.0,28215.0,83.0,63858.0,89753.0,1745.0,2786.0,432.0,1384633.0,21218.0,France,Europe,7.0,65257613.0,0.0,,,
20,2020-05-22,181826.0,-1.0,28289.0,74.0,64209.0,89328.0,1701.0,2786.0,433.0,1384633.0,21218.0,France,Europe,7.0,65258007.0,0.0,,,
21,2020-05-23,182469.0,250.0,28332.0,43.0,64547.0,89590.0,1665.0,2796.0,434.0,1384633.0,21218.0,France,Europe,7.0,65258400.0,0.0,,,
22,2020-05-24,182584.0,115.0,28367.0,35.0,64617.0,89600.0,1655.0,2798.0,435.0,1384633.0,21218.0,France,Europe,7.0,65258794.0,0.0,,,
23,2020-05-25,182942.0,358.0,28432.0,65.0,65199.0,89311.0,1609.0,2803.0,436.0,1384633.0,21217.0,France,Europe,7.0,65259187.0,0.0,,,
24,2020-05-26,182942.0,-1.0,28432.0,-1.0,65199.0,89311.0,1609.0,2803.0,436.0,1384633.0,21217.0,France,Europe,7.0,65259581.0,0.0,,,
25,2020-05-27,182913.0,-1.0,28596.0,-1.0,66584.0,87733.0,1501.0,2803.0,438.0,1384633.0,21217.0,France,Europe,7.0,65260368.0,0.0,,,
26,2020-05-28,186238.0,3325.0,28662.0,66.0,67191.0,90385.0,1429.0,2854.0,439.0,1384633.0,21217.0,France,Europe,7.0,65260368.0,0.0,,,
27,2020-05-29,186835.0,597.0,28714.0,52.0,67803.0,90318.0,1361.0,2863.0,440.0,1384633.0,21217.0,France,Europe,7.0,65260761.0,0.0,,,
28,2020-05-30,188625.0,1828.0,28771.0,57.0,68268.0,91586.0,1325.0,2890.0,441.0,1384633.0,21217.0,France,Europe,7.0,65261155.0,0.0,,,
29,2020-05-31,188882.0,257.0,28802.0,31.0,68355.0,91725.0,1319.0,2894.0,441.0,1384633.0,21217.0,France,Europe,8.0,65261548.0,0.0,,,
30,2020-06-01,189220.0,338.0,28833.0,31.0,68440.0,91947.0,1302.0,2899.0,442.0,1384633.0,21217.0,France,Europe,8.0,65261942.0,0.0,,,
31,2020-06-02,189220.0,-1.0,28940.0,107.0,68812.0,91468.0,1253.0,2899.0,443.0,1384633.0,21216.0,France,Europe,8.0,65262335.0,372.0,345.0,2255.0,47.0
32,2020-06-03,151677.0,352.0,29021.0,81.0,69455.0,53201.0,1210.0,2324.0,445.0,1384633.0,21216.0,France,Europe,12.0,65262729.0,643.0,430.0,2249.0,47.0
33,2020-06-04,152444.0,767.0,29065.0,44.0,69976.0,53403.0,1163.0,2336.0,445.0,1384633.0,21216.0,France,Europe,12.0,65263122.0,521.0,428.0,2245.0,47.0
34,2020-06-05,153055.0,611.0,29111.0,46.0,70504.0,53440.0,1094.0,2345.0,446.0,1384633.0,21216.0,France,Europe,12.0,65263516.0,528.0,426.0,2242.0,47.0
35,2020-06-06,153634.0,579.0,29142.0,31.0,70806.0,53686.0,1059.0,2354.0,447.0,1384633.0,21216.0,France,Europe,12.0,65263909.0,302.0,425.0,2240.0,47.0
36,2020-06-07,153977.0,343.0,29155.0,13.0,70842.0,53980.0,1053.0,2359.0,447.0,1384633.0,21216.0,France,Europe,12.0,65264303.0,36.0,424.0,2239.0,47.0
37,2020-06-08,154188.0,211.0,29209.0,54.0,71062.0,53917.0,1024.0,2363.0,448.0,1384633.0,21216.0,France,Europe,12.0,65264696.0,220.0,423.0,2234.0,47.0
38,2020-06-09,154591.0,403.0,29296.0,87.0,71506.0,53789.0,955.0,2369.0,449.0,1384633.0,21216.0,France,Europe,12.0,65265090.0,444.0,422.0,2228.0,47.0
39,2020-06-10,155136.0,545.0,29319.0,23.0,71832.0,53985.0,933.0,2377.0,449.0,1384633.0,21215.0,France,Europe,12.0,65265483.0,326.0,421.0,2226.0,47.0
40,2020-06-11,155561.0,425.0,29346.0,27.0,72149.0,54066.0,903.0,2383.0,450.0,1384633.0,21215.0,France,Europe,12.0,65265877.0,317.0,420.0,2224.0,47.0
41,2020-06-12,156287.0,726.0,29374.0,28.0,72572.0,54341.0,879.0,2395.0,450.0,1384633.0,21215.0,France,Europe,13.0,65266270.0,423.0,418.0,2222.0,47.0
42,2020-06-13,156813.0,526.0,29398.0,24.0,72808.0,54607.0,871.0,2403.0,450.0,1384633.0,21215.0,France,Europe,13.0,65266664.0,236.0,416.0,2220.0,47.0
43,2020-06-14,157220.0,407.0,29407.0,9.0,72859.0,54954.0,869.0,2409.0,451.0,1384633.0,21215.0,France,Europe,13.0,65267057.0,51.0,415.0,2219.0,47.0
44,2020-06-15,157372.0,152.0,29436.0,29.0,73044.0,54892.0,846.0,2411.0,451.0,1384633.0,21215.0,France,Europe,13.0,65267451.0,185.0,415.0,2217.0,47.0
45,2020-06-16,157716.0,344.0,29547.0,111.0,73335.0,54834.0,820.0,2416.0,453.0,1384633.0,21215.0,France,Europe,13.0,65267844.0,291.0,414.0,2209.0,47.0
46,2020-06-17,158174.0,458.0,29575.0,28.0,73667.0,54932.0,772.0,2423.0,453.0,1384633.0,21214.0,France,Europe,13.0,65268238.0,332.0,413.0,2207.0,47.0
47,2020-06-18,158641.0,467.0,29603.0,28.0,73887.0,55151.0,752.0,2431.0,454.0,1384633.0,21214.0,France,Europe,15.0,65268631.0,220.0,411.0,2205.0,47.0
48,2020-06-19,159452.0,811.0,29617.0,14.0,74117.0,55718.0,727.0,2443.0,454.0,1384633.0,21214.0,France,Europe,15.0,65269025.0,230.0,409.0,2204.0,47.0
49,2020-06-20,160093.0,641.0,29633.0,16.0,74312.0,56148.0,715.0,2453.0,454.0,1384633.0,21214.0,France,Europe,15.0,65269812.0,195.0,408.0,2203.0,47.0
50,2020-06-21,160377.0,284.0,29640.0,7.0,74372.0,56365.0,715.0,2457.0,454.0,1384633.0,21214.0,France,Europe,15.0,65269812.0,60.0,407.0,2202.0,47.0
51,2020-06-22,160750.0,373.0,29663.0,23.0,74612.0,56475.0,701.0,2463.0,454.0,1384633.0,21214.0,France,Europe,16.0,65270205.0,240.0,406.0,2200.0,47.0
52,2020-06-23,161267.0,517.0,29720.0,57.0,74871.0,56676.0,682.0,2471.0,455.0,1384633.0,21214.0,France,Europe,16.0,65270599.0,259.0,405.0,2196.0,47.0
53,2020-06-24,161348.0,81.0,29731.0,11.0,75127.0,56490.0,658.0,2472.0,456.0,1384633.0,21214.0,France,Europe,16.0,65270992.0,256.0,405.0,2195.0,47.0
54,2020-06-25,161348.0,-1.0,29752.0,21.0,75351.0,56245.0,651.0,2472.0,456.0,1384633.0,21213.0,France,Europe,16.0,65271385.0,224.0,405.0,2194.0,47.0
55,2020-06-26,162936.0,1588.0,29778.0,26.0,75351.0,57807.0,651.0,2496.0,456.0,1384633.0,21213.0,France,Europe,16.0,65271779.0,-1.0,401.0,2192.0,47.0
56,2020-06-27,162936.0,-1.0,29778.0,-1.0,75649.0,57509.0,634.0,2496.0,456.0,1384633.0,21213.0,France,Europe,16.0,65272172.0,298.0,401.0,2192.0,47.0
57,2020-06-28,162936.0,-1.0,29778.0,-1.0,75649.0,57509.0,634.0,2496.0,456.0,1384633.0,21213.0,France,Europe,16.0,65272566.0,-1.0,401.0,2192.0,47.0
58,2020-06-29,164260.0,280.0,29813.0,18.0,75649.0,58798.0,634.0,2517.0,457.0,1384633.0,21213.0,France,Europe,16.0,65272959.0,-1.0,397.0,2189.0,47.0
59,2020-06-30,164801.0,541.0,29843.0,30.0,76274.0,58684.0,602.0,2525.0,457.0,1384633.0,21213.0,France,Europe,16.0,65273353.0,625.0,396.0,2187.0,47.0
60,2020-07-01,165719.0,918.0,29861.0,18.0,76539.0,59319.0,582.0,2539.0,457.0,1384633.0,21213.0,France,Europe,16.0,65273746.0,265.0,394.0,2186.0,47.0
61,2020-07-02,166378.0,659.0,29875.0,14.0,76802.0,59701.0,573.0,2549.0,458.0,1384633.0,21213.0,France,Europe,17.0,65274140.0,263.0,392.0,2185.0,47.0
62,2020-07-03,166960.0,582.0,29893.0,18.0,77060.0,60007.0,560.0,2558.0,458.0,1384633.0,21212.0,France,Europe,17.0,65274533.0,258.0,391.0,2184.0,47.0
63,2020-07-04,166960.0,-1.0,29893.0,-1.0,77060.0,60007.0,560.0,2558.0,458.0,1384633.0,21212.0,France,Europe,17.0,65274927.0,-1.0,391.0,2184.0,47.0
64,2020-07-05,166960.0,-1.0,29893.0,-1.0,77060.0,60007.0,560.0,2558.0,458.0,1384633.0,21212.0,France,Europe,17.0,65275320.0,-1.0,391.0,2184.0,47.0
65,2020-07-06,168335.0,176.0,29920.0,13.0,77308.0,61107.0,548.0,2579.0,458.0,1384633.0,21212.0,France,Europe,17.0,65275714.0,129.0,388.0,2182.0,47.0
66,2020-07-07,168810.0,475.0,29933.0,13.0,77655.0,61222.0,538.0,2586.0,459.0,1384633.0,21212.0,France,Europe,17.0,65276107.0,347.0,387.0,2181.0,47.0
67,2020-07-08,169473.0,663.0,29965.0,32.0,77985.0,61523.0,503.0,2596.0,459.0,1384633.0,21212.0,France,Europe,18.0,65276501.0,330.0,385.0,2178.0,47.0
68,2020-07-09,170094.0,621.0,29979.0,14.0,78170.0,61945.0,512.0,2606.0,459.0,1384633.0,21212.0,France,Europe,18.0,65276894.0,185.0,384.0,2177.0,47.0
69,2020-07-10,170752.0,658.0,30004.0,25.0,78388.0,62360.0,496.0,2616.0,460.0,1384633.0,21212.0,France,Europe,18.0,65277288.0,218.0,382.0,2176.0,47.0
70,2020-07-11,170752.0,-1.0,30004.0,-1.0,78388.0,62360.0,496.0,2616.0,460.0,1384633.0,21211.0,France,Europe,18.0,65277681.0,-1.0,382.0,2176.0,47.0
71,2020-07-12,170752.0,-1.0,30004.0,-1.0,78388.0,62360.0,496.0,2616.0,460.0,1384633.0,21211.0,France,Europe,18.0,65278468.0,-1.0,382.0,2176.0,47.0
72,2020-07-13,172377.0,288.0,30029.0,18.0,78597.0,63751.0,492.0,2641.0,460.0,2489269.0,38133.0,France,Europe,18.0,65278468.0,209.0,379.0,2174.0,26.0
73,2020-07-14,172377.0,-1.0,30029.0,-1.0,78597.0,63751.0,492.0,2641.0,460.0,2489269.0,38133.0,France,Europe,18.0,65278862.0,-1.0,379.0,2174.0,26.0
74,2020-07-15,173304.0,416.0,30120.0,20.0,78820.0,64364.0,482.0,2655.0,461.0,2532227.0,38791.0,France,Europe,18.0,65279255.0,150.0,377.0,2167.0,26.0
75,2020-07-16,173838.0,534.0,30138.0,18.0,79036.0,64664.0,481.0,2663.0,462.0,2602581.0,39868.0,France,Europe,18.0,65279649.0,216.0,376.0,2166.0,25.0
76,2020-07-17,174674.0,836.0,30152.0,14.0,79233.0,65289.0,477.0,2676.0,462.0,2618722.0,40115.0,France,Europe,19.0,65280042.0,197.0,374.0,2165.0,25.0
