,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,58.0,-1.0,-1.0,-1.0,51.0,7.0,1.0,206.0,-1.0,2599.0,9252.0,French Polynesia,Australia/Oceania,,,0.0,,,
1,2020-05-03,58.0,-1.0,-1.0,-1.0,51.0,7.0,1.0,206.0,-1.0,2634.0,9377.0,French Polynesia,Australia/Oceania,,,0.0,,,
2,2020-05-04,58.0,-1.0,-1.0,-1.0,51.0,7.0,1.0,206.0,-1.0,2657.0,9459.0,French Polynesia,Australia/Oceania,,,0.0,,,
3,2020-05-05,60.0,-1.0,-1.0,-1.0,54.0,6.0,1.0,214.0,-1.0,2697.0,9601.0,French Polynesia,Australia/Oceania,,,0.0,,,
4,2020-05-06,60.0,-1.0,-1.0,-1.0,54.0,6.0,1.0,214.0,-1.0,2697.0,9601.0,French Polynesia,Australia/Oceania,,,0.0,,,
5,2020-05-07,60.0,-1.0,-1.0,-1.0,55.0,5.0,1.0,214.0,-1.0,2756.0,9811.0,French Polynesia,Australia/Oceania,,,0.0,,,
6,2020-05-08,60.0,-1.0,-1.0,-1.0,56.0,4.0,1.0,214.0,-1.0,2816.0,10025.0,French Polynesia,Australia/Oceania,,,0.0,,,
7,2020-05-09,60.0,-1.0,-1.0,-1.0,56.0,4.0,1.0,214.0,-1.0,2950.0,10502.0,French Polynesia,Australia/Oceania,,,0.0,,,
8,2020-05-10,60.0,-1.0,-1.0,-1.0,56.0,4.0,1.0,214.0,-1.0,2950.0,10502.0,French Polynesia,Australia/Oceania,,,0.0,,,
9,2020-05-11,60.0,-1.0,-1.0,-1.0,56.0,4.0,1.0,214.0,-1.0,2950.0,10502.0,French Polynesia,Australia/Oceania,,,0.0,,,
10,2020-05-12,60.0,-1.0,-1.0,-1.0,56.0,4.0,1.0,214.0,-1.0,2965.0,10555.0,French Polynesia,Australia/Oceania,,,0.0,,,
11,2020-05-13,60.0,-1.0,-1.0,-1.0,58.0,2.0,1.0,214.0,-1.0,3042.0,10829.0,French Polynesia,Australia/Oceania,,,0.0,,,
12,2020-05-14,60.0,-1.0,-1.0,-1.0,58.0,2.0,1.0,214.0,-1.0,3096.0,11021.0,French Polynesia,Australia/Oceania,,,0.0,,,
13,2020-05-15,60.0,-1.0,-1.0,-1.0,59.0,1.0,-1.0,214.0,-1.0,3170.0,11293.0,French Polynesia,Australia/Oceania,172.0,280700.0,0.0,,,
14,2020-05-16,60.0,-1.0,-1.0,-1.0,59.0,1.0,-1.0,214.0,-1.0,3216.0,11457.0,French Polynesia,Australia/Oceania,172.0,280704.0,0.0,,,
15,2020-05-17,60.0,-1.0,-1.0,-1.0,59.0,1.0,-1.0,214.0,-1.0,3216.0,11457.0,French Polynesia,Australia/Oceania,172.0,280708.0,0.0,,,
16,2020-05-18,60.0,-1.0,-1.0,-1.0,59.0,1.0,-1.0,214.0,-1.0,3216.0,11457.0,French Polynesia,Australia/Oceania,173.0,280713.0,0.0,,,
