,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,276.0,-1.0,3.0,-1.0,67.0,206.0,1.0,124.0,1.0,724.0,325.0,Gabon,Africa,,,0.0,,,
1,2020-05-03,335.0,-1.0,5.0,-1.0,85.0,245.0,1.0,151.0,2.0,724.0,325.0,Gabon,Africa,,,0.0,,,
2,2020-05-04,367.0,32.0,6.0,1.0,93.0,268.0,1.0,165.0,3.0,724.0,325.0,Gabon,Africa,,,0.0,,,
3,2020-05-05,397.0,-1.0,6.0,-1.0,93.0,298.0,1.0,178.0,3.0,724.0,325.0,Gabon,Africa,,,0.0,,,
4,2020-05-06,397.0,-1.0,6.0,-1.0,93.0,298.0,1.0,178.0,3.0,724.0,325.0,Gabon,Africa,,,0.0,,,
5,2020-05-07,504.0,107.0,8.0,2.0,110.0,386.0,1.0,226.0,4.0,724.0,325.0,Gabon,Africa,,,0.0,,,
6,2020-05-08,620.0,-1.0,8.0,-1.0,110.0,502.0,1.0,279.0,4.0,724.0,325.0,Gabon,Africa,,,0.0,,,
7,2020-05-09,661.0,-1.0,8.0,-1.0,110.0,543.0,1.0,297.0,4.0,724.0,325.0,Gabon,Africa,,,0.0,,,
8,2020-05-10,661.0,-1.0,8.0,-1.0,110.0,543.0,1.0,297.0,4.0,724.0,325.0,Gabon,Africa,,,0.0,,,
9,2020-05-11,661.0,-1.0,8.0,-1.0,110.0,543.0,1.0,297.0,4.0,724.0,325.0,Gabon,Africa,,,0.0,,,
10,2020-05-12,802.0,-1.0,9.0,-1.0,127.0,666.0,1.0,360.0,4.0,5337.0,2398.0,Gabon,Africa,,,0.0,,,
11,2020-05-13,863.0,-1.0,9.0,-1.0,137.0,717.0,1.0,388.0,4.0,5530.0,2485.0,Gabon,Africa,,,0.0,,,
12,2020-05-14,1004.0,-1.0,9.0,-1.0,152.0,843.0,1.0,451.0,4.0,5530.0,2485.0,Gabon,Africa,,,0.0,,,
13,2020-05-15,1104.0,-1.0,10.0,-1.0,182.0,912.0,11.0,498.0,5.0,6617.0,2983.0,Gabon,Africa,96.0,2218477.0,0.0,,,
14,2020-05-16,1209.0,-1.0,10.0,-1.0,219.0,980.0,11.0,545.0,5.0,7050.0,3178.0,Gabon,Africa,95.0,2218621.0,0.0,,,
15,2020-05-17,1320.0,-1.0,11.0,-1.0,244.0,1065.0,10.0,595.0,5.0,7445.0,3355.0,Gabon,Africa,95.0,2218765.0,0.0,,,
16,2020-05-18,1320.0,-1.0,11.0,-1.0,244.0,1065.0,10.0,595.0,5.0,7445.0,3355.0,Gabon,Africa,95.0,2218909.0,0.0,,,
17,2020-05-19,1432.0,-1.0,11.0,-1.0,301.0,1120.0,9.0,645.0,5.0,7966.0,3590.0,Gabon,Africa,94.0,2219053.0,0.0,,,
18,2020-05-20,1502.0,-1.0,12.0,-1.0,318.0,1172.0,9.0,677.0,5.0,7966.0,3590.0,Gabon,Africa,92.0,2219197.0,0.0,,,
19,2020-05-21,1567.0,-1.0,12.0,-1.0,365.0,1190.0,6.0,706.0,5.0,8622.0,3885.0,Gabon,Africa,91.0,2219341.0,0.0,,,
20,2020-05-22,1567.0,-1.0,12.0,-1.0,365.0,1190.0,6.0,706.0,5.0,8622.0,3885.0,Gabon,Africa,91.0,2219485.0,0.0,,,
21,2020-05-23,1728.0,-1.0,12.0,-1.0,402.0,1314.0,6.0,779.0,5.0,8622.0,3884.0,Gabon,Africa,89.0,2219628.0,0.0,,,
22,2020-05-24,1934.0,-1.0,12.0,-1.0,459.0,1463.0,10.0,871.0,5.0,9908.0,4464.0,Gabon,Africa,86.0,2219772.0,0.0,,,
23,2020-05-25,1934.0,-1.0,12.0,-1.0,459.0,1463.0,10.0,871.0,5.0,9908.0,4463.0,Gabon,Africa,87.0,2219916.0,0.0,,,
24,2020-05-26,2135.0,-1.0,14.0,-1.0,562.0,1559.0,10.0,962.0,6.0,9908.0,4463.0,Gabon,Africa,84.0,2220060.0,0.0,,,
25,2020-05-27,2319.0,-1.0,14.0,-1.0,631.0,1674.0,12.0,1044.0,6.0,12060.0,5432.0,Gabon,Africa,83.0,2220348.0,0.0,,,
26,2020-05-28,2319.0,-1.0,14.0,-1.0,631.0,1674.0,12.0,1044.0,6.0,12060.0,5432.0,Gabon,Africa,83.0,2220348.0,0.0,,,
27,2020-05-29,2431.0,-1.0,14.0,-1.0,668.0,1749.0,15.0,1095.0,6.0,12669.0,5705.0,Gabon,Africa,83.0,2220492.0,0.0,,,
28,2020-05-30,2613.0,-1.0,15.0,-1.0,709.0,1889.0,15.0,1177.0,7.0,13833.0,6229.0,Gabon,Africa,81.0,2220636.0,0.0,,,
29,2020-05-31,2655.0,-1.0,17.0,-1.0,722.0,1916.0,15.0,1196.0,8.0,13833.0,6229.0,Gabon,Africa,81.0,2220779.0,0.0,,,
30,2020-06-01,2655.0,-1.0,17.0,-1.0,722.0,1916.0,15.0,1195.0,8.0,14122.0,6359.0,Gabon,Africa,81.0,2220923.0,0.0,,,
