,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,12.0,-1.0,1.0,-1.0,9.0,2.0,-1.0,5.0,0.4,401.0,166.0,Gambia,Africa,,,0.0,,,
1,2020-05-03,17.0,-1.0,1.0,-1.0,9.0,7.0,-1.0,7.0,0.4,401.0,166.0,Gambia,Africa,,,0.0,,,
2,2020-05-04,17.0,-1.0,1.0,-1.0,9.0,7.0,-1.0,7.0,0.4,401.0,166.0,Gambia,Africa,,,0.0,,,
3,2020-05-05,17.0,-1.0,1.0,-1.0,9.0,7.0,-1.0,7.0,0.4,401.0,166.0,Gambia,Africa,,,0.0,,,
4,2020-05-06,17.0,-1.0,1.0,-1.0,9.0,7.0,-1.0,7.0,0.4,562.0,233.0,Gambia,Africa,,,0.0,,,
5,2020-05-07,17.0,-1.0,1.0,-1.0,9.0,7.0,-1.0,7.0,0.4,562.0,233.0,Gambia,Africa,,,0.0,,,
6,2020-05-08,20.0,-1.0,1.0,-1.0,9.0,10.0,-1.0,8.0,0.4,756.0,313.0,Gambia,Africa,,,0.0,,,
7,2020-05-09,20.0,-1.0,1.0,-1.0,9.0,10.0,-1.0,8.0,0.4,756.0,313.0,Gambia,Africa,,,0.0,,,
8,2020-05-10,20.0,-1.0,1.0,-1.0,9.0,10.0,-1.0,8.0,0.4,849.0,351.0,Gambia,Africa,,,0.0,,,
9,2020-05-11,20.0,-1.0,1.0,-1.0,9.0,10.0,-1.0,8.0,0.4,849.0,351.0,Gambia,Africa,,,0.0,,,
10,2020-05-12,22.0,-1.0,1.0,-1.0,10.0,11.0,-1.0,9.0,0.4,1238.0,512.0,Gambia,Africa,,,0.0,,,
11,2020-05-13,23.0,1.0,1.0,-1.0,10.0,12.0,-1.0,10.0,0.4,1317.0,545.0,Gambia,Africa,,,0.0,,,
12,2020-05-14,23.0,-1.0,1.0,-1.0,10.0,12.0,-1.0,10.0,0.4,1341.0,555.0,Gambia,Africa,,,0.0,,,
13,2020-05-15,23.0,-1.0,1.0,-1.0,10.0,12.0,-1.0,10.0,0.4,1341.0,557.0,Gambia,Africa,184.0,2407111.0,0.0,,,
14,2020-05-16,23.0,-1.0,1.0,-1.0,12.0,10.0,-1.0,10.0,0.4,1341.0,557.0,Gambia,Africa,184.0,2407297.0,0.0,,,
15,2020-05-17,23.0,-1.0,1.0,-1.0,12.0,10.0,-1.0,10.0,0.4,1341.0,557.0,Gambia,Africa,185.0,2407483.0,0.0,,,
16,2020-05-18,24.0,1.0,1.0,-1.0,13.0,10.0,-1.0,10.0,0.4,1476.0,613.0,Gambia,Africa,184.0,2407670.0,0.0,,,
17,2020-05-19,24.0,-1.0,1.0,-1.0,13.0,10.0,-1.0,10.0,0.4,1476.0,613.0,Gambia,Africa,184.0,2407856.0,0.0,,,
18,2020-05-20,24.0,-1.0,1.0,-1.0,13.0,10.0,-1.0,10.0,0.4,1476.0,613.0,Gambia,Africa,185.0,2408042.0,0.0,,,
19,2020-05-21,24.0,-1.0,1.0,-1.0,13.0,10.0,-1.0,10.0,0.4,1476.0,613.0,Gambia,Africa,185.0,2408228.0,0.0,,,
20,2020-05-22,24.0,-1.0,1.0,-1.0,13.0,10.0,-1.0,10.0,0.4,1476.0,613.0,Gambia,Africa,185.0,2408415.0,0.0,,,
